Dataname,Value,Time
filament_temp,18.5,2025-08-29 09:15:17.303389
bed_temp,17.0,2025-08-29 09:15:17.303389
filament_temp,18.8,2025-08-29 09:15:17.803646
bed_temp,17.4,2025-08-29 09:15:17.803646
current,0.07,2025-08-29 09:15:17.803646
power,2,2025-08-29 09:15:17.803646
voltage,122.99,2025-08-29 09:15:17.803646
filament_temp,18.8,2025-08-29 09:15:18.303901
bed_temp,17.4,2025-08-29 09:15:18.303901
current,0.07,2025-08-29 09:15:18.303901
power,2,2025-08-29 09:15:18.303901
voltage,122.99,2025-08-29 09:15:18.303901
filament_temp,18.8,2025-08-29 09:15:18.804089
bed_temp,17.4,2025-08-29 09:15:18.804089
current,0.07,2025-08-29 09:15:18.804089
power,2,2025-08-29 09:15:18.804089
voltage,122.99,2025-08-29 09:15:18.804089
filament_temp,18.8,2025-08-29 09:15:19.304345
bed_temp,17.4,2025-08-29 09:15:19.304345
current,0.07,2025-08-29 09:15:19.304345
power,2,2025-08-29 09:15:19.304345
voltage,122.99,2025-08-29 09:15:19.304345
filament_temp,18.8,2025-08-29 09:15:19.804597
bed_temp,17.4,2025-08-29 09:15:19.804597
current,0.07,2025-08-29 09:15:19.804597
power,2,2025-08-29 09:15:19.804597
voltage,122.99,2025-08-29 09:15:19.804597
filament_temp,18.8,2025-08-29 09:15:20.304848
bed_temp,17.4,2025-08-29 09:15:20.304848
current,0.07,2025-08-29 09:15:20.304848
power,2,2025-08-29 09:15:20.304848
voltage,122.99,2025-08-29 09:15:20.304848
filament_temp,18.8,2025-08-29 09:15:20.805110
bed_temp,17.4,2025-08-29 09:15:20.805110
current,0.07,2025-08-29 09:15:20.805110
power,2,2025-08-29 09:15:20.805110
voltage,122.99,2025-08-29 09:15:20.805110
filament_temp,18.8,2025-08-29 09:15:21.305338
bed_temp,17.4,2025-08-29 09:15:21.305338
current,0.07,2025-08-29 09:15:21.305338
power,2,2025-08-29 09:15:21.305338
voltage,122.99,2025-08-29 09:15:21.305338
filament_temp,18.8,2025-08-29 09:15:21.805568
bed_temp,17.4,2025-08-29 09:15:21.805568
current,0.07,2025-08-29 09:15:21.805568
power,2,2025-08-29 09:15:21.805568
voltage,122.99,2025-08-29 09:15:21.805568
filament_temp,18.8,2025-08-29 09:15:22.305805
bed_temp,17.4,2025-08-29 09:15:22.305805
current,0.07,2025-08-29 09:15:22.305805
power,2,2025-08-29 09:15:22.305805
voltage,122.99,2025-08-29 09:15:22.305805
filament_temp,18.0,2025-08-29 09:15:22.806051
bed_temp,16.7,2025-08-29 09:15:22.806051
current,0.07,2025-08-29 09:15:22.806051
power,2,2025-08-29 09:15:22.806051
voltage,122.99,2025-08-29 09:15:22.806051
filament_temp,18.0,2025-08-29 09:15:23.306306
bed_temp,16.7,2025-08-29 09:15:23.306306
current,0.07,2025-08-29 09:15:23.306306
power,2,2025-08-29 09:15:23.306306
voltage,122.99,2025-08-29 09:15:23.306306
filament_temp,18.0,2025-08-29 09:15:23.806565
bed_temp,16.7,2025-08-29 09:15:23.806565
current,0.07,2025-08-29 09:15:23.806565
power,2,2025-08-29 09:15:23.806565
voltage,122.99,2025-08-29 09:15:23.806565
filament_temp,18.0,2025-08-29 09:15:24.306818
bed_temp,16.7,2025-08-29 09:15:24.306818
current,0.07,2025-08-29 09:15:24.306818
power,2,2025-08-29 09:15:24.306818
voltage,122.99,2025-08-29 09:15:24.306818
filament_temp,18.0,2025-08-29 09:15:24.807037
bed_temp,16.7,2025-08-29 09:15:24.807037
current,0.07,2025-08-29 09:15:24.807037
power,2,2025-08-29 09:15:24.807037
voltage,122.99,2025-08-29 09:15:24.807037
filament_temp,18.0,2025-08-29 09:15:25.307272
bed_temp,16.7,2025-08-29 09:15:25.307272
current,0.07,2025-08-29 09:15:25.307272
power,2,2025-08-29 09:15:25.307272
voltage,122.99,2025-08-29 09:15:25.307272
filament_temp,18.0,2025-08-29 09:15:25.807505
bed_temp,16.7,2025-08-29 09:15:25.807505
current,0.07,2025-08-29 09:15:25.807505
power,2,2025-08-29 09:15:25.807505
voltage,122.99,2025-08-29 09:15:25.807505
filament_temp,18.0,2025-08-29 09:15:26.307772
bed_temp,16.7,2025-08-29 09:15:26.307772
current,0.07,2025-08-29 09:15:26.307772
power,2,2025-08-29 09:15:26.307772
voltage,122.99,2025-08-29 09:15:26.307772
filament_temp,18.0,2025-08-29 09:15:26.808022
