Dataname,Value,Time
filament_temp,28.2,2025-09-10 15:08:00.209814
bed_temp,34.9,2025-09-10 15:08:00.209814
current,0.07,2025-09-10 15:08:00.209814
power,2.4,2025-09-10 15:08:00.209814
voltage,121.84,2025-09-10 15:08:00.209814
filament_temp,28.2,2025-09-10 15:08:00.710081
bed_temp,34.9,2025-09-10 15:08:00.710081
current,0.07,2025-09-10 15:08:00.710081
power,2.4,2025-09-10 15:08:00.710081
voltage,121.84,2025-09-10 15:08:00.710081
filament_temp,28.2,2025-09-10 15:08:01.210344
bed_temp,34.9,2025-09-10 15:08:01.210344
current,0.07,2025-09-10 15:08:01.210344
power,2.4,2025-09-10 15:08:01.210344
voltage,121.84,2025-09-10 15:08:01.210344
filament_temp,28.2,2025-09-10 15:08:01.710590
bed_temp,34.9,2025-09-10 15:08:01.710590
current,0.07,2025-09-10 15:08:01.710590
power,2.4,2025-09-10 15:08:01.710590
voltage,121.84,2025-09-10 15:08:01.710590
filament_temp,28.2,2025-09-10 15:08:02.210767
bed_temp,34.9,2025-09-10 15:08:02.210767
current,0.07,2025-09-10 15:08:02.210767
power,2.4,2025-09-10 15:08:02.210767
voltage,121.84,2025-09-10 15:08:02.210767
filament_temp,28.2,2025-09-10 15:08:02.710988
bed_temp,34.9,2025-09-10 15:08:02.710988
current,0.07,2025-09-10 15:08:02.710988
power,2.4,2025-09-10 15:08:02.710988
voltage,121.84,2025-09-10 15:08:02.710988
filament_temp,28.2,2025-09-10 15:08:03.211255
bed_temp,34.9,2025-09-10 15:08:03.211255
current,0.07,2025-09-10 15:08:03.211255
power,2.4,2025-09-10 15:08:03.211255
voltage,121.84,2025-09-10 15:08:03.211255
filament_temp,27.6,2025-09-10 15:08:03.711501
bed_temp,34.4,2025-09-10 15:08:03.711501
current,0.07,2025-09-10 15:08:03.711501
power,2.4,2025-09-10 15:08:03.711501
voltage,121.84,2025-09-10 15:08:03.711501
filament_temp,27.6,2025-09-10 15:08:04.211721
bed_temp,34.4,2025-09-10 15:08:04.211721
current,0.07,2025-09-10 15:08:04.211721
power,2.4,2025-09-10 15:08:04.211721
voltage,121.84,2025-09-10 15:08:04.211721
filament_temp,27.6,2025-09-10 15:08:04.711987
bed_temp,34.4,2025-09-10 15:08:04.711987
current,0.07,2025-09-10 15:08:04.711987
power,2.4,2025-09-10 15:08:04.711987
voltage,121.84,2025-09-10 15:08:04.711987
filament_temp,27.6,2025-09-10 15:08:05.212248
bed_temp,34.4,2025-09-10 15:08:05.212248
current,0.07,2025-09-10 15:08:05.212248
power,2.4,2025-09-10 15:08:05.212248
voltage,121.84,2025-09-10 15:08:05.212248
filament_temp,27.6,2025-09-10 15:08:05.712429
