Dataname,Value,Time
filament_temp,125.6,2025-09-03 12:05:00.317325
bed_temp,54.1,2025-09-03 12:05:00.317325
current,0.07,2025-09-03 12:05:00.317325
power,3,2025-09-03 12:05:00.317325
voltage,121.11,2025-09-03 12:05:00.317325
filament_temp,125.6,2025-09-03 12:05:00.817549
bed_temp,54.1,2025-09-03 12:05:00.817549
current,0.07,2025-09-03 12:05:00.817549
power,3,2025-09-03 12:05:00.817549
voltage,121.11,2025-09-03 12:05:00.817549
filament_temp,125.6,2025-09-03 12:05:01.317765
bed_temp,54.1,2025-09-03 12:05:01.317765
current,0.07,2025-09-03 12:05:01.317765
power,3,2025-09-03 12:05:01.317765
voltage,121.11,2025-09-03 12:05:01.317765
filament_temp,125.6,2025-09-03 12:05:01.817984
bed_temp,54.1,2025-09-03 12:05:01.817984
current,0.07,2025-09-03 12:05:01.817984
power,3,2025-09-03 12:05:01.817984
voltage,121.11,2025-09-03 12:05:01.817984
filament_temp,125.6,2025-09-03 12:05:02.318180
bed_temp,54.1,2025-09-03 12:05:02.318180
current,0.07,2025-09-03 12:05:02.318180
power,3,2025-09-03 12:05:02.318180
voltage,121.11,2025-09-03 12:05:02.318180
filament_temp,122.2,2025-09-03 12:05:02.818415
bed_temp,54.6,2025-09-03 12:05:02.818415
current,0.07,2025-09-03 12:05:02.818415
power,3,2025-09-03 12:05:02.818415
voltage,121.11,2025-09-03 12:05:02.818415
filament_temp,122.2,2025-09-03 12:05:03.318646
bed_temp,54.6,2025-09-03 12:05:03.318646
current,0.07,2025-09-03 12:05:03.318646
power,3,2025-09-03 12:05:03.318646
voltage,121.11,2025-09-03 12:05:03.318646
filament_temp,122.2,2025-09-03 12:05:03.818882
bed_temp,54.6,2025-09-03 12:05:03.818882
current,0.07,2025-09-03 12:05:03.818882
power,3,2025-09-03 12:05:03.818882
voltage,121.11,2025-09-03 12:05:03.818882
filament_temp,122.2,2025-09-03 12:05:04.319093
bed_temp,54.6,2025-09-03 12:05:04.319093
current,0.07,2025-09-03 12:05:04.319093
power,3,2025-09-03 12:05:04.319093
voltage,121.11,2025-09-03 12:05:04.319093
filament_temp,122.2,2025-09-03 12:05:04.819326
bed_temp,54.6,2025-09-03 12:05:04.819326
current,0.07,2025-09-03 12:05:04.819326
power,3,2025-09-03 12:05:04.819326
voltage,121.11,2025-09-03 12:05:04.819326
filament_temp,122.2,2025-09-03 12:05:05.319544
bed_temp,54.6,2025-09-03 12:05:05.319544
current,0.07,2025-09-03 12:05:05.319544
power,3,2025-09-03 12:05:05.319544
voltage,121.11,2025-09-03 12:05:05.319544
filament_temp,122.2,2025-09-03 12:05:05.819732
bed_temp,54.6,2025-09-03 12:05:05.819732
current,0.07,2025-09-03 12:05:05.819732
power,3,2025-09-03 12:05:05.819732
voltage,121.11,2025-09-03 12:05:05.819732
filament_temp,122.2,2025-09-03 12:05:06.319936
bed_temp,54.6,2025-09-03 12:05:06.319936
current,0.07,2025-09-03 12:05:06.319936
power,3,2025-09-03 12:05:06.319936
voltage,121.11,2025-09-03 12:05:06.319936
filament_temp,122.2,2025-09-03 12:05:06.820155
bed_temp,54.6,2025-09-03 12:05:06.820155
current,0.07,2025-09-03 12:05:06.820155
power,3,2025-09-03 12:05:06.820155
voltage,121.11,2025-09-03 12:05:06.820155
filament_temp,122.2,2025-09-03 12:05:07.320370
bed_temp,54.6,2025-09-03 12:05:07.320370
current,0.07,2025-09-03 12:05:07.320370
power,3,2025-09-03 12:05:07.320370
voltage,121.11,2025-09-03 12:05:07.320370
filament_temp,119.0,2025-09-03 12:05:07.820566
bed_temp,54.4,2025-09-03 12:05:07.820566
current,0.07,2025-09-03 12:05:07.820566
power,3,2025-09-03 12:05:07.820566
voltage,121.11,2025-09-03 12:05:07.820566
filament_temp,119.0,2025-09-03 12:05:08.320790
bed_temp,54.4,2025-09-03 12:05:08.320790
current,0.07,2025-09-03 12:05:08.320790
power,3,2025-09-03 12:05:08.320790
voltage,121.11,2025-09-03 12:05:08.320790
filament_temp,119.0,2025-09-03 12:05:08.821017
bed_temp,54.4,2025-09-03 12:05:08.821017
