Dataname,Value,Time
filament_temp,173.1,2025-09-09 11:31:00.249721
bed_temp,57.1,2025-09-09 11:31:00.249721
current,0.07,2025-09-09 11:31:00.249721
power,3,2025-09-09 11:31:00.249721
voltage,120.52,2025-09-09 11:31:00.249721
filament_temp,167.3,2025-09-09 11:31:00.749906
bed_temp,56.5,2025-09-09 11:31:00.749906
current,0.07,2025-09-09 11:31:00.749906
power,3,2025-09-09 11:31:00.749906
voltage,120.52,2025-09-09 11:31:00.749906
filament_temp,167.3,2025-09-09 11:31:01.250153
bed_temp,56.5,2025-09-09 11:31:01.250153
current,0.07,2025-09-09 11:31:01.250153
power,3,2025-09-09 11:31:01.250153
voltage,120.52,2025-09-09 11:31:01.250153
filament_temp,167.3,2025-09-09 11:31:01.750346
bed_temp,56.5,2025-09-09 11:31:01.750346
current,0.07,2025-09-09 11:31:01.750346
power,3,2025-09-09 11:31:01.750346
voltage,120.52,2025-09-09 11:31:01.750346
filament_temp,167.3,2025-09-09 11:31:02.250584
bed_temp,56.5,2025-09-09 11:31:02.250584
current,0.07,2025-09-09 11:31:02.250584
power,3,2025-09-09 11:31:02.250584
voltage,120.52,2025-09-09 11:31:02.250584
filament_temp,167.3,2025-09-09 11:31:02.750830
bed_temp,56.5,2025-09-09 11:31:02.750830
current,0.07,2025-09-09 11:31:02.750830
power,3,2025-09-09 11:31:02.750830
voltage,120.52,2025-09-09 11:31:02.750830
filament_temp,167.3,2025-09-09 11:31:03.251058
bed_temp,56.5,2025-09-09 11:31:03.251058
current,0.07,2025-09-09 11:31:03.251058
power,3,2025-09-09 11:31:03.251058
voltage,120.52,2025-09-09 11:31:03.251058
filament_temp,167.3,2025-09-09 11:31:03.751250
bed_temp,56.5,2025-09-09 11:31:03.751250
current,0.07,2025-09-09 11:31:03.751250
power,3,2025-09-09 11:31:03.751250
voltage,120.52,2025-09-09 11:31:03.751250
filament_temp,167.3,2025-09-09 11:31:04.251487
bed_temp,56.5,2025-09-09 11:31:04.251487
current,0.07,2025-09-09 11:31:04.251487
power,3,2025-09-09 11:31:04.251487
voltage,120.52,2025-09-09 11:31:04.251487
filament_temp,167.3,2025-09-09 11:31:04.751711
bed_temp,56.5,2025-09-09 11:31:04.751711
current,0.07,2025-09-09 11:31:04.751711
power,3,2025-09-09 11:31:04.751711
voltage,120.52,2025-09-09 11:31:04.751711
filament_temp,167.3,2025-09-09 11:31:05.251897
bed_temp,56.5,2025-09-09 11:31:05.251897
current,0.07,2025-09-09 11:31:05.251897
power,3,2025-09-09 11:31:05.251897
voltage,120.52,2025-09-09 11:31:05.251897
filament_temp,163.9,2025-09-09 11:31:05.752084
bed_temp,55.9,2025-09-09 11:31:05.752084
current,0.07,2025-09-09 11:31:05.752084
power,3,2025-09-09 11:31:05.752084
voltage,120.52,2025-09-09 11:31:05.752084
filament_temp,163.9,2025-09-09 11:31:06.252307
bed_temp,55.9,2025-09-09 11:31:06.252307
current,0.07,2025-09-09 11:31:06.252307
power,3,2025-09-09 11:31:06.252307
voltage,120.52,2025-09-09 11:31:06.252307
filament_temp,163.9,2025-09-09 11:31:06.752494
bed_temp,55.9,2025-09-09 11:31:06.752494
current,0.07,2025-09-09 11:31:06.752494
power,3,2025-09-09 11:31:06.752494
voltage,120.52,2025-09-09 11:31:06.752494
filament_temp,163.9,2025-09-09 11:31:07.252681
bed_temp,55.9,2025-09-09 11:31:07.252681
current,0.07,2025-09-09 11:31:07.252681
power,3,2025-09-09 11:31:07.252681
voltage,120.52,2025-09-09 11:31:07.252681
filament_temp,163.9,2025-09-09 11:31:07.752869
bed_temp,55.9,2025-09-09 11:31:07.752869
current,0.07,2025-09-09 11:31:07.752869
power,3,2025-09-09 11:31:07.752869
voltage,120.52,2025-09-09 11:31:07.752869
filament_temp,163.9,2025-09-09 11:31:08.253113
bed_temp,55.9,2025-09-09 11:31:08.253113
current,0.07,2025-09-09 11:31:08.253113
power,3,2025-09-09 11:31:08.253113
voltage,120.52,2025-09-09 11:31:08.253113
filament_temp,163.9,2025-09-09 11:31:08.753297
bed_temp,55.9,2025-09-09 11:31:08.753297
current,0.07,2025-09-09 11:31:08.753297
power,3,2025-09-09 11:31:08.753297
voltage,120.52,2025-09-09 11:31:08.753297
filament_temp,163.9,2025-09-09 11:31:09.253484
bed_temp,55.9,2025-09-09 11:31:09.253484
current,0.07,2025-09-09 11:31:09.253484
power,3,2025-09-09 11:31:09.253484
voltage,120.52,2025-09-09 11:31:09.253484
filament_temp,163.9,2025-09-09 11:31:09.753667
bed_temp,55.9,2025-09-09 11:31:09.753667
current,0.07,2025-09-09 11:31:09.753667
power,3,2025-09-09 11:31:09.753667
voltage,120.52,2025-09-09 11:31:09.753667
filament_temp,163.9,2025-09-09 11:31:10.253872
bed_temp,55.9,2025-09-09 11:31:10.253872
current,0.07,2025-09-09 11:31:10.253872
power,3,2025-09-09 11:31:10.253872
voltage,120.52,2025-09-09 11:31:10.253872
filament_temp,158.8,2025-09-09 11:31:10.754058
bed_temp,56.0,2025-09-09 11:31:10.754058
current,0.07,2025-09-09 11:31:10.754058
power,3,2025-09-09 11:31:10.754058
voltage,120.52,2025-09-09 11:31:10.754058
filament_temp,158.8,2025-09-09 11:31:11.254249
bed_temp,56.0,2025-09-09 11:31:11.254249
current,0.07,2025-09-09 11:31:11.254249
power,3,2025-09-09 11:31:11.254249
voltage,120.52,2025-09-09 11:31:11.254249
filament_temp,158.8,2025-09-09 11:31:11.754481
bed_temp,56.0,2025-09-09 11:31:11.754481
current,0.07,2025-09-09 11:31:11.754481
power,3,2025-09-09 11:31:11.754481
voltage,120.52,2025-09-09 11:31:11.754481
filament_temp,158.8,2025-09-09 11:31:12.254698
bed_temp,56.0,2025-09-09 11:31:12.254698
current,0.07,2025-09-09 11:31:12.254698
power,3,2025-09-09 11:31:12.254698
voltage,120.52,2025-09-09 11:31:12.254698
filament_temp,158.8,2025-09-09 11:31:12.754886
bed_temp,56.0,2025-09-09 11:31:12.754886
current,0.07,2025-09-09 11:31:12.754886
power,3,2025-09-09 11:31:12.754886
voltage,120.52,2025-09-09 11:31:12.754886
filament_temp,158.8,2025-09-09 11:31:13.255077
bed_temp,56.0,2025-09-09 11:31:13.255077
current,0.07,2025-09-09 11:31:13.255077
power,3,2025-09-09 11:31:13.255077
voltage,120.52,2025-09-09 11:31:13.255077
filament_temp,158.8,2025-09-09 11:31:13.755266
bed_temp,56.0,2025-09-09 11:31:13.755266
current,0.07,2025-09-09 11:31:13.755266
power,3,2025-09-09 11:31:13.755266
voltage,120.52,2025-09-09 11:31:13.755266
filament_temp,158.8,2025-09-09 11:31:14.255467
bed_temp,56.0,2025-09-09 11:31:14.255467
current,0.07,2025-09-09 11:31:14.255467
power,3,2025-09-09 11:31:14.255467
voltage,120.52,2025-09-09 11:31:14.255467
filament_temp,158.8,2025-09-09 11:31:14.755659
bed_temp,56.0,2025-09-09 11:31:14.755659
current,0.07,2025-09-09 11:31:14.755659
power,3,2025-09-09 11:31:14.755659
voltage,120.52,2025-09-09 11:31:14.755659
filament_temp,158.8,2025-09-09 11:31:15.255857
bed_temp,56.0,2025-09-09 11:31:15.255857
current,0.07,2025-09-09 11:31:15.255857
power,3,2025-09-09 11:31:15.255857
voltage,120.52,2025-09-09 11:31:15.255857
filament_temp,154.4,2025-09-09 11:31:15.756051
bed_temp,56.5,2025-09-09 11:31:15.756051
current,0.07,2025-09-09 11:31:15.756051
power,3,2025-09-09 11:31:15.756051
voltage,120.52,2025-09-09 11:31:15.756051
filament_temp,154.4,2025-09-09 11:31:16.256279
bed_temp,56.5,2025-09-09 11:31:16.256279
