Dataname,Value,Time
filament_temp,18.8,2025-09-12 09:30:00.871676
bed_temp,17.0,2025-09-12 09:30:00.871676
current,0.07,2025-09-12 09:30:00.871676
power,2.4,2025-09-12 09:30:00.871676
voltage,122.04,2025-09-12 09:30:00.871676
filament_temp,18.8,2025-09-12 09:30:01.872005
bed_temp,17.0,2025-09-12 09:30:01.872005
current,0.07,2025-09-12 09:30:01.872005
power,2.4,2025-09-12 09:30:01.872005
voltage,122.04,2025-09-12 09:30:01.872005
filament_temp,19.3,2025-09-12 09:30:02.872331
bed_temp,17.1,2025-09-12 09:30:02.872331
current,0.07,2025-09-12 09:30:02.872331
power,2.4,2025-09-12 09:30:02.872331
voltage,122.04,2025-09-12 09:30:02.872331
filament_temp,19.3,2025-09-12 09:30:03.872617
bed_temp,17.1,2025-09-12 09:30:03.872617
current,0.07,2025-09-12 09:30:03.872617
power,2.4,2025-09-12 09:30:03.872617
voltage,122.04,2025-09-12 09:30:03.872617
filament_temp,19.3,2025-09-12 09:30:04.872937
bed_temp,17.1,2025-09-12 09:30:04.872937
current,0.07,2025-09-12 09:30:04.872937
power,2.4,2025-09-12 09:30:04.872937
voltage,122.04,2025-09-12 09:30:04.872937
filament_temp,19.3,2025-09-12 09:30:05.873220
bed_temp,17.1,2025-09-12 09:30:05.873220
current,0.07,2025-09-12 09:30:05.873220
power,2.4,2025-09-12 09:30:05.873220
voltage,122.04,2025-09-12 09:30:05.873220
filament_temp,19.3,2025-09-12 09:30:06.873519
bed_temp,17.1,2025-09-12 09:30:06.873519
current,0.07,2025-09-12 09:30:06.873519
power,2.4,2025-09-12 09:30:06.873519
voltage,122.04,2025-09-12 09:30:06.873519
filament_temp,19.2,2025-09-12 09:30:07.873806
bed_temp,17.9,2025-09-12 09:30:07.873806
current,0.07,2025-09-12 09:30:07.873806
power,2.4,2025-09-12 09:30:07.873806
voltage,122.04,2025-09-12 09:30:07.873806
filament_temp,19.2,2025-09-12 09:30:08.874115
bed_temp,17.9,2025-09-12 09:30:08.874115
current,0.07,2025-09-12 09:30:08.874115
power,2.4,2025-09-12 09:30:08.874115
voltage,122.04,2025-09-12 09:30:08.874115
filament_temp,19.2,2025-09-12 09:30:09.874442
bed_temp,17.9,2025-09-12 09:30:09.874442
current,0.07,2025-09-12 09:30:09.874442
power,2.4,2025-09-12 09:30:09.874442
voltage,122.04,2025-09-12 09:30:09.874442
filament_temp,19.2,2025-09-12 09:30:10.874762
bed_temp,17.9,2025-09-12 09:30:10.874762
current,0.07,2025-09-12 09:30:10.874762
power,2.4,2025-09-12 09:30:10.874762
voltage,122.04,2025-09-12 09:30:10.874762
filament_temp,19.2,2025-09-12 09:30:11.875049
bed_temp,17.9,2025-09-12 09:30:11.875049
current,0.07,2025-09-12 09:30:11.875049
power,2.4,2025-09-12 09:30:11.875049
voltage,122.04,2025-09-12 09:30:11.875049
filament_temp,18.5,2025-09-12 09:30:12.875380
bed_temp,18.0,2025-09-12 09:30:12.875380
current,0.07,2025-09-12 09:30:12.875380
power,2.4,2025-09-12 09:30:12.875380
voltage,122.04,2025-09-12 09:30:12.875380
filament_temp,18.5,2025-09-12 09:30:13.875671
bed_temp,18.0,2025-09-12 09:30:13.875671
current,0.07,2025-09-12 09:30:13.875671
power,2.4,2025-09-12 09:30:13.875671
voltage,122.04,2025-09-12 09:30:13.875671
filament_temp,18.5,2025-09-12 09:30:14.876021
bed_temp,18.0,2025-09-12 09:30:14.876021
current,0.07,2025-09-12 09:30:14.876021
power,2.4,2025-09-12 09:30:14.876021
voltage,122.04,2025-09-12 09:30:14.876021
filament_temp,18.5,2025-09-12 09:30:15.876305
bed_temp,18.0,2025-09-12 09:30:15.876305
current,0.07,2025-09-12 09:30:15.876305
power,2.4,2025-09-12 09:30:15.876305
voltage,122.04,2025-09-12 09:30:15.876305
filament_temp,18.5,2025-09-12 09:30:16.876612
bed_temp,18.0,2025-09-12 09:30:16.876612
current,0.07,2025-09-12 09:30:16.876612
power,2.4,2025-09-12 09:30:16.876612
voltage,122.04,2025-09-12 09:30:16.876612
filament_temp,19.3,2025-09-12 09:30:17.876851
bed_temp,16.8,2025-09-12 09:30:17.876851
current,0.07,2025-09-12 09:30:17.876851
power,2.4,2025-09-12 09:30:17.876851
voltage,122.04,2025-09-12 09:30:17.876851
filament_temp,19.3,2025-09-12 09:30:18.877132
bed_temp,16.8,2025-09-12 09:30:18.877132
current,0.07,2025-09-12 09:30:18.877132
power,2.4,2025-09-12 09:30:18.877132
voltage,122.04,2025-09-12 09:30:18.877132
filament_temp,19.3,2025-09-12 09:30:19.877474
bed_temp,16.8,2025-09-12 09:30:19.877474
current,0.07,2025-09-12 09:30:19.877474
power,2.4,2025-09-12 09:30:19.877474
