Dataname,Value,Time
featureId,UNAVAILABLE,2025-07-30 14:36:00.106224
partKindId,NONE,2025-07-30 14:36:00.106224
processKindId,NONE,2025-07-30 14:36:00.106224
A_Axis_Load,17,2025-07-30 14:36:00.106224
A_Position,-90.0003437746771,2025-07-30 14:36:00.106224
C_Axis_Load,42,2025-07-30 14:36:00.106224
C_Position,120,2025-07-30 14:36:00.106224
Machine_Time,2739643.356,2025-07-30 14:36:00.106224
Spindle_Time,754996.344000001,2025-07-30 14:36:00.106224
Feed_Override,100,2025-07-30 14:36:00.106224
Feed_Rate,0,2025-07-30 14:36:00.106224
Program_Runtime_Seconds,13,2025-07-30 14:36:00.106224
Rapid_Override,100,2025-07-30 14:36:00.106224
Rapid_Speed,0,2025-07-30 14:36:00.106224
S_Axis_Load,0,2025-07-30 14:36:00.106224
Spindle_Override,100,2025-07-30 14:36:00.106224
Spindle_Speed,0,2025-07-30 14:36:00.106224
X_Axis_Load,4,2025-07-30 14:36:00.106224
X_Position,379.846805990744,2025-07-30 14:36:00.106224
Y_Axis_Load,6,2025-07-30 14:36:00.106224
Y_Position,496.953400028809,2025-07-30 14:36:00.106224
Z_Axis_Load,40,2025-07-30 14:36:00.106224
Z_Position,-4.30259193467025,2025-07-30 14:36:00.106224
COR_Status,1,2025-07-30 14:36:00.106224
Controller_Mode,AUTO,2025-07-30 14:36:00.106224
EStop_State,ARMED,2025-07-30 14:36:00.106224
Machine_Mode,4,2025-07-30 14:36:00.106224
Block_Number,66,2025-07-30 14:36:00.106224
Current_Tool,72,2025-07-30 14:36:00.106224
Part_Count,25,2025-07-30 14:36:00.106224
Program_Name_Running,000454_D_A_PROGRAM_3.NC,2025-07-30 14:36:00.106224
spindle motor v_rms,0.0,2025-07-30 14:36:00.106224
spindle motor a_peak,300,2025-07-30 14:36:00.106224
spindle motor a_rms,100,2025-07-30 14:36:00.106224
spindle motor temp,33.4,2025-07-30 14:36:00.106224
spindle motor crest,4.1,2025-07-30 14:36:00.106224
z-axis bearing v_rms,0.0,2025-07-30 14:36:00.106224
z-axis bearing a_peak,200,2025-07-30 14:36:00.106224
z-axis bearing a_rms,0,2025-07-30 14:36:00.106224
z-axis bearing temp,25.0,2025-07-30 14:36:00.106224
z-axis bearing crest,3.7,2025-07-30 14:36:00.106224
z-axis motor v_rms,0.0,2025-07-30 14:36:00.106224
z-axis motor a_peak,900,2025-07-30 14:36:00.106224
z-axis motor a_rms,500,2025-07-30 14:36:00.106224
z-axis motor temp,30.1,2025-07-30 14:36:00.106224
z-axis motor crest,1.9,2025-07-30 14:36:00.106224
y-axis bearing v_rms,0.0,2025-07-30 14:36:00.106224
y-axis bearing a_peak,200,2025-07-30 14:36:00.106224
y-axis bearing a_rms,0,2025-07-30 14:36:00.106224
y-axis bearing temp,22.8,2025-07-30 14:36:00.106224
y-axis bearing crest,3.9,2025-07-30 14:36:00.106224
y-axis motor v_rms,0.0,2025-07-30 14:36:00.106224
y-axis motor a_peak,400,2025-07-30 14:36:00.106224
y-axis motor a_rms,200,2025-07-30 14:36:00.106224
y-axis motor temp,25.7,2025-07-30 14:36:00.106224
y-axis motor crest,2.6,2025-07-30 14:36:00.106224
x-axis motor v_rms,0.0,2025-07-30 14:36:00.106224
x-axis motor a_peak,200,2025-07-30 14:36:00.106224
x-axis motor a_rms,0,2025-07-30 14:36:00.106224
x-axis motor temp,23.6,2025-07-30 14:36:00.106224
x-axis motor crest,3.6,2025-07-30 14:36:00.106224
voltage,132.20000000000002,2025-07-30 14:36:00.106224
current,3.6899999999999995,2025-07-30 14:36:00.106224
active power,395.6666666666667,2025-07-30 14:36:00.106224
forward kWh,49.010333333333335,2025-07-30 14:36:00.106224
reverse kWh,1.569,2025-07-30 14:36:00.106224
frequency,59.98,2025-07-30 14:36:00.106224
power factor,0.7666666666666666,2025-07-30 14:36:00.106224
featureId,UNAVAILABLE,2025-07-30 14:36:01.106418
partKindId,NONE,2025-07-30 14:36:01.106418
processKindId,NONE,2025-07-30 14:36:01.106418
A_Axis_Load,17,2025-07-30 14:36:01.106418
A_Position,-90.0003437746771,2025-07-30 14:36:01.106418
C_Axis_Load,42,2025-07-30 14:36:01.106418
C_Position,120,2025-07-30 14:36:01.106418
Machine_Time,2739643.356,2025-07-30 14:36:01.106418
Spindle_Time,754996.344000001,2025-07-30 14:36:01.106418
Feed_Override,100,2025-07-30 14:36:01.106418
Feed_Rate,0,2025-07-30 14:36:01.106418
Program_Runtime_Seconds,13,2025-07-30 14:36:01.106418
Rapid_Override,100,2025-07-30 14:36:01.106418
Rapid_Speed,0,2025-07-30 14:36:01.106418
