Dataname,Value,Time
featureId,NONE,2025-07-11 10:49:00.966389
partKindId,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,2025-07-11 10:49:00.966389
processKindId,94AE40F8-AC19-405A-A87C-42158C42D530,2025-07-11 10:49:00.966389
A_Axis_Load,33,2025-07-11 10:49:00.966389
A_Position,-90.0003437746771,2025-07-11 10:49:00.966389
C_Axis_Load,12,2025-07-11 10:49:00.966389
C_Position,-59.9995,2025-07-11 10:49:00.966389
Machine_Time,2592292.102,2025-07-11 10:49:00.966389
Spindle_Time,691229.158999999,2025-07-11 10:49:00.966389
Feed_Override,100,2025-07-11 10:49:00.966389
Feed_Rate,633.3333,2025-07-11 10:49:00.966389
Program_Runtime_Seconds,24,2025-07-11 10:49:00.966389
Rapid_Override,100,2025-07-11 10:49:00.966389
Rapid_Speed,0,2025-07-11 10:49:00.966389
S_Axis_Load,16,2025-07-11 10:49:00.966389
Spindle_Override,100,2025-07-11 10:49:00.966389
Spindle_Speed,894.831967213112,2025-07-11 10:49:00.966389
X_Axis_Load,19,2025-07-11 10:49:00.966389
X_Position,109.988073128497,2025-07-11 10:49:00.966389
Y_Axis_Load,22,2025-07-11 10:49:00.966389
Y_Position,383.033785518267,2025-07-11 10:49:00.966389
Z_Axis_Load,35,2025-07-11 10:49:00.966389
Z_Position,-99.8669897586013,2025-07-11 10:49:00.966389
COR_Status,1,2025-07-11 10:49:00.966389
Controller_Mode,AUTO,2025-07-11 10:49:00.966389
EStop_State,ARMED,2025-07-11 10:49:00.966389
Machine_Mode,5,2025-07-11 10:49:00.966389
Block_Number,32,2025-07-11 10:49:00.966389
Current_Tool,85,2025-07-11 10:49:00.966389
Part_Count,3,2025-07-11 10:49:00.966389
Program_Name_Running,000454_D_A_PROGRAM_3.NC,2025-07-11 10:49:00.966389
spindle motor v_rms,0.1,2025-07-11 10:49:00.966389
spindle motor a_peak,3600,2025-07-11 10:49:00.966389
spindle motor a_rms,300,2025-07-11 10:49:00.966389
spindle motor temp,26.7,2025-07-11 10:49:00.966389
spindle motor crest,11.2,2025-07-11 10:49:00.966389
z-axis bearing v_rms,0.1,2025-07-11 10:49:00.966389
z-axis bearing a_peak,1700,2025-07-11 10:49:00.966389
z-axis bearing a_rms,200,2025-07-11 10:49:00.966389
z-axis bearing temp,23.0,2025-07-11 10:49:00.966389
z-axis bearing crest,8.8,2025-07-11 10:49:00.966389
z-axis motor v_rms,0.2,2025-07-11 10:49:00.966389
z-axis motor a_peak,900,2025-07-11 10:49:00.966389
z-axis motor a_rms,100,2025-07-11 10:49:00.966389
z-axis motor temp,26.8,2025-07-11 10:49:00.966389
z-axis motor crest,6.4,2025-07-11 10:49:00.966389
y-axis bearing v_rms,0.1,2025-07-11 10:49:00.966389
y-axis bearing a_peak,300,2025-07-11 10:49:00.966389
y-axis bearing a_rms,100,2025-07-11 10:49:00.966389
y-axis bearing temp,21.8,2025-07-11 10:49:00.966389
y-axis bearing crest,5.0,2025-07-11 10:49:00.966389
y-axis motor v_rms,0.0,2025-07-11 10:49:00.966389
y-axis motor a_peak,500,2025-07-11 10:49:00.966389
y-axis motor a_rms,200,2025-07-11 10:49:00.966389
y-axis motor temp,24.3,2025-07-11 10:49:00.966389
y-axis motor crest,2.7,2025-07-11 10:49:00.966389
x-axis motor v_rms,0.0,2025-07-11 10:49:00.966389
x-axis motor a_peak,200,2025-07-11 10:49:00.966389
x-axis motor a_rms,0,2025-07-11 10:49:00.966389
x-axis motor temp,21.5,2025-07-11 10:49:00.966389
x-axis motor crest,3.8,2025-07-11 10:49:00.966389
voltage,132.23333333333335,2025-07-11 10:49:00.966389
current,5.076666666666667,2025-07-11 10:49:00.966389
active power,581.3333333333334,2025-07-11 10:49:00.966389
forward kWh,16.609333333333336,2025-07-11 10:49:00.966389
reverse kWh,0.379,2025-07-11 10:49:00.966389
frequency,60.0,2025-07-11 10:49:00.966389
power factor,0.8333333333333334,2025-07-11 10:49:00.966389
featureId,NONE,2025-07-11 10:49:01.966691
partKindId,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,2025-07-11 10:49:01.966691
processKindId,94AE40F8-AC19-405A-A87C-42158C42D530,2025-07-11 10:49:01.966691
A_Axis_Load,33,2025-07-11 10:49:01.966691
A_Position,-90.0003437746771,2025-07-11 10:49:01.966691
C_Axis_Load,12,2025-07-11 10:49:01.966691
C_Position,-59.9995,2025-07-11 10:49:01.966691
Machine_Time,2592292.102,2025-07-11 10:49:01.966691
Spindle_Time,691229.158999999,2025-07-11 10:49:01.966691
Feed_Override,100,2025-07-11 10:49:01.966691
Feed_Rate,533.3333,2025-07-11 10:49:01.966691
Program_Runtime_Seconds,25,2025-07-11 10:49:01.966691
Rapid_Override,100,2025-07-11 10:49:01.966691
Rapid_Speed,0,2025-07-11 10:49:01.966691
S_Axis_Load,3,2025-07-11 10:49:01.966691
Spindle_Override,100,2025-07-11 10:49:01.966691
Spindle_Speed,3036,2025-07-11 10:49:01.966691
X_Axis_Load,8,2025-07-11 10:49:01.966691
X_Position,379.846863210764,2025-07-11 10:49:01.966691
Y_Axis_Load,8,2025-07-11 10:49:01.966691
Y_Position,99.953787290362,2025-07-11 10:49:01.966691
Z_Axis_Load,12,2025-07-11 10:49:01.966691
Z_Position,-134.808111691854,2025-07-11 10:49:01.966691
COR_Status,1,2025-07-11 10:49:01.966691
Controller_Mode,AUTO,2025-07-11 10:49:01.966691
EStop_State,ARMED,2025-07-11 10:49:01.966691
Machine_Mode,5,2025-07-11 10:49:01.966691
Block_Number,33,2025-07-11 10:49:01.966691
Current_Tool,85,2025-07-11 10:49:01.966691
Part_Count,3,2025-07-11 10:49:01.966691
Program_Name_Running,000454_D_A_PROGRAM_3.NC,2025-07-11 10:49:01.966691
spindle motor v_rms,0.1,2025-07-11 10:49:01.966691
spindle motor a_peak,5000,2025-07-11 10:49:01.966691
spindle motor a_rms,1300,2025-07-11 10:49:01.966691
spindle motor temp,26.7,2025-07-11 10:49:01.966691
spindle motor crest,3.8,2025-07-11 10:49:01.966691
z-axis bearing v_rms,0.1,2025-07-11 10:49:01.966691
z-axis bearing a_peak,4200,2025-07-11 10:49:01.966691
z-axis bearing a_rms,1000,2025-07-11 10:49:01.966691
z-axis bearing temp,23.0,2025-07-11 10:49:01.966691
z-axis bearing crest,4.0,2025-07-11 10:49:01.966691
