Dataname,Value,Time
featureId,NONE,2025-07-11 12:26:00.099775
partKindId,NONE,2025-07-11 12:26:00.099775
processKindId,NONE,2025-07-11 12:26:00.099775
A_Axis_Load,14,2025-07-11 12:26:00.099775
A_Position,-0.00104607675826151,2025-07-11 12:26:00.099775
C_Axis_Load,9,2025-07-11 12:26:00.099775
C_Position,30,2025-07-11 12:26:00.099775
Machine_Time,2598057.759,2025-07-11 12:26:00.099775
Spindle_Time,693751.236000001,2025-07-11 12:26:00.099775
Feed_Override,100,2025-07-11 12:26:00.099775
Feed_Rate,0,2025-07-11 12:26:00.099775
Program_Runtime_Seconds,53,2025-07-11 12:26:00.099775
Rapid_Override,100,2025-07-11 12:26:00.099775
Rapid_Speed,0,2025-07-11 12:26:00.099775
S_Axis_Load,0,2025-07-11 12:26:00.099775
Spindle_Override,100,2025-07-11 12:26:00.099775
Spindle_Speed,0,2025-07-11 12:26:00.099775
X_Axis_Load,3,2025-07-11 12:26:00.099775
X_Position,383.890496924113,2025-07-11 12:26:00.099775
Y_Axis_Load,4,2025-07-11 12:26:00.099775
Y_Position,503.59819449292,2025-07-11 12:26:00.099775
Z_Axis_Load,35,2025-07-11 12:26:00.099775
Z_Position,-99.8670097108772,2025-07-11 12:26:00.099775
COR_Status,1,2025-07-11 12:26:00.099775
Controller_Mode,MANUAL,2025-07-11 12:26:00.099775
EStop_State,ARMED,2025-07-11 12:26:00.099775
Machine_Mode,2,2025-07-11 12:26:00.099775
Block_Number,3277,2025-07-11 12:26:00.099775
Current_Tool,71,2025-07-11 12:26:00.099775
Part_Count,9,2025-07-11 12:26:00.099775
Program_Name_Running,000454_D_A_PROGRAM_1.NC,2025-07-11 12:26:00.099775
spindle motor v_rms,0.0,2025-07-11 12:26:00.099775
spindle motor a_peak,200,2025-07-11 12:26:00.099775
spindle motor a_rms,100,2025-07-11 12:26:00.099775
spindle motor temp,32.7,2025-07-11 12:26:00.099775
spindle motor crest,3.6,2025-07-11 12:26:00.099775
z-axis bearing v_rms,0.0,2025-07-11 12:26:00.099775
z-axis bearing a_peak,200,2025-07-11 12:26:00.099775
z-axis bearing a_rms,0,2025-07-11 12:26:00.099775
z-axis bearing temp,23.8,2025-07-11 12:26:00.099775
z-axis bearing crest,4.2,2025-07-11 12:26:00.099775
z-axis motor v_rms,0.0,2025-07-11 12:26:00.099775
z-axis motor a_peak,400,2025-07-11 12:26:00.099775
z-axis motor a_rms,100,2025-07-11 12:26:00.099775
z-axis motor temp,28.2,2025-07-11 12:26:00.099775
z-axis motor crest,3.3,2025-07-11 12:26:00.099775
y-axis bearing v_rms,0.0,2025-07-11 12:26:00.099775
y-axis bearing a_peak,200,2025-07-11 12:26:00.099775
y-axis bearing a_rms,100,2025-07-11 12:26:00.099775
y-axis bearing temp,22.6,2025-07-11 12:26:00.099775
y-axis bearing crest,3.9,2025-07-11 12:26:00.099775
y-axis motor v_rms,0.0,2025-07-11 12:26:00.099775
y-axis motor a_peak,1400,2025-07-11 12:26:00.099775
y-axis motor a_rms,900,2025-07-11 12:26:00.099775
y-axis motor temp,25.4,2025-07-11 12:26:00.099775
y-axis motor crest,1.6,2025-07-11 12:26:00.099775
x-axis motor v_rms,0.0,2025-07-11 12:26:00.099775
x-axis motor a_peak,200,2025-07-11 12:26:00.099775
x-axis motor a_rms,0,2025-07-11 12:26:00.099775
x-axis motor temp,22.2,2025-07-11 12:26:00.099775
x-axis motor crest,4.1,2025-07-11 12:26:00.099775
voltage,133.53333333333333,2025-07-11 12:26:00.099775
current,3.6333333333333333,2025-07-11 12:26:00.099775
active power,396.6666666666667,2025-07-11 12:26:00.099775
forward kWh,18.002666666666666,2025-07-11 12:26:00.099775
reverse kWh,0.4286666666666667,2025-07-11 12:26:00.099775
frequency,59.95000000000001,2025-07-11 12:26:00.099775
power factor,0.7733333333333333,2025-07-11 12:26:00.099775
featureId,NONE,2025-07-11 12:26:01.100061
partKindId,NONE,2025-07-11 12:26:01.100061
processKindId,NONE,2025-07-11 12:26:01.100061
A_Axis_Load,14,2025-07-11 12:26:01.100061
A_Position,-0.00104607675826151,2025-07-11 12:26:01.100061
C_Axis_Load,9,2025-07-11 12:26:01.100061
C_Position,30,2025-07-11 12:26:01.100061
Machine_Time,2598057.759,2025-07-11 12:26:01.100061
Spindle_Time,693751.236000001,2025-07-11 12:26:01.100061
Feed_Override,100,2025-07-11 12:26:01.100061
Feed_Rate,0,2025-07-11 12:26:01.100061
Program_Runtime_Seconds,53,2025-07-11 12:26:01.100061
Rapid_Override,100,2025-07-11 12:26:01.100061
Rapid_Speed,0,2025-07-11 12:26:01.100061
S_Axis_Load,0,2025-07-11 12:26:01.100061
