region_code,region_full_name,parent,co2_moer,co2_aoer,health_damage
ABW,Aruba,,Y,,
AECI,Associated Electric Coop Inc,,Y,Y,
AESO,Alberta Electric System Operator,,Y,Y,
ATG,Antigua and Barbuda,,Y,,
AVA,Avista Corp,,Y,Y,
AZPS,Arizona Public Service Co,,Y,Y,
BANC,Balancing Authority of Northern California,,Y,Y,
BCHYDRO,BC Hydro,,Y,Y,
BHS,Bahamas (the),,Y,,
BLZ,Belize,,Y,,
BMU,Bermuda,,Y,,
BPA,Bonneville Power Administration,,Y,Y,
BRB,Barbados,,Y,,
CAISO,California Independent System Operator,,,Y,
CAISO_ESCONDIDO,California ISO Escondido,CAISO,Y,,
CAISO_LONGBEACH,California ISO Long Beach,CAISO,Y,,
CAISO_NORTH,California ISO Northern,CAISO,Y,,Y
CAISO_PALMSPRINGS,California ISO Palm Springs,CAISO,Y,,
CAISO_REDDING,California ISO Redding,CAISO,Y,,
CAISO_SANBERNARDINO,California ISO San Bernardino,CAISO,Y,,
CAISO_SANDIEGO,California ISO San Diego,CAISO,Y,,
CHPD,PUD No 1 of Chelan County,,Y,Y,
CPLE,Duke Energy Progress East,,Y,Y,
CPLW,Duke Energy Progress West,,Y,Y,
CRI,Costa Rica,,Y,,
CUB,Cuba,,Y,,
CUW,Curaçao,,Y,,
CYM,Cayman Islands,,Y,,
DMA,Dominica,,Y,,
DOM,Dominican Republic (the),,Y,,
DOPD,PUD No 1 of Douglas County,,Y,Y,
DUK,Duke Energy Carolinas,,Y,Y,
ELE,El Paso Electric,,Y,Y,
ERCOT,ERCOT ISO,,,Y,
ERCOT_AUSTIN,ERCOT Austin,ERCOT,Y,,
ERCOT_COAST,ERCOT Coast,ERCOT,Y,,
ERCOT_EASTTX,ERCOT East Texas,ERCOT,Y,,
ERCOT_HIDALGO,ERCOT Hidalgo County,ERCOT,Y,,
ERCOT_NORTHCENTRAL,ERCOT North Central,ERCOT,Y,,
ERCOT_PANHANDLE,ERCOT Northern Panhandle,ERCOT,Y,,
ERCOT_SANANTONIO,ERCOT San Antonio,ERCOT,Y,,
ERCOT_SECOAST,ERCOT South Eastern Coast,ERCOT,Y,,
ERCOT_SOUTHTX,ERCOT South Texas,ERCOT,Y,,
ERCOT_WESTTX,ERCOT West Texas,ERCOT,Y,,
FMPP,Florida Municipal Power Pool,,Y,Y,
FPC,Duke Energy Florida,,Y,Y,
FPL,Florida Power & Light,,Y,Y,
GCPD,PUD No 2 of Grant County,,Y,Y,
GLP,Guadeloupe,,Y,,
GRD,Grenada,,Y,,
GRL,Greenland,,Y,,
GTM,Guatemala,,Y,,
GVL,Gainesville Regional Utilities,,Y,Y,
HND,Honduras,,Y,,
HQ,Hydro Quebec,,Y,Y,
HST,Homestead (City of),,Y,Y,
HTI,Haiti,,Y,,
IESO,Independent Electricity System Operator (Ontario),,,Y,
IESO_NORTH,IESO Ontario North,IESO,Y,,
IESO_SOUTH,IESO Ontario South,IESO,Y,,
IESO_WEST,IESO Ontario West,IESO,Y,,
IID,Imperial Irrigation District,,Y,Y,
IPCO,Idaho Power Co,,Y,Y,
ISONE,New England ISO,,,Y,
ISONE_CT,ISONE Connecticut,ISONE,Y,,
ISONE_ME,ISONE Maine,ISONE,Y,,
ISONE_NEMA,ISONE Northeast Massachusetts,ISONE,Y,,
ISONE_NH,ISONE New Hampshire,ISONE,Y,,
ISONE_RI,ISONE Rhode Island,ISONE,Y,,
ISONE_SEMA,ISONE Southeast Massachusetts,ISONE,Y,,
ISONE_VT,ISONE Vermont,ISONE,Y,,
ISONE_WCMA,ISONE Western/Central Massachusetts,ISONE,Y,,
JAM,Jamaica,,Y,,
JEA,JEA Jacksonville Florida,,Y,Y,
KNA,Saint Kitts and Nevis,,Y,,
LCA,Saint Lucia,,Y,,
LDWP,Los Angeles Dept of Water & Power,,Y,Y,
LGEE,Louisville Gas & Electric Co,,Y,Y,
MISO,Midcontinent Independent System Operator,,,Y,
MISO_BEAUMONT,MISO Beaumont,MISO,Y,,
MISO_DETROIT,MISO Detroit,MISO,Y,,
MISO_EAU_CLAIRE,MISO Eau Claire,MISO,Y,,
MISO_GRAND_RAPIDS,MISO Grand Rapids,MISO,Y,,
MISO_INDIANAPOLIS,MISO Indianapolis,MISO,Y,,
MISO_LAFAYETTE,MISO Lafayette,MISO,Y,,
MISO_LOWER_MS_RIVER,MISO Lower MS River,MISO,Y,,
MISO_MADISON,MISO Madison,MISO,Y,,
MISO_MASON_CITY,MISO Madison City,MISO,Y,,
MISO_MINNEAPOLIS,MISO Minneapolis,MISO,Y,,
MISO_NEW_ORLEANS,MISO New Orleans,MISO,Y,,
MISO_N_DAKOTA,MISO North Dakota,MISO,Y,,
MISO_SAINT_LOUIS,MISO Saint Louis,MISO,Y,,
MISO_SPRINGFIELD,MISO Springfield,MISO,Y,,
MISO_UPPER_PENINSULA,MISO Upper Peninsula,MISO,Y,,
MISO_WORTHINGTON,MISO Worthington,MISO,Y,,
MPCO,Northwestern Energy,,Y,Y,
MSR,Montserrat,,Y,,
MTQ,Martinique,,Y,,
