program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,906,2025-07-10 11:27:56.384634,21,0.0001678978379824,3000,1,8,30.0005,AUTO,17,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,16,100,0,1,100,11200.0,681139.755,5,373.173257981905,4,207.088274580499,38,-263.330100546041,1112.0,10.58,NONE,11.222666666666669,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8066666666666666,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,4200.0,1300.0,3.3,26.2,0.5,133.06666666666666,700.0,200.0,4.0,23.2,0.9,2300.0,300.0,8.2,21.5,0.0,17200.0,3000.0,5.6,24.3,0.4,2000.0,400.0,5.2,22.4,0.2,8800.0,1300.0,6.6,25.0,0.9
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,907,2025-07-10 11:27:57.384847,21,0.0001678978379824,3006,1,8,30.0005,AUTO,17,ARMED,100,78.66667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,17,100,0,0,100,11200.0,681139.755,12,410.953563557942,19,244.096055260241,30,-298.410067296451,907.0,8.203333333333335,NONE,11.222666666666669,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9066666666666668,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,4500.0,1300.0,3.6,26.2,0.5,133.23333333333332,500.0,100.0,3.9,23.2,0.3,1100.0,300.0,4.3,21.5,0.1,7600.0,1900.0,3.9,24.3,0.4,1300.0,400.0,3.6,22.4,0.2,2200.0,1000.0,2.2,25.0,0.9
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,908,2025-07-10 11:27:58.385051,21,0.0001678978379824,3012,1,8,30.0005,AUTO,17,ARMED,100,97.61667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,18,100,0,1,100,11200.0,681139.755,7,347.994725038769,18,255.06858793306,30,-298.410078739086,1137.0,9.916666666666666,NONE,11.223,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.85,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,4200.0,1300.0,3.2,26.2,0.5,133.03333333333333,500.0,100.0,3.6,23.2,0.5,900.0,200.0,4.2,21.5,0.1,7600.0,2100.0,3.7,24.3,0.4,1200.0,400.0,3.3,22.4,0.2,2200.0,1000.0,2.2,25.0,0.9
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,909,2025-07-10 11:27:59.385257,21,0.0001678978379824,3019,1,8,30.0005,AUTO,17,ARMED,100,67.85,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,19,100,0,0,100,11200.0,681139.755,7,380.839024020237,6,238.996129582291,31,-298.410147394894,1149.6666666666667,9.836666666666666,NONE,11.223333333333333,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8766666666666666,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,4500.0,1300.0,3.6,26.2,0.5,133.06666666666666,600.0,100.0,3.8,23.2,1.3,600.0,100.0,4.4,21.5,0.1,5500.0,1400.0,4.0,24.3,0.4,1200.0,400.0,3.5,22.4,0.2,2200.0,1000.0,2.2,25.0,0.9
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,910,2025-07-10 11:28:00.675200,21,0.0001678978379824,3031,1,8,30.0005,AUTO,17,ARMED,100,62.23333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,20,100,0,0,100,11200.0,681139.755,36,362.436910747031,6,267.804769988655,30,-298.410101624355,1165.3333333333333,10.013333333333334,NONE,11.223666666666666,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8700000000000001,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,4300.0,1300.0,3.4,26.2,0.5,133.03333333333333,500.0,100.0,3.7,23.2,0.3,1000.0,200.0,4.3,21.5,0.1,8200.0,2100.0,3.9,24.3,0.4,1300.0,300.0,3.9,22.4,0.2,2200.0,1000.0,2.2,25.0,0.9
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,911,2025-07-10 11:28:01.700544,21,0.0001678978379824,3038,1,8,30.0005,AUTO,17,ARMED,100,75.1,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,21,100,0,0,100,11200.0,681139.755,38,379.26031223289,4,238.976365750918,30,-298.410055853816,1156.0,10.07,NONE,11.224000000000002,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.86,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,4700.0,1300.0,3.6,26.2,0.5,133.03333333333333,700.0,200.0,3.4,23.2,1.3,1000.0,200.0,5.6,21.5,0.1,6600.0,1600.0,4.1,24.3,0.4,4100.0,500.0,8.5,22.4,0.3,2200.0,900.0,2.3,25.0,0.9
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,912,2025-07-10 11:28:02.700759,21,0.0001678978379824,3043,1,8,30.0005,AUTO,17,ARMED,100,98.66667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,22,100,0,1,100,11200.0,681139.755,10,393.577219036225,23,267.174751344945,30,-298.41011306699,1156.0,10.07,NONE,11.224000000000002,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.86,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,5100.0,1300.0,3.9,26.2,0.6,133.03333333333333,700.0,200.0,3.3,23.2,1.2,400.0,100.0,4.0,21.5,0.1,6300.0,1200.0,5.1,24.3,0.4,3000.0,600.0,4.8,22.4,0.2,2400.0,900.0,2.6,25.0,0.8
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,913,2025-07-10 11:28:03.700911,21,0.0001678978379824,3051,1,8,30.0005,AUTO,17,ARMED,100,88.83333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,23,100,0,1,100,11200.0,681139.755,13,378.622640889423,8,238.726630099884,30,-298.410067296451,1248.0,10.093333333333334,NONE,11.224333333333334,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9233333333333332,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,4900.0,1300.0,3.7,26.2,0.5,133.0,600.0,200.0,3.6,23.2,1.3,800.0,100.0,5.9,21.5,0.1,5200.0,1300.0,4.0,24.3,0.4,2000.0,500.0,4.3,22.4,0.3,2300.0,1000.0,2.4,25.0,0.9
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,914,2025-07-10 11:28:04.701217,21,0.0001678978379824,3058,1,8,30.0005,AUTO,17,ARMED,100,98.76667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,24,100,0,0,100,11200.0,681139.755,2,413.824001197009,21,248.757429763092,31,-298.41009018172,1240.6666666666667,10.4,NONE,11.224333333333334,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9066666666666668,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,5400.0,1700.0,3.2,26.2,0.5,132.96666666666667,900.0,200.0,3.7,23.2,1.1,1100.0,300.0,3.7,21.5,0.1,7800.0,1900.0,4.1,24.3,0.4,5300.0,1200.0,4.2,22.4,0.2,3100.0,1000.0,3.0,25.0,0.7
body_p1,01,Al6061_body01_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,29,915,2025-07-10 11:28:05.701369,21,0.0001678978379824,3062,1,8,30.0005,AUTO,17,ARMED,100,98.76667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,25,100,0,1,100,11200.0,681139.755,8,348.824039123083,13,245.564771117664,31,-298.410135952259,1217.3333333333333,9.95,NONE,11.225333333333332,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9366666666666666,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,0.151,6000.0,1600.0,3.6,26.2,0.5,133.03333333333333,800.0,200.0,3.5,23.2,0.7,1000.0,200.0,4.4,21.5,0.1,7800.0,1800.0,4.2,24.3,0.4,3800.0,1100.0,3.5,22.4,0.2,3000.0,1000.0,3.0,25.0,0.8
