program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,811,2025-07-10 11:26:21.206174,21,0.0001678978379824,2775,1,8,30.0005,AUTO,1,ARMED,100,493.1333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,40,100,0,13,100,468.679899357007,681139.755,73,86.8826723403618,45,450.409976067176,38,-99.8670097108772,641.3333333333334,5.906666666666666,NONE,11.188666666666668,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.68,02F78302-5F12-474A-A693-A8328EE54864,0.151,6500.0,1600.0,4.1,26.0,0.1,133.29999999999998,1900.0,500.0,3.9,23.2,0.3,6100.0,1300.0,4.9,21.4,0.1,30700.0,9300.0,3.3,24.3,0.4,4700.0,700.0,6.9,22.3,0.1,1000.0,200.0,4.6,24.9,0.2
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,812,2025-07-10 11:26:22.206365,21,0.0001678978379824,2776,1,8,30.0005,AUTO,1,ARMED,100,218.9667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,42,100,0,2,100,3709.0,681139.755,7,462.722068263357,7,181.957869055127,31,-116.559945302605,481.3333333333333,4.846666666666667,NONE,11.189,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,02F78302-5F12-474A-A693-A8328EE54864,0.151,10000.0,1700.0,5.9,26.0,0.2,133.43333333333334,300.0,100.0,4.5,23.2,0.1,1600.0,300.0,5.7,21.4,0.0,3700.0,700.0,5.4,24.3,0.2,25200.0,4100.0,6.1,22.3,0.1,48200.0,10500.0,4.6,24.9,1.0
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,813,2025-07-10 11:26:23.206518,21,0.0001678978379824,2778,1,8,30.0005,AUTO,1,ARMED,100,31.2,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,43,100,0,0,100,3709.0,681139.755,9,461.111940950948,7,190.1802378919,30,-283.557023976462,3241.0,34.51333333333333,NONE,11.19,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.5566666666666666,02F78302-5F12-474A-A693-A8328EE54864,0.151,2000.0,500.0,4.3,26.0,0.2,132.0,300.0,100.0,4.4,23.2,0.1,400.0,100.0,3.4,21.4,0.1,2600.0,800.0,3.3,24.3,0.1,1100.0,300.0,3.9,22.3,0.1,500.0,100.0,3.2,24.9,0.2
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,814,2025-07-10 11:26:24.206671,21,0.0001678978379824,2778,1,8,30.0005,AUTO,1,ARMED,100,31.31667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,44,100,0,1,100,3709.0,681139.755,8,441.576894495113,6,207.873727394381,30,-283.557001091192,811.0,7.56,NONE,11.190666666666669,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,02F78302-5F12-474A-A693-A8328EE54864,0.151,2600.0,600.0,4.8,26.0,0.2,133.26666666666665,1600.0,500.0,3.4,23.2,0.2,600.0,100.0,4.3,21.4,0.1,2500.0,500.0,4.9,24.3,0.1,2000.0,400.0,5.3,22.3,0.0,1100.0,200.0,5.3,24.9,0.1
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,815,2025-07-10 11:26:25.206823,21,0.0001678978379824,2779,1,8,30.0005,AUTO,1,ARMED,100,31.33333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,45,100,0,2,100,3709.0,681139.755,9,407.750541843939,6,207.584322429177,30,-283.556978205923,779.0,6.473333333333334,NONE,11.190666666666669,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.91,02F78302-5F12-474A-A693-A8328EE54864,0.151,6200.0,1100.0,5.6,26.0,0.3,133.20000000000002,2400.0,1100.0,2.2,23.2,0.4,800.0,200.0,3.4,21.4,0.1,3900.0,900.0,4.6,24.3,0.2,4000.0,900.0,4.6,22.3,0.1,1000.0,300.0,3.7,24.9,0.2
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,816,2025-07-10 11:26:26.207036,21,0.0001678978379824,2779,1,8,30.0005,AUTO,1,ARMED,100,31.33333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,46,100,0,0,100,3709.0,681139.755,9,375.474000940144,8,206.212167306613,30,-283.557001091192,855.6666666666666,7.16,NONE,11.191,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8433333333333334,02F78302-5F12-474A-A693-A8328EE54864,0.151,5300.0,1200.0,4.6,26.0,0.3,133.23333333333332,2500.0,1100.0,2.3,23.2,0.4,1000.0,200.0,3.9,21.4,0.1,4100.0,800.0,5.2,24.3,0.2,4700.0,1000.0,4.7,22.3,0.1,1300.0,300.0,4.3,24.9,0.2
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,817,2025-07-10 11:26:27.207188,21,0.0001678978379824,2779,1,8,30.0005,AUTO,1,ARMED,100,31.33333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,47,100,0,1,100,3709.0,681139.755,8,344.817034772414,8,204.908924334599,30,-283.557001091192,844.3333333333334,7.076666666666667,NONE,11.191,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8733333333333334,02F78302-5F12-474A-A693-A8328EE54864,0.151,3000.0,600.0,5.2,26.0,0.2,133.23333333333332,800.0,200.0,4.4,23.2,0.3,500.0,100.0,6.0,21.4,0.0,1900.0,400.0,4.7,24.3,0.1,1700.0,400.0,4.3,22.3,0.0,700.0,200.0,4.4,24.9,0.1
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,818,2025-07-10 11:26:28.207339,21,0.0001678978379824,2784,1,8,30.0005,AUTO,1,ARMED,100,31.31667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,48,100,0,0,100,3709.0,681139.755,9,319.732024025714,7,215.097666394398,30,-283.556989648558,802.0,6.670000000000001,NONE,11.191,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8666666666666667,02F78302-5F12-474A-A693-A8328EE54864,0.151,2600.0,500.0,4.8,26.0,0.2,133.23333333333332,2400.0,500.0,4.4,23.2,0.6,500.0,100.0,4.6,21.4,0.1,2500.0,700.0,3.9,24.3,0.1,1500.0,400.0,4.0,22.3,0.1,600.0,100.0,3.8,24.9,0.1
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,819,2025-07-10 11:26:29.207654,21,0.0001678978379824,2785,1,8,30.0005,AUTO,1,ARMED,100,31.33333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,49,100,0,2,100,3709.0,681139.755,9,330.574982483261,7,224.424766934053,30,-283.557012533827,800.6666666666666,6.666666666666667,NONE,11.191333333333333,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.89,02F78302-5F12-474A-A693-A8328EE54864,0.151,5700.0,900.0,6.4,26.0,0.2,133.23333333333332,700.0,200.0,4.1,23.2,0.1,500.0,100.0,5.3,21.4,0.1,3600.0,800.0,4.8,24.3,0.1,3800.0,600.0,6.3,22.3,0.1,700.0,200.0,4.6,24.9,0.1
body_p1,01,Al6061_body01_p1,02F78302-5F12-474A-A693-A8328EE54864,23,820,2025-07-10 11:26:30.207867,21,0.0001678978379824,2785,1,8,30.0005,AUTO,1,ARMED,100,31.33333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,50,100,0,0,100,3709.0,681139.755,8,366.090804268333,7,225.935388674997,30,-283.557001091192,814.3333333333334,6.79,NONE,11.191333333333333,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8099999999999999,02F78302-5F12-474A-A693-A8328EE54864,0.151,2100.0,500.0,4.5,26.0,0.1,133.20000000000002,200.0,100.0,3.9,23.2,0.1,200.0,100.0,4.2,21.4,0.0,2400.0,500.0,5.0,24.3,0.1,1000.0,300.0,3.5,22.3,0.0,500.0,100.0,3.7,24.9,0.1
