program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,927,2025-07-10 11:28:17.773150,21,0.0001678978379824,3081,1,8,30.0005,AUTO,81,ARMED,100,628.9,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,37,100,0,12,100,793.294158313183,681139.755,47,143.384197684894,30,421.848172018888,38,-99.8669982674121,560.3333333333334,5.123333333333334,NONE,11.226,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.66,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,6500.0,1600.0,4.0,26.2,0.1,133.36666666666667,1600.0,500.0,3.5,23.2,0.3,4200.0,1100.0,3.8,21.5,0.1,27300.0,8600.0,3.2,24.3,0.3,4000.0,700.0,5.7,22.4,0.0,700.0,200.0,4.1,25.0,0.1
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,928,2025-07-10 11:28:18.773301,21,0.0001678978379824,3082,1,8,30.0005,AUTO,81,ARMED,100,366.5,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,38,100,0,19,100,4392.89657798503,681139.755,6,381.820410353474,6,273.006752595324,7,-172.67172394053,560.3333333333334,5.123333333333334,NONE,11.226,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.66,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,9500.0,2500.0,3.8,26.2,0.2,133.36666666666667,300.0,100.0,4.1,23.2,0.1,1700.0,400.0,4.6,21.5,0.1,2800.0,700.0,4.0,24.3,0.2,32700.0,6300.0,5.2,22.4,0.1,53400.0,14800.0,3.6,25.0,1.5
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,929,2025-07-10 11:28:19.773453,21,0.0001678978379824,3084,1,8,30.0005,AUTO,81,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,39,100,0,13,100,6575.14167241946,681139.755,6,381.820398908564,5,273.006798372414,30,-329.121306411187,5763.666666666667,47.52,NONE,11.228000000000002,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9433333333333334,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,10800.0,2600.0,4.2,26.2,0.2,130.56666666666666,300.0,100.0,4.2,23.2,0.1,300.0,100.0,3.8,21.5,0.1,1600.0,500.0,3.2,24.3,0.2,1100.0,300.0,4.0,22.4,0.1,600.0,200.0,3.6,25.0,0.2
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,930,2025-07-10 11:28:20.773602,21,0.0001678978379824,3084,1,8,30.0005,AUTO,81,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,40,100,0,9,100,8208.56882040057,681139.755,6,381.820398908564,5,273.006809816687,30,-329.121306411187,5763.666666666667,47.52,NONE,11.228000000000002,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9433333333333334,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,11200.0,2800.0,4.0,26.2,0.3,130.56666666666666,300.0,100.0,3.7,23.2,0.1,400.0,100.0,3.8,21.5,0.1,2100.0,700.0,3.1,24.3,0.3,1100.0,300.0,4.2,22.4,0.1,900.0,300.0,3.2,25.0,0.3
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,931,2025-07-10 11:28:21.773867,21,0.0001678978379824,3084,1,8,30.0005,AUTO,81,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,41,100,0,6,100,9304.76138093954,681139.755,6,381.820421798383,5,273.006798372414,31,-329.121375066406,5796.666666666667,47.78666666666667,NONE,11.229333333333331,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9033333333333332,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,8600.0,2300.0,3.8,26.2,0.5,130.53333333333333,500.0,100.0,3.7,23.2,0.1,300.0,100.0,3.6,21.5,0.1,3000.0,1000.0,3.0,24.3,0.4,1300.0,300.0,4.1,22.4,0.1,1900.0,800.0,2.3,25.0,0.8
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,932,2025-07-10 11:28:22.774020,21,0.0001678978379824,3084,1,8,30.0005,AUTO,81,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,42,100,0,5,100,10166.91312022,681139.755,6,381.820444688202,5,273.006798372414,31,-329.121340738797,4943.0,40.74666666666667,NONE,11.231333333333334,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8833333333333333,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,7500.0,2300.0,3.2,26.2,0.5,131.06666666666666,300.0,100.0,3.1,23.2,0.1,300.0,100.0,3.5,21.5,0.1,6000.0,2400.0,2.5,24.3,0.9,1900.0,600.0,3.4,22.4,0.2,3300.0,1700.0,2.0,25.0,1.6
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,933,2025-07-10 11:28:23.774174,21,0.0001678978379824,3084,1,8,30.0005,AUTO,81,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,43,100,0,4,100,10796.1769472971,681139.755,6,381.820387463655,5,273.006775483869,30,-329.121294968651,3937.0,32.61333333333334,NONE,11.233333333333334,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8833333333333333,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,6800.0,2100.0,3.2,26.2,0.4,131.56666666666666,300.0,100.0,3.5,23.2,0.1,400.0,100.0,3.9,21.5,0.1,2100.0,700.0,2.9,24.3,0.3,1700.0,500.0,3.3,22.4,0.2,1500.0,500.0,2.9,25.0,0.5
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,934,2025-07-10 11:28:24.774481,21,0.0001678978379824,3086,1,8,30.0005,AUTO,81,ARMED,100,7.633333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,44,100,0,3,100,12000.0,681139.755,10,380.427420466129,7,275.846400729982,31,-331.661315068231,3937.0,32.61333333333334,NONE,11.233333333333334,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8833333333333333,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,6500.0,1900.0,3.4,26.2,0.5,131.56666666666666,400.0,100.0,3.2,23.2,0.1,300.0,100.0,3.8,21.5,0.0,3100.0,900.0,3.6,24.3,0.3,1500.0,400.0,3.8,22.4,0.2,2000.0,900.0,2.1,25.0,0.8
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,935,2025-07-10 11:28:25.774633,21,0.0001678978379824,3087,1,8,30.0005,AUTO,81,ARMED,100,7.666667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,45,100,0,3,100,12000.0,681139.755,9,372.920249123503,5,275.846492284,31,-331.66133795375,3244.6666666666665,27.070000000000004,NONE,11.235,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8866666666666667,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,7700.0,2300.0,3.3,26.2,0.5,131.9,300.0,100.0,3.3,23.2,0.1,500.0,100.0,3.6,21.5,0.1,3000.0,1100.0,2.7,24.3,0.4,1700.0,500.0,3.5,22.4,0.3,2000.0,900.0,2.3,25.0,0.7
body_p1,01,Al6061_body01_p1,0B601775-6267-421A-9EA6-DD4531A80D99,31,936,2025-07-10 11:28:26.774793,21,0.0001678978379824,3087,1,8,30.0005,AUTO,81,ARMED,100,7.666667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,46,100,0,0,100,12000.0,681139.755,7,365.020257149343,4,275.846503728252,31,-331.661280739952,2941.6666666666665,24.69,NONE,11.236,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7233333333333333,0B601775-6267-421A-9EA6-DD4531A80D99,0.154,5200.0,1500.0,3.6,26.2,0.5,132.06666666666666,400.0,100.0,3.1,23.2,0.1,500.0,200.0,2.9,21.5,0.1,2400.0,1000.0,2.4,24.3,0.4,1800.0,500.0,3.5,22.4,0.3,1800.0,800.0,2.3,25.0,0.6
