program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1033,2025-07-10 11:30:06.972720,21,0.0001678978379824,3246,1,8,30.0005,AUTO,21,ARMED,100,456.6167,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,26,100,0,19,100,1109.49813355453,681499.984,23,192.933194077331,17,396.994357171142,36,-219.418588355987,-2607.6666666666665,23.360000000000003,NONE,11.268,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.26,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,7000.0,1700.0,4.1,26.5,0.1,135.03333333333333,1900.0,500.0,3.8,23.2,0.3,4900.0,1100.0,4.6,21.5,0.1,26400.0,8300.0,3.2,24.4,0.3,3000.0,700.0,4.4,22.5,0.1,1900.0,700.0,2.5,25.0,0.2
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1034,2025-07-10 11:30:07.972873,21,0.0001678978379824,3247,1,8,30.0005,AUTO,21,ARMED,100,146.7833,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,27,100,0,20,100,4600.35548138267,681499.984,6,377.550703928493,6,287.964875399678,74,-312.635941119142,2945.6666666666665,25.986666666666665,NONE,11.268,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9266666666666667,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,9600.0,1900.0,5.0,26.5,0.3,132.16666666666666,300.0,100.0,5.5,23.2,0.1,1000.0,200.0,6.3,21.5,0.0,3800.0,1400.0,2.6,24.4,0.2,22800.0,3100.0,7.5,22.5,0.1,44600.0,8400.0,5.3,25.2,0.8
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1035,2025-07-10 11:30:08.973043,21,0.0001678978379824,3248,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,28,100,0,12,100,6511.36625020198,681499.984,6,377.550692484489,6,287.964898288103,30,-312.636581901185,5733.333333333333,47.29,NONE,11.269666666666666,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.92,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,9300.0,2600.0,3.6,26.5,0.2,130.6,200.0,100.0,3.7,23.2,0.1,400.0,100.0,3.5,21.5,0.1,3000.0,1400.0,2.2,24.4,0.2,1000.0,300.0,4.0,22.5,0.0,600.0,100.0,4.1,25.2,0.1
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1036,2025-07-10 11:30:09.973233,21,0.0001678978379824,3248,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,29,100,0,9,100,8300.45239580059,681499.984,6,377.550703928493,6,287.964898288103,30,-312.636604786258,5819.666666666667,47.95666666666667,NONE,11.270333333333332,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.93,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,11000.0,2900.0,3.8,26.5,0.3,130.53333333333333,300.0,100.0,4.4,23.2,0.1,400.0,100.0,3.5,21.5,0.1,3500.0,1400.0,2.5,24.4,0.2,1000.0,300.0,4.2,22.5,0.1,800.0,300.0,2.9,25.2,0.3
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1037,2025-07-10 11:30:10.973424,21,0.0001678978379824,3249,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,30,100,0,7,100,10000.0,681499.984,11,377.550692484489,6,287.964909732316,22,-312.751979881603,5083.0,41.90333333333333,NONE,11.272666666666666,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8866666666666667,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,7800.0,2200.0,3.5,26.5,0.5,130.93333333333337,1100.0,200.0,4.6,23.2,0.5,700.0,100.0,4.6,21.5,0.1,3300.0,1200.0,2.9,24.4,0.4,2900.0,400.0,7.9,22.5,0.1,3700.0,1000.0,3.7,25.2,0.9
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1038,2025-07-10 11:30:11.973660,21,0.0001678978379824,3252,1,8,30.0005,AUTO,21,ARMED,100,25.08333,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,31,100,0,0,100,10000.0,681499.984,12,397.873486845146,5,286.893025787406,30,-315.748139404123,4742.666666666667,39.16666666666666,NONE,11.274,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8866666666666667,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,7300.0,1600.0,4.7,26.5,0.6,131.1,1400.0,400.0,3.8,23.2,0.6,700.0,200.0,3.7,21.5,0.1,4400.0,1700.0,2.6,24.4,0.7,1600.0,400.0,4.4,22.5,0.2,3000.0,1700.0,1.7,25.2,1.7
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1039,2025-07-10 11:30:12.973949,21,0.0001678978379824,3253,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,32,100,0,0,100,10000.0,681499.984,8,420.049978627686,8,276.922971190063,31,-315.748139404123,1099.0,9.803333333333333,NONE,11.274,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.4199999999999999,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,4300.0,1300.0,3.3,26.5,0.6,133.06666666666666,1200.0,300.0,4.3,23.2,0.5,700.0,200.0,3.5,21.5,0.1,4200.0,1500.0,2.7,24.4,0.6,1200.0,300.0,3.8,22.5,0.2,3200.0,1800.0,1.8,25.2,1.7
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1040,2025-07-10 11:30:13.974161,21,0.0001678978379824,3255,1,8,30.0005,AUTO,21,ARMED,100,25.4,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,33,100,0,0,100,10000.0,681499.984,6,430.890847684141,8,255.7170089669,30,-315.748070748904,1043.3333333333333,8.906666666666668,NONE,11.274,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8700000000000001,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,4100.0,1300.0,3.2,26.5,0.6,133.06666666666666,600.0,200.0,3.1,23.2,0.1,700.0,200.0,3.5,21.5,0.1,4400.0,1600.0,2.7,24.4,0.6,1300.0,300.0,3.8,22.5,0.2,2900.0,1700.0,1.7,25.2,1.6
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1041,2025-07-10 11:30:14.974312,21,0.0001678978379824,3256,1,8,30.0005,AUTO,21,ARMED,100,25.36667,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,34,100,0,0,100,10000.0,681499.984,9,425.616754905369,5,233.025072150361,31,-315.748024978758,1043.3333333333333,8.886666666666668,NONE,11.274333333333333,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.88,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,4100.0,1300.0,3.2,26.6,0.6,133.06666666666666,1300.0,400.0,3.6,23.2,0.6,700.0,200.0,3.7,21.5,0.2,4400.0,1600.0,2.8,24.4,0.6,1400.0,400.0,3.9,22.5,0.2,3000.0,1700.0,1.8,25.2,1.7
body_p1,01,Al6061_body01_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,35,1042,2025-07-10 11:30:15.974525,21,0.0001678978379824,3258,1,8,30.0005,AUTO,21,ARMED,100,25.21667,5,2568874.08,1,000454_D_A_PROGRAM_1.NC,35,100,0,0,100,10000.0,681499.984,7,403.342506669162,6,220.539440543687,31,-315.748070748904,1046.6666666666667,8.926666666666668,NONE,11.275333333333334,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8766666666666666,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,0.1596666666666666,4400.0,1300.0,3.3,26.6,0.6,133.03333333333333,1300.0,400.0,3.2,23.2,0.6,600.0,200.0,3.4,21.5,0.2,4700.0,1600.0,3.0,24.4,0.6,1400.0,400.0,3.9,22.5,0.2,3100.0,1800.0,1.7,25.2,1.7
