program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,706,2025-07-10 11:24:31.282864,21,0.0001678978379824,28,1,8,30.0005,AUTO,83,ARMED,100,0.0,5,2568514.049,1,O9735.FNC,51,100,0,0,100,0.0,681139.755,5,12.4206062656161,5,503.59819449292,35,-99.8669982674121,655.6666666666666,5.553333333333334,NONE,11.152333333333331,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7999999999999999,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,1800.0,100.0,16.6,25.8,0.1,133.33333333333334,1300.0,200.0,5.8,23.2,0.3,2300.0,300.0,7.8,21.4,0.1,21600.0,3400.0,6.3,24.2,0.1,2000.0,200.0,12.7,22.3,0.1,500.0,100.0,3.8,24.8,0.2
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,707,2025-07-10 11:24:32.283200,21,0.0001678978379824,2570,1,8,30.0005,AUTO,83,ARMED,100,631.55,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,52,100,0,26,100,1959.8574683972,681139.755,22,316.917617215902,19,307.279673500856,35,-99.8669982674121,597.3333333333334,5.413333333333334,NONE,11.152666666666669,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.6433333333333333,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,6800.0,2000.0,3.4,25.9,0.1,133.33333333333334,500.0,100.0,7.0,23.2,0.2,3800.0,600.0,6.7,21.4,0.1,17900.0,2000.0,9.0,24.2,0.1,6400.0,700.0,9.2,22.3,0.1,28100.0,3200.0,8.8,24.8,0.3
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,708,2025-07-10 11:24:33.283519,21,0.0001678978379824,2572,1,8,30.0005,AUTO,83,ARMED,100,108.5167,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,53,100,0,1,100,3828.0,681139.755,6,342.719700008405,5,290.647101270831,11,-242.478323801159,3005.333333333333,26.456666666666667,NONE,11.153,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9733333333333332,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,2800.0,500.0,5.4,25.9,0.3,132.13333333333335,800.0,100.0,5.9,23.2,0.1,800.0,100.0,6.3,21.4,0.1,1600.0,300.0,5.8,24.2,0.1,7800.0,1100.0,7.2,22.3,0.1,21300.0,2800.0,7.5,24.8,0.4
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,709,2025-07-10 11:24:34.283825,21,0.0006680210239083,2575,1,8,30.0005,AUTO,83,ARMED,100,14.73333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,54,100,0,2,100,3828.0,681139.755,6,342.719722896473,5,290.647078382406,26,-252.644307947444,961.0,11.42,NONE,11.153666666666666,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.5233333333333333,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,7600.0,1500.0,5.0,25.9,0.6,133.13333333333333,300.0,100.0,3.1,23.2,0.2,1300.0,200.0,7.5,21.4,0.1,1100.0,300.0,3.7,24.2,0.2,14300.0,2100.0,6.9,22.3,0.2,7900.0,1100.0,7.2,24.8,0.3
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,710,2025-07-10 11:24:35.283977,21,0.0006680210239083,2577,1,8,30.0005,AUTO,83,ARMED,100,14.73333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,55,100,0,4,100,3828.0,681139.755,6,342.719734340506,4,290.647158491894,14,-260.529458726062,977.6666666666666,8.700000000000001,NONE,11.154000000000002,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,4800.0,1500.0,3.3,25.9,0.6,133.16666666666666,500.0,100.0,3.5,23.2,0.3,400.0,100.0,3.9,21.4,0.2,1000.0,300.0,3.9,24.2,0.1,3500.0,400.0,8.8,22.3,0.2,7600.0,900.0,8.6,24.8,0.4
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,711,2025-07-10 11:24:36.284127,21,0.0001678978379824,2580,1,8,30.0005,AUTO,83,ARMED,100,17.35,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,56,100,0,3,100,3828.0,681139.755,5,342.719700008405,4,290.647066938193,14,-267.191882154964,1408.6666666666667,12.589999999999998,NONE,11.154000000000002,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8733333333333334,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,5000.0,1200.0,4.3,25.9,0.5,132.93333333333337,500.0,100.0,3.4,23.2,0.3,400.0,100.0,4.0,21.4,0.2,800.0,200.0,3.4,24.2,0.1,3000.0,400.0,8.2,22.3,0.1,6500.0,800.0,7.9,24.8,0.3
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,712,2025-07-10 11:24:37.284429,21,0.0001678978379824,2583,1,8,30.0005,AUTO,83,ARMED,100,14.73333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,57,100,0,0,100,3828.0,681139.755,6,342.719711452439,4,290.647124159256,27,-276.594932272396,1048.0,9.463333333333331,NONE,11.154333333333334,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.57,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,2700.0,500.0,5.7,25.9,0.4,133.1,400.0,100.0,2.8,23.2,0.3,300.0,100.0,4.2,21.4,0.1,700.0,200.0,3.5,24.2,0.1,1000.0,200.0,4.1,22.3,0.1,2000.0,400.0,5.3,24.8,0.3
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,713,2025-07-10 11:24:38.284625,21,0.0001678978379824,2585,1,8,30.0005,AUTO,83,ARMED,100,12.21667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,58,100,0,0,100,3828.0,681139.755,5,342.719608456136,4,290.647204268744,24,-286.451735933004,782.0,6.45,NONE,11.155,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8266666666666667,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,2300.0,500.0,4.4,25.9,0.4,133.26666666666665,500.0,100.0,3.6,23.2,0.3,900.0,200.0,5.2,21.4,0.2,1700.0,300.0,5.7,24.2,0.1,8600.0,800.0,10.8,22.3,0.1,51400.0,7000.0,7.3,24.8,0.6
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,714,2025-07-10 11:24:39.284917,21,0.0001678978379824,2589,1,8,30.0005,AUTO,83,ARMED,100,88.03333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,59,100,0,0,100,3828.0,681139.755,8,418.721561945508,4,290.647101270831,14,-241.527688425045,777.0,6.416666666666667,NONE,11.155666666666669,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8933333333333334,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,2000.0,500.0,4.3,25.9,0.2,133.26666666666665,1500.0,200.0,6.0,23.2,0.1,900.0,200.0,5.9,21.4,0.1,1600.0,300.0,5.3,24.2,0.1,5500.0,600.0,8.9,22.3,0.1,3100.0,400.0,7.1,24.8,0.1
body_p1,01,Al6061_body01_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,15,715,2025-07-10 11:24:40.285197,21,0.0001678978379824,2592,1,8,30.001,AUTO,83,ARMED,100,14.73333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,0,100,0,0,100,3828.0,681139.755,6,418.721493269822,4,290.647112715044,26,-249.414232651329,1061.3333333333333,9.873333333333331,NONE,11.155666666666669,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.5533333333333333,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,0.1476666666666667,6100.0,1300.0,4.5,25.9,0.6,133.16666666666666,500.0,100.0,3.9,23.2,0.2,900.0,200.0,5.5,21.4,0.1,900.0,300.0,3.3,24.2,0.1,7100.0,900.0,7.7,22.3,0.1,6500.0,900.0,7.4,24.8,0.3
