program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,639,2025-07-10 11:23:23.995248,21,0.0001678978379824,2547,1,8,30.0005,AUTO,71,ARMED,100,542.3333,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,43,100,0,0,100,0.0,681139.755,25,183.244822095551,18,395.118950944029,37,-99.8669982674121,576.0,5.206666666666667,NONE,11.137333333333332,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.6233333333333333,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,300.0,100.0,4.4,25.6,0.1,133.46666666666667,1900.0,500.0,3.9,23.1,0.4,5300.0,1100.0,4.7,21.3,0.1,28600.0,8200.0,3.5,24.2,0.4,3300.0,700.0,4.4,22.3,0.1,800.0,200.0,3.5,24.7,0.4
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,640,2025-07-10 11:23:24.995574,21,0.0001678978379824,2548,1,8,30.0005,AUTO,71,ARMED,100,501.1667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,44,100,0,0,100,0.0,681139.755,7,362.719618144069,6,281.144971594252,10,-274.068417759103,972.3333333333334,9.453333333333331,NONE,11.137333333333332,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.6133333333333333,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,9600.0,1700.0,5.6,25.6,0.1,133.33333333333334,300.0,100.0,4.8,23.1,0.0,2000.0,300.0,5.7,21.3,0.0,3600.0,700.0,5.1,24.2,0.1,26900.0,5900.0,4.6,22.3,0.1,53100.0,14200.0,3.7,24.7,1.3
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,641,2025-07-10 11:23:25.995901,21,0.0001678978379824,2549,1,8,30.0005,AUTO,71,ARMED,100,6.8,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,45,100,0,3,100,599.999999999987,681139.755,6,362.719606700065,6,281.144994482678,27,-315.41589391484,625.3333333333334,5.236666666666667,NONE,11.138,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.5599999999999999,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,8800.0,2800.0,3.1,25.6,0.1,133.4,200.0,0.0,4.3,23.1,0.0,300.0,100.0,4.2,21.3,0.0,1200.0,500.0,2.5,24.2,0.1,800.0,300.0,3.3,22.3,0.0,2700.0,600.0,4.7,24.7,0.1
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,642,2025-07-10 11:23:26.996097,21,0.0001678978379824,2549,1,8,30.0005,AUTO,71,ARMED,100,7.766667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,46,100,0,1,100,599.999999999881,681139.755,6,362.719606700065,6,281.14500592689,26,-323.244293806273,864.0,7.236666666666667,NONE,11.138,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.66,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,7000.0,2600.0,2.7,25.6,0.1,133.26666666666665,200.0,0.0,4.1,23.1,0.0,300.0,100.0,4.0,21.3,0.0,1200.0,500.0,2.5,24.2,0.1,700.0,200.0,3.3,22.3,0.0,2500.0,600.0,4.1,24.7,0.1
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,643,2025-07-10 11:23:27.996299,21,0.0001678978379824,2549,1,8,30.0005,AUTO,71,ARMED,100,8.266667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,47,100,0,0,100,600.000000000307,681139.755,6,362.719606700065,5,281.144994482678,27,-331.896623974719,799.6666666666666,6.539999999999999,NONE,11.138,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.91,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,7000.0,2600.0,2.7,25.6,0.1,133.29999999999998,200.0,0.0,4.4,23.1,0.0,200.0,100.0,3.8,21.3,0.0,1100.0,500.0,2.3,24.2,0.1,800.0,200.0,3.3,22.3,0.0,2500.0,600.0,4.2,24.7,0.1
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,644,2025-07-10 11:23:28.996468,21,0.0001678978379824,2549,1,8,30.0005,AUTO,71,ARMED,100,8.1,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,48,100,0,1,100,599.999999999454,681139.755,6,362.719595256062,5,281.144983038465,28,-340.138271509165,804.6666666666666,6.603333333333334,NONE,11.138666666666666,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9066666666666666,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,7500.0,2600.0,2.9,25.6,0.1,133.26666666666665,200.0,0.0,4.5,23.1,0.0,300.0,100.0,4.0,21.3,0.0,1200.0,500.0,2.5,24.2,0.1,900.0,200.0,3.4,22.3,0.0,2600.0,600.0,4.6,24.7,0.1
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,645,2025-07-10 11:23:29.996663,21,0.0001678978379824,2549,1,8,30.0005,AUTO,71,ARMED,100,10.68333,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,49,100,0,17,100,-840.777537797521,681139.755,6,362.719618144069,4,281.145017371103,41,-338.786330460779,625.6666666666666,6.656666666666666,NONE,11.138666666666666,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.6766666666666667,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,7200.0,2200.0,3.3,25.6,0.1,133.36666666666667,300.0,100.0,4.2,23.1,0.1,300.0,100.0,5.0,21.3,0.1,1400.0,500.0,2.5,24.2,0.1,2300.0,300.0,7.7,22.3,0.0,5700.0,1100.0,5.1,24.7,0.1
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,646,2025-07-10 11:23:30.996876,21,0.0001678978379824,2549,1,8,30.0005,AUTO,71,ARMED,100,16.2,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,50,100,0,0,100,-1200.00000000019,681139.755,6,362.719606700065,5,281.14500592689,41,-322.500778829482,886.0,7.88,NONE,11.139333333333331,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.5566666666666666,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,4200.0,1600.0,2.5,25.6,0.1,133.26666666666665,200.0,100.0,3.5,23.1,0.0,200.0,100.0,3.7,21.3,0.0,1300.0,500.0,2.3,24.2,0.1,800.0,200.0,4.9,22.3,0.0,5200.0,1200.0,4.5,24.7,0.1
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,647,2025-07-10 11:23:31.997157,21,0.0001678978379824,2549,1,8,30.0005,AUTO,71,ARMED,100,102.7667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,51,100,0,1,100,0.0,681139.755,6,368.719171540939,5,281.145017371103,48,-311.831412902022,403.3333333333333,6.859999999999999,NONE,11.139333333333331,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.45,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,1000.0,500.0,2.0,25.6,0.1,133.5,200.0,0.0,4.7,23.1,0.0,500.0,100.0,5.8,21.3,0.1,1000.0,500.0,2.1,24.2,0.0,2400.0,300.0,9.1,22.3,0.1,2600.0,600.0,4.2,24.7,0.1
body_p1,01,Al6061_body01_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,13,648,2025-07-10 11:23:32.997415,21,0.0001678978379824,2550,1,8,30.0005,AUTO,71,ARMED,100,7.766667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,52,100,0,0,100,599.999999999987,681139.755,6,398.721600422723,5,281.144994482678,28,-316.990364049652,754.0,7.06,NONE,11.139333333333331,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.79,70AA639A-4325-448F-BFFB-D5EE218DA38C,0.1476666666666667,6900.0,2500.0,2.7,25.6,0.1,133.29999999999998,200.0,0.0,4.3,23.1,0.0,300.0,100.0,4.2,21.3,0.0,1300.0,500.0,2.4,24.2,0.1,600.0,200.0,2.9,22.3,0.0,2300.0,500.0,4.4,24.7,0.1
