program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,862,2025-07-10 11:27:12.215285,21,0.0001678978379824,2841,1,8,30.0005,AUTO,17,ARMED,100,633.3333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,32,100,0,24,100,1935.34184079235,681139.755,21,289.389029420588,18,348.443938276127,35,-99.8669982674121,709.3333333333334,6.786666666666666,NONE,11.200666666666669,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7966666666666667,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,6800.0,1800.0,3.7,26.1,0.1,133.23333333333332,1800.0,500.0,4.0,23.2,0.3,4900.0,1000.0,4.7,21.4,0.1,23200.0,7100.0,3.3,24.3,0.3,3700.0,700.0,5.1,22.4,0.1,900.0,200.0,4.0,24.9,0.2
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,863,2025-07-10 11:27:13.215615,21,0.0001678978379824,2842,1,8,30.0005,AUTO,17,ARMED,100,204.05,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,33,100,0,17,100,5098.05758871475,681139.755,6,446.595509848088,5,260.377860594129,50,-260.595073562938,2733.0,24.57333333333333,NONE,11.202,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,10700.0,2300.0,4.6,26.1,0.2,132.23333333333332,400.0,100.0,4.6,23.2,0.1,1700.0,300.0,6.4,21.4,0.1,4700.0,1900.0,2.5,24.3,0.2,29400.0,4400.0,6.7,22.4,0.1,56200.0,11200.0,5.0,24.9,1.0
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,864,2025-07-10 11:27:14.215763,21,0.0001678978379824,2844,1,8,30.0005,AUTO,17,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,34,100,0,11,100,7058.563773183,681139.755,6,446.595498402391,5,260.377894926947,30,-310.408983226532,5707.666666666667,47.13333333333333,NONE,11.203,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8733333333333334,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,10500.0,3000.0,3.5,26.1,0.2,130.56666666666666,400.0,100.0,3.7,23.2,0.1,400.0,100.0,3.3,21.4,0.1,4000.0,1800.0,2.2,24.3,0.2,1000.0,300.0,3.5,22.4,0.1,700.0,200.0,3.3,24.9,0.2
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,865,2025-07-10 11:27:15.215869,21,0.0001678978379824,2844,1,8,30.0005,AUTO,17,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,35,100,0,8,100,8673.13058725816,681139.755,6,446.595498402391,5,260.377894926947,30,-310.408994669069,5788.333333333333,47.71333333333333,NONE,11.204666666666666,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.93,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,7700.0,2100.0,3.6,26.1,0.3,130.53333333333333,300.0,100.0,3.5,23.2,0.1,400.0,100.0,3.5,21.4,0.1,4000.0,1800.0,2.2,24.3,0.2,1100.0,300.0,4.3,22.4,0.1,1300.0,500.0,2.4,24.9,0.5
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,866,2025-07-10 11:27:16.216181,21,0.0001678978379824,2844,1,8,30.0005,AUTO,17,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,36,100,0,6,100,9557.18748592395,681139.755,6,446.595532739484,5,260.377894926947,30,-310.408994669069,5141.333333333333,42.4,NONE,11.205999999999998,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8833333333333333,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,8000.0,2200.0,3.6,26.1,0.5,130.86666666666667,400.0,100.0,3.1,23.2,0.1,500.0,100.0,3.7,21.4,0.1,4900.0,2000.0,2.5,24.3,0.4,1400.0,300.0,4.1,22.4,0.2,3000.0,1400.0,2.1,24.9,1.4
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,867,2025-07-10 11:27:17.216333,21,0.0001678978379824,2844,1,8,30.0005,AUTO,17,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,37,100,0,4,100,11200.0,681139.755,13,437.799745185027,21,252.693723566681,30,-310.409063324288,4721.333333333333,38.96333333333333,NONE,11.207666666666666,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8833333333333333,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,6700.0,2200.0,3.1,26.1,0.5,131.1,600.0,100.0,3.9,23.2,0.7,1000.0,300.0,3.3,21.4,0.1,9100.0,2800.0,3.2,24.3,0.6,1900.0,600.0,3.4,22.4,0.2,3600.0,1900.0,1.9,24.9,1.8
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,868,2025-07-10 11:27:18.216517,21,0.0001678978379824,2848,1,8,30.0005,AUTO,17,ARMED,100,99.06667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,38,100,0,4,100,11200.0,681139.755,13,384.630606643059,5,200.624342699989,31,-310.409017554142,4174.333333333333,34.71666666666667,NONE,11.208999999999998,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9433333333333334,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,7100.0,2100.0,3.4,26.1,0.5,131.4,400.0,100.0,3.0,23.2,0.1,500.0,100.0,4.0,21.4,0.1,2900.0,800.0,3.6,24.3,0.3,1600.0,500.0,3.5,22.4,0.2,1900.0,700.0,2.8,24.9,0.6
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,869,2025-07-10 11:27:19.216670,21,0.0001678978379824,2850,1,8,30.0005,AUTO,17,ARMED,100,99.06667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,39,100,0,0,100,11200.0,681139.755,5,323.700078792567,10,250.012880448082,31,-310.408971783996,3722.0,30.89333333333333,NONE,11.21,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.89,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,4200.0,1200.0,3.5,26.1,0.5,131.63333333333335,400.0,100.0,3.1,23.2,0.1,1200.0,300.0,3.4,21.4,0.1,8000.0,2500.0,3.2,24.3,0.4,1100.0,400.0,3.1,22.4,0.2,2100.0,1000.0,2.2,24.9,0.8
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,870,2025-07-10 11:27:20.216835,21,0.0001678978379824,2852,1,8,30.0005,AUTO,17,ARMED,100,99.06667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,40,100,0,1,100,11200.0,681139.755,12,374.237504572188,6,304.667963224358,31,-310.408971783996,1199.6666666666667,10.446666666666667,NONE,11.21,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.5499999999999999,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,4700.0,1200.0,4.0,26.1,0.5,133.0,500.0,100.0,3.5,23.2,0.1,300.0,100.0,3.4,21.4,0.1,2800.0,1000.0,2.7,24.3,0.4,1100.0,300.0,3.4,22.4,0.2,2100.0,1000.0,2.1,24.9,0.9
body_p1,01,Al6061_body01_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,27,871,2025-07-10 11:27:21.216987,21,0.0001678978379824,2854,1,8,30.0005,AUTO,17,ARMED,100,99.06667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,41,100,0,0,100,11200.0,681139.755,7,437.741198324597,12,268.055433888551,31,-310.408994669069,1148.6666666666667,9.853333333333332,NONE,11.210666666666668,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8666666666666667,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,0.151,4300.0,1200.0,3.5,26.1,0.5,132.96666666666667,500.0,100.0,3.7,23.2,1.0,1000.0,300.0,3.3,21.4,0.1,8000.0,2400.0,3.4,24.3,0.4,1400.0,400.0,3.9,22.4,0.2,2100.0,1000.0,2.1,24.9,0.9
