program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,491,2025-07-10 11:20:16.573457,21,0.0001678978379824,29,1,8,30.0005,AUTO,6,ARMED,100,0.0,5,2568153.967,1,O9735.FNC,36,100,0,0,100,9792.0,680779.26,5,316.537304928501,4,191.653198992046,37,-279.7138215392,814.0,7.673333333333333,NONE,11.074333333333334,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.5166666666666666,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,4600.0,1500.0,3.1,24.7,0.6,132.33333333333331,700.0,200.0,4.0,23.1,0.7,1200.0,100.0,8.6,21.3,0.1,18000.0,2200.0,8.3,24.1,0.5,1000.0,300.0,3.5,22.2,0.2,2900.0,1600.0,1.8,24.6,1.5
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,492,2025-07-10 11:20:17.573672,21,0.0001678978379824,1351,1,8,30.0005,AUTO,6,ARMED,100,16.78333,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,37,100,0,0,100,9792.0,680779.26,10,370.535996691382,6,258.089464692423,29,-280.257208423541,860.0,7.773333333333333,NONE,11.074666666666667,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.89,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,4400.0,1500.0,2.9,24.7,0.6,132.29999999999998,400.0,100.0,3.5,23.1,0.6,600.0,100.0,4.2,21.3,0.1,4700.0,1500.0,3.2,24.1,0.5,1100.0,300.0,3.6,22.2,0.2,3400.0,1500.0,2.2,24.6,1.5
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,493,2025-07-10 11:20:18.573827,21,0.0001678978379824,1365,1,8,30.0005,AUTO,6,ARMED,100,49.86667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,38,100,0,1,100,9792.0,680779.26,10,388.633748129421,4,247.202937536742,26,-282.924028867345,1006.6666666666666,9.41,NONE,11.074666666666667,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8066666666666666,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,5500.0,1700.0,3.3,24.7,0.6,132.16666666666666,2100.0,600.0,3.3,23.1,0.5,1200.0,300.0,3.8,21.3,0.1,5300.0,2200.0,2.4,24.1,0.5,4000.0,900.0,4.3,22.2,0.2,3600.0,1600.0,2.2,24.6,1.6
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,494,2025-07-10 11:20:19.573997,21,0.0001678978379824,1381,1,8,30.0005,AUTO,6,ARMED,100,24.13333,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,39,100,0,1,100,9792.0,680779.26,13,382.873805938755,7,258.089407471162,28,-285.180871152387,1469.3333333333333,11.83,NONE,11.075333333333331,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.98,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,8600.0,2800.0,3.1,24.7,0.9,131.93333333333334,3200.0,1500.0,2.1,23.1,0.9,2500.0,1200.0,2.1,21.3,0.4,7300.0,2100.0,3.5,24.1,0.7,4800.0,1300.0,3.6,22.2,0.4,7200.0,1600.0,4.6,24.6,1.5
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,495,2025-07-10 11:20:20.574144,21,0.0001678978379824,1385,1,8,30.0005,AUTO,6,ARMED,100,71.25,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,40,100,0,0,100,9792.0,680779.26,12,391.613041204835,7,246.94891451127,32,-285.294107465404,2070.6666666666665,18.02333333333333,NONE,11.075666666666669,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9533333333333333,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,8400.0,2200.0,3.9,24.7,0.7,131.63333333333333,1200.0,500.0,2.6,23.1,0.6,3500.0,800.0,4.6,21.3,0.2,6000.0,1700.0,3.6,24.1,0.6,8100.0,2000.0,4.0,22.2,0.3,4200.0,1600.0,2.6,24.6,1.4
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,496,2025-07-10 11:20:21.574355,21,0.0006680210239083,1391,1,8,30.0005,AUTO,6,ARMED,100,71.18333,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,41,100,0,0,100,9792.0,680779.26,10,361.832075693945,7,264.638368681836,33,-285.294153235943,1298.6666666666667,11.433333333333332,NONE,11.076,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7233333333333333,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,16000.0,5200.0,3.1,24.7,1.4,132.03333333333333,3200.0,1600.0,2.0,23.1,0.6,5000.0,1700.0,3.0,21.3,0.5,8500.0,2700.0,3.1,24.1,0.9,12800.0,3800.0,3.4,22.2,0.5,5600.0,2000.0,2.7,24.6,1.4
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,497,2025-07-10 11:20:22.574567,21,-0.0003322253479435,1393,1,8,30.001,AUTO,6,ARMED,100,71.25,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,42,100,0,2,100,9792.0,680779.26,10,399.239906041687,6,240.629421113824,32,-285.294187563847,1706.0,14.920000000000002,NONE,11.076333333333332,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.89,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,12900.0,4300.0,3.0,24.7,1.1,131.83333333333334,2600.0,1100.0,2.3,23.1,0.4,5100.0,1700.0,3.1,21.3,0.4,8600.0,2900.0,3.0,24.1,0.9,10400.0,2900.0,3.6,22.2,0.6,5600.0,2100.0,2.7,24.6,1.5
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,498,2025-07-10 11:20:23.574796,21,0.0001678978379824,1397,1,8,30.0,AUTO,6,ARMED,100,45.16667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,43,100,0,0,100,9792.0,680779.26,28,380.711212629881,2,267.433811051658,32,-285.294187563847,1693.0,14.836666666666668,NONE,11.076666666666666,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.89,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,14900.0,3400.0,4.4,24.7,0.9,131.79999999999998,2800.0,1100.0,2.5,23.1,0.9,3900.0,1000.0,4.1,21.3,0.3,6800.0,1800.0,3.7,24.1,0.7,15200.0,2900.0,5.3,22.2,0.3,5400.0,1800.0,2.9,24.6,1.5
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,499,2025-07-10 11:20:24.574965,21,0.0001678978379824,1400,1,8,30.0015,AUTO,6,ARMED,100,71.16667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,44,100,0,1,100,9792.0,680779.26,14,352.836809423094,6,237.155129262079,33,-285.29429054756,1385.3333333333333,12.1,NONE,11.077,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8933333333333332,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,12700.0,3900.0,3.2,24.7,0.9,132.00000000000003,2200.0,800.0,2.7,23.1,0.3,3000.0,1200.0,2.5,21.3,0.3,5200.0,1700.0,3.0,24.1,0.6,8700.0,2800.0,3.1,22.2,0.4,5200.0,2000.0,2.6,24.6,1.5
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,500,2025-07-10 11:20:25.575101,21,0.0001678978379824,1402,1,8,30.001,AUTO,6,ARMED,100,71.16667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,45,100,0,1,100,9792.0,680779.26,4,416.19857749276,10,247.265992709554,32,-285.294187563847,1385.3333333333333,12.1,NONE,11.077,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8933333333333332,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,14200.0,3700.0,3.9,24.7,1.1,132.00000000000003,2200.0,1100.0,2.1,23.1,0.4,4500.0,1300.0,3.4,21.3,0.3,7500.0,2400.0,3.1,24.1,0.7,11800.0,3300.0,3.6,22.2,0.4,6200.0,2100.0,2.9,24.6,1.4
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,501,2025-07-10 11:20:26.575253,21,0.0001678978379824,1405,1,8,30.0005,AUTO,6,ARMED,100,29.81667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,46,100,0,0,100,9792.0,680779.26,10,373.725322562313,19,264.058601838538,32,-284.993590016399,1406.6666666666667,12.326666666666668,NONE,11.077666666666667,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8633333333333333,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,4200.0,1500.0,2.8,24.7,0.6,131.93333333333334,500.0,100.0,4.4,23.1,0.4,800.0,200.0,5.0,21.3,0.1,5800.0,1600.0,3.7,24.1,0.5,3000.0,400.0,8.5,22.2,0.2,11200.0,2000.0,5.7,24.6,1.5
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,502,2025-07-10 11:20:27.575406,21,0.0001678978379824,1412,1,8,30.0005,AUTO,6,ARMED,100,49.86667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,47,100,0,0,100,9792.0,680779.26,10,369.28571127796,11,253.637464444588,28,-284.219575411016,1103.6666666666667,9.6,NONE,11.078333333333331,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8966666666666666,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,4500.0,1500.0,3.0,24.7,0.6,132.13333333333333,500.0,100.0,3.6,23.1,0.9,500.0,100.0,3.6,21.3,0.1,4300.0,1500.0,2.9,24.1,0.5,1000.0,300.0,3.5,22.2,0.2,3300.0,1600.0,2.0,24.6,1.5
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,503,2025-07-10 11:20:28.575559,21,0.0001678978379824,1432,1,8,30.0005,AUTO,6,ARMED,100,49.81667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,48,100,0,0,100,9792.0,680779.26,11,396.084498698058,3,250.942101082615,27,-286.471520248405,1020.3333333333334,8.746666666666668,NONE,11.078666666666663,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8833333333333334,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,6100.0,1900.0,3.2,24.7,0.7,132.16666666666666,2800.0,900.0,3.3,23.1,1.0,1400.0,500.0,3.1,21.3,0.2,5200.0,1600.0,3.3,24.1,0.6,4900.0,1000.0,5.0,22.2,0.2,3900.0,1500.0,2.6,24.6,1.4
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,504,2025-07-10 11:20:29.575848,21,0.0006680210239083,1450,1,8,30.0005,AUTO,6,ARMED,100,69.21667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,49,100,0,1,100,9792.0,680779.26,13,362.240311602702,16,255.191053092754,32,-288.243091838341,1524.0,13.346666666666666,NONE,11.079333333333333,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8833333333333333,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,13700.0,3300.0,4.2,24.7,1.0,131.83333333333334,3700.0,1600.0,2.4,23.1,1.5,2700.0,1100.0,2.6,21.3,0.3,7400.0,1900.0,3.9,24.1,0.7,11300.0,1700.0,6.6,22.2,0.4,5200.0,1500.0,3.3,24.6,1.3
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,505,2025-07-10 11:20:30.576000,21,0.0001678978379824,1458,1,8,30.001,AUTO,6,ARMED,100,70.38333,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,50,100,0,1,100,9792.0,680779.26,19,385.881543599698,33,253.835345180055,32,-288.243023182533,1472.6666666666667,13.160000000000002,NONE,11.079333333333333,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.68,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,15000.0,2800.0,5.3,24.7,0.9,131.93333333333334,3300.0,1400.0,2.4,23.1,1.0,6000.0,1100.0,5.7,21.3,0.3,6900.0,2000.0,3.5,24.1,0.7,13600.0,2500.0,5.5,22.2,0.3,6000.0,1600.0,3.8,24.6,1.4
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,506,2025-07-10 11:20:31.576149,21,0.0001678978379824,1462,1,8,30.001,AUTO,6,ARMED,100,70.91667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,51,100,0,2,100,9792.0,680779.26,16,365.454952521491,1,244.055200241778,32,-288.243171936784,1436.3333333333333,12.733333333333334,NONE,11.080333333333334,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,14500.0,4400.0,3.3,24.7,1.0,131.93333333333334,2500.0,1000.0,2.5,23.1,0.7,4300.0,1600.0,2.6,21.3,0.5,7100.0,2400.0,3.0,24.1,0.8,12500.0,3100.0,4.1,22.2,0.4,5800.0,2100.0,2.8,24.6,1.4
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,507,2025-07-10 11:20:32.576301,21,0.0001678978379824,1467,1,8,30.001,AUTO,6,ARMED,100,54.35,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,52,100,0,0,100,9792.0,680779.26,11,383.756068938302,4,260.185173378563,33,-288.24313760888,1546.0,13.546666666666669,NONE,11.080666666666668,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8566666666666666,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,17100.0,4500.0,3.8,24.7,1.2,131.86666666666667,3200.0,1300.0,2.6,23.1,1.0,6300.0,1200.0,5.1,21.3,0.3,7500.0,2200.0,3.5,24.1,0.8,12800.0,3200.0,4.0,22.2,0.3,6000.0,1800.0,3.4,24.6,1.4
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,508,2025-07-10 11:20:33.576449,21,0.0001678978379824,1472,1,8,30.0005,AUTO,6,ARMED,100,71.13333,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,53,100,0,1,100,9792.0,680779.26,13,352.366081985927,8,254.549544399485,32,-288.24311472361,1459.0,12.90333333333333,NONE,11.081,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.94,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,13700.0,4200.0,3.3,24.7,1.0,131.9,2500.0,1300.0,1.9,23.1,0.8,4100.0,1700.0,2.5,21.3,0.4,9600.0,2900.0,3.3,24.1,0.9,11300.0,3700.0,3.0,22.2,0.5,5500.0,2000.0,2.7,24.6,1.3
body_p1,01,Al6061_body01_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,3,509,2025-07-10 11:20:34.576602,21,0.0001678978379824,1476,1,8,30.001,AUTO,6,ARMED,100,71.13333,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,54,100,0,2,100,9792.0,680779.26,2,411.240776721873,11,243.732193828304,32,-288.243126166245,1555.0,14.07,NONE,11.081333333333331,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.82,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,0.1443333333333333,13500.0,4200.0,3.2,24.7,1.2,131.86666666666667,2400.0,1100.0,2.2,23.1,0.4,5300.0,1900.0,2.8,21.3,0.5,9200.0,2800.0,3.3,24.1,0.9,11100.0,3600.0,3.1,22.2,0.4,6300.0,2200.0,2.8,24.6,1.2
