program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,614,2025-07-10 11:22:26.110418,21,0.0001678978379824,4,1,8,30.0005,AUTO,4,ARMED,100,0.0,5,2568153.967,1,O9735.FNC,45,100,0,1,100,6420.0,681139.755,5,338.038392492454,5,266.89561075946,37,-280.966857419528,926.6666666666666,8.096666666666666,NONE,11.121666666666664,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7966666666666665,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1466666666666667,2600.0,700.0,3.6,25.3,0.3,133.23333333333332,500.0,100.0,5.7,23.1,0.4,300.0,100.0,3.7,21.3,0.1,7000.0,600.0,11.7,24.2,0.1,600.0,200.0,4.0,22.2,0.1,800.0,300.0,3.0,24.7,0.2
body_p1,01,Al6061_body01_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,615,2025-07-10 11:22:27.110717,21,0.0001678978379824,2408,1,8,30.0005,AUTO,4,ARMED,100,71.71667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,46,100,0,2,100,6420.0,681139.755,5,342.719700008405,6,290.647154189784,38,-316.585515666392,892.3333333333334,7.713333333333332,NONE,11.121666666666664,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8166666666666668,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1466666666666667,3200.0,700.0,4.4,25.3,0.2,133.23333333333335,400.0,100.0,4.6,23.1,0.1,300.0,100.0,3.7,21.3,0.1,1100.0,400.0,3.0,24.2,0.2,900.0,200.0,5.1,22.2,0.1,2400.0,500.0,4.8,24.7,0.2
body_p1,01,Al6061_body01_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,616,2025-07-10 11:22:28.111029,21,0.0001678978379824,2412,1,8,30.0005,AUTO,4,ARMED,100,379.9167,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,47,100,0,0,100,6420.0,681139.755,77,408.675442262887,5,290.647085524449,40,-283.506834291537,859.0,7.393333333333333,NONE,11.122333333333332,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8099999999999999,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1466666666666667,2900.0,700.0,4.0,25.3,0.2,133.23333333333332,600.0,100.0,6.6,23.1,0.1,1300.0,200.0,7.5,21.3,0.1,1500.0,300.0,4.4,24.2,0.1,7700.0,1100.0,6.7,22.2,0.1,19500.0,3600.0,5.4,24.7,0.4
body_p1,01,Al6061_body01_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,617,2025-07-10 11:22:29.111294,21,0.0001678978379824,2415,1,8,30.0005,AUTO,4,ARMED,100,10.88333,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,48,100,0,2,100,6420.0,681139.755,5,418.721504715769,5,290.647096968672,38,-299.956569041443,1089.3333333333333,11.216666666666669,NONE,11.122666666666667,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7266666666666667,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1466666666666667,3000.0,800.0,3.9,25.3,0.3,133.1,800.0,200.0,4.8,23.1,0.3,4900.0,500.0,9.4,21.3,0.1,34700.0,5900.0,5.9,24.2,0.3,12700.0,1500.0,8.3,22.2,0.1,34000.0,5700.0,5.9,24.7,0.4
body_p1,01,Al6061_body01_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,618,2025-07-10 11:22:30.111578,21,0.0001678978379824,2419,1,8,30.0005,AUTO,4,ARMED,100,13.15,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,49,100,0,2,100,6420.0,681139.755,5,418.721504715769,5,214.645117218257,26,-316.249047881147,1093.0,7.753333333333333,NONE,11.122666666666667,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1466666666666667,2800.0,700.0,4.2,25.4,0.3,133.23333333333332,400.0,100.0,4.0,23.1,0.1,400.0,100.0,4.3,21.3,0.1,1300.0,400.0,3.1,24.2,0.2,700.0,200.0,4.5,22.2,0.1,7200.0,500.0,13.1,24.7,0.2
body_p1,01,Al6061_body01_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,619,2025-07-10 11:22:31.111866,21,0.0001678978379824,2422,1,8,30.0005,AUTO,4,ARMED,100,284.3167,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,50,100,0,0,100,6420.0,681139.755,95,375.840637344294,5,214.645197322052,40,-283.506788520209,885.0,7.689999999999999,NONE,11.122666666666667,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8133333333333334,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1466666666666667,3300.0,700.0,4.8,25.4,0.2,133.23333333333332,500.0,100.0,6.0,23.1,0.1,1700.0,300.0,6.8,21.3,0.1,1500.0,400.0,3.9,24.2,0.1,8000.0,1100.0,7.0,22.2,0.1,20600.0,3700.0,5.6,24.7,0.4
body_p1,01,Al6061_body01_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,620,2025-07-10 11:22:32.112124,21,0.0001678978379824,2425,1,8,30.0005,AUTO,4,ARMED,100,18.91667,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,51,100,0,2,100,6420.0,681139.755,5,342.719722805219,5,214.645197322052,32,-322.353903668833,1182.6666666666667,10.953333333333331,NONE,11.123333333333331,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.6933333333333334,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1466666666666667,3200.0,700.0,4.3,25.4,0.3,133.1,300.0,100.0,4.7,23.1,0.1,800.0,100.0,6.6,21.3,0.1,1300.0,400.0,3.5,24.2,0.1,9700.0,1500.0,6.6,22.2,0.1,35500.0,5700.0,6.2,24.7,0.4
body_p1,02,Al6061_body02_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,7,616,2025-07-10 11:41:22.847135,21,0.0001678978379824,2409,1,8,30.001,AUTO,4,ARMED,100,19.55,5,2569234.295,2,000454_D_A_PROGRAM_1.NC,55,100,0,1,100,6420.0,681860.468000002,6,342.719734340506,7,290.647188522451,66,-314.300097854897,873.0,7.466666666666666,NONE,11.486666666666665,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8566666666666668,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1643333333333333,3000.0,700.0,4.1,28.7,0.2,133.0666666666667,400.0,100.0,4.0,23.4,0.1,300.0,100.0,3.5,21.8,0.1,1100.0,400.0,2.8,24.7,0.2,4200.0,400.0,11.0,22.7,0.1,6300.0,600.0,11.1,25.6,0.2
body_p1,02,Al6061_body02_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,7,617,2025-07-10 11:41:23.847254,21,0.0001678978379824,2412,1,8,30.001,AUTO,4,ARMED,100,286.1,5,2569234.295,2,000454_D_A_PROGRAM_1.NC,56,100,0,0,100,6420.0,681860.468000002,89,403.209481361156,5,290.647085524449,40,-283.506811405873,937.6666666666666,8.200000000000001,NONE,11.487666666666668,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8433333333333334,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1643333333333333,2800.0,700.0,3.9,28.7,0.2,132.96666666666667,1000.0,100.0,7.7,23.4,0.1,1100.0,200.0,5.6,21.8,0.1,1500.0,400.0,3.9,24.7,0.1,8800.0,1000.0,8.7,22.7,0.1,19600.0,3500.0,5.5,25.6,0.4
body_p1,02,Al6061_body02_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,7,618,2025-07-10 11:41:24.847407,21,0.0001678978379824,2415,1,8,30.001,AUTO,4,ARMED,100,20.53333,5,2569234.295,2,000454_D_A_PROGRAM_1.NC,56,100,0,1,100,6420.0,681860.468000002,6,418.721481823874,5,290.647096968672,24,-322.477893949356,1221.0,11.396666666666668,NONE,11.488,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.93,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1643333333333333,3200.0,800.0,4.1,28.7,0.3,132.83333333333334,600.0,100.0,4.6,23.4,0.3,2200.0,300.0,8.3,21.8,0.1,27300.0,3400.0,7.9,24.7,0.2,12700.0,1500.0,8.3,22.7,0.1,33500.0,5700.0,5.9,25.6,0.4
body_p1,02,Al6061_body02_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,7,619,2025-07-10 11:41:25.847586,21,0.0001678978379824,2418,1,8,30.001,AUTO,4,ARMED,100,9.85,5,2569234.295,2,000454_D_A_PROGRAM_1.NC,58,100,0,0,100,6420.0,681860.468000002,5,418.721493269822,6,214.645105774858,20,-315.867599484992,906.6666666666666,7.863333333333332,NONE,11.488,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1643333333333333,2800.0,700.0,4.3,28.7,0.3,133.0,400.0,100.0,4.1,23.4,0.1,300.0,100.0,3.6,21.8,0.1,1300.0,400.0,3.1,24.7,0.2,3200.0,300.0,11.2,22.7,0.1,2700.0,500.0,5.6,25.6,0.2
body_p1,02,Al6061_body02_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,7,620,2025-07-10 11:41:26.847904,21,0.0001678978379824,2422,1,8,30.001,AUTO,4,ARMED,100,110.7167,5,2569234.295,2,000454_D_A_PROGRAM_1.NC,59,100,0,2,100,6420.0,681860.468000002,63,349.390964676972,5,214.645220208851,39,-283.506845734369,893.6666666666666,7.846666666666667,NONE,11.488,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8166666666666668,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1643333333333333,3100.0,700.0,4.4,28.7,0.2,132.9333333333333,700.0,100.0,6.7,23.4,0.1,1600.0,300.0,6.1,21.8,0.1,1600.0,400.0,3.6,24.7,0.1,8500.0,1100.0,7.6,22.7,0.1,18800.0,3600.0,5.2,25.6,0.4
body_p1,02,Al6061_body02_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,7,621,2025-07-10 11:41:27.848208,21,0.0001678978379824,2425,1,8,30.001,AUTO,4,ARMED,100,39.4,5,2569234.295,2,000454_D_A_PROGRAM_1.NC,0,100,0,0,100,6420.0,681860.468000002,5,342.719688473709,5,214.645197322052,24,-323.256963923485,1184.0,11.013333333333334,NONE,11.488666666666669,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.6933333333333334,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1643333333333333,3300.0,800.0,4.3,28.7,0.3,132.83333333333334,300.0,100.0,4.6,23.4,0.1,700.0,100.0,5.5,21.8,0.1,1500.0,400.0,3.5,24.7,0.2,11700.0,1500.0,7.7,22.7,0.1,32300.0,5700.0,5.7,25.6,0.4
body_p1,03,Al6061_body03_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,608,2025-07-10 12:00:08.687880,21,0.0001678978379824,25,1,8,30.001,AUTO,4,ARMED,100,0.0,5,2570676.202,3,O9735.FNC,47,100,0,2,100,6420.0,682941.890000002,5,338.038403936291,5,266.895599315208,37,-280.966880305192,998.0,8.806666666666667,NONE,11.849333333333334,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8533333333333334,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1823333333333333,2600.0,700.0,3.5,31.3,0.3,133.1,400.0,100.0,5.1,23.7,0.4,300.0,100.0,3.8,22.1,0.1,7600.0,700.0,10.3,25.3,0.2,800.0,200.0,4.8,23.0,0.1,900.0,300.0,3.1,27.2,0.2
body_p1,03,Al6061_body03_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,609,2025-07-10 12:00:09.688033,21,0.0001678978379824,2409,1,8,30.001,AUTO,4,ARMED,100,12.41667,5,2570676.202,3,000454_D_A_PROGRAM_1.NC,48,100,0,3,100,6420.0,682941.890000002,5,342.719711452439,6,290.647177078229,12,-315.598436699333,929.3333333333334,8.1,NONE,11.85,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8933333333333332,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1823333333333333,2600.0,700.0,3.6,31.3,0.3,133.16666666666666,300.0,100.0,3.7,23.7,0.1,400.0,100.0,4.4,22.1,0.1,1200.0,400.0,2.9,25.3,0.2,900.0,200.0,4.6,23.0,0.1,2200.0,500.0,4.6,27.2,0.2
body_p1,03,Al6061_body03_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,610,2025-07-10 12:00:10.688185,21,0.0001678978379824,2412,1,8,30.001,AUTO,4,ARMED,100,380.05,5,2570676.202,3,000454_D_A_PROGRAM_1.NC,49,100,0,2,100,6420.0,682941.890000002,42,408.990377511983,6,290.647085524449,39,-283.506822848705,915.0,7.923333333333333,NONE,11.850666666666667,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8099999999999999,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1823333333333333,2700.0,700.0,3.7,31.3,0.2,133.16666666666666,400.0,100.0,5.6,23.7,0.1,1200.0,200.0,7.0,22.1,0.1,1300.0,400.0,3.5,25.3,0.2,9400.0,1100.0,8.6,23.0,0.1,20100.0,3500.0,5.7,27.2,0.4
body_p1,03,Al6061_body03_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,611,2025-07-10 12:00:11.688396,21,0.0001678978379824,2416,1,8,30.001,AUTO,4,ARMED,100,208.8667,5,2570676.202,3,000454_D_A_PROGRAM_1.NC,50,100,0,2,100,6420.0,682941.890000002,5,418.721504715769,6,290.647096968672,91,-312.398259940303,1089.0,11.393333333333333,NONE,11.851,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7166666666666667,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1823333333333333,3000.0,800.0,3.9,31.3,0.3,133.0,600.0,100.0,4.4,23.7,0.3,2200.0,400.0,6.1,22.1,0.1,35300.0,5200.0,6.8,25.3,0.2,11700.0,1500.0,7.9,23.0,0.1,33700.0,5800.0,5.8,27.2,0.4
body_p1,03,Al6061_body03_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,612,2025-07-10 12:00:12.688547,21,0.0001678978379824,2419,1,8,30.001,AUTO,4,ARMED,100,19.55,5,2570676.202,3,000454_D_A_PROGRAM_1.NC,51,100,0,2,100,6420.0,682941.890000002,5,418.721493269822,6,214.645140105055,26,-318.278061335159,1077.0,10.056666666666668,NONE,11.851,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9866666666666668,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1823333333333333,2800.0,700.0,3.8,31.3,0.3,133.13333333333333,400.0,100.0,4.3,23.7,0.1,300.0,100.0,3.7,22.1,0.1,1600.0,500.0,3.3,25.3,0.2,1200.0,200.0,6.3,23.0,0.1,1900.0,500.0,4.1,27.2,0.2
body_p1,03,Al6061_body03_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,613,2025-07-10 12:00:13.688696,21,0.0001678978379824,2422,1,8,30.001,AUTO,4,ARMED,100,283.6333,5,2570676.202,3,000454_D_A_PROGRAM_1.NC,52,100,0,1,100,6420.0,682941.890000002,19,342.863880817173,5,214.645208765451,39,-284.321803909449,869.3333333333334,7.883333333333333,NONE,11.851333333333336,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.82,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1823333333333333,2900.0,700.0,4.1,31.3,0.2,133.20000000000002,500.0,100.0,7.4,23.7,0.1,1500.0,200.0,6.2,22.1,0.1,1700.0,400.0,3.9,25.3,0.2,7700.0,1100.0,6.9,23.0,0.1,19800.0,3500.0,5.6,27.2,0.4
body_p1,03,Al6061_body03_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,614,2025-07-10 12:00:14.688904,21,0.0001678978379824,2425,1,8,30.001,AUTO,4,ARMED,100,19.1,5,2570676.202,3,000454_D_A_PROGRAM_1.NC,53,100,0,0,100,6420.0,682941.890000002,5,342.719711361382,5,214.645197322052,24,-322.305273298566,1037.3333333333333,10.883333333333333,NONE,11.851333333333336,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.71,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.1823333333333333,3100.0,800.0,4.0,31.3,0.3,133.1,300.0,100.0,4.1,23.7,0.1,700.0,100.0,6.0,22.1,0.1,1400.0,400.0,3.2,25.3,0.2,10500.0,1500.0,7.0,22.9,0.1,33700.0,5800.0,5.8,27.2,0.4
body_p1,04,Al6061_body04_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,610,2025-07-10 13:34:23.587571,21,0.0001678978379824,28,1,8,30.0005,AUTO,4,ARMED,100,0.0,5,2574998.991,4,O9735.FNC,59,100,0,2,100,6420.0,684383.587999999,5,338.038403936291,5,266.895599315208,37,-280.966891748024,899.0,7.8,NONE,12.775,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9233333333333332,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.2016666666666666,2400.0,600.0,3.8,27.9,0.2,131.79999999999998,400.0,100.0,3.8,22.8,1.2,1600.0,200.0,8.1,22.0,0.1,14400.0,2200.0,6.5,25.0,0.1,600.0,200.0,3.7,22.8,0.1,800.0,200.0,3.3,26.4,0.2
body_p1,04,Al6061_body04_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,611,2025-07-10 13:34:24.587902,21,0.0001678978379824,2409,1,8,30.0005,AUTO,4,ARMED,100,19.55,5,2574998.991,4,000454_D_A_PROGRAM_1.NC,0,100,0,0,100,6420.0,684383.587999999,5,342.719688564372,6,290.647119857117,25,-318.790423791201,931.0,8.16,NONE,12.775666666666666,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.93,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.2016666666666666,2400.0,600.0,3.8,27.9,0.2,131.83333333333334,400.0,100.0,4.5,22.8,0.1,500.0,100.0,4.8,22.0,0.1,900.0,300.0,3.1,25.0,0.1,1600.0,200.0,7.8,22.8,0.1,3200.0,600.0,5.2,26.4,0.2
body_p1,04,Al6061_body04_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,6,612,2025-07-10 13:34:25.588228,21,0.0001678978379824,2413,1,8,30.0005,AUTO,4,ARMED,100,55.63333,5,2574998.991,4,000454_D_A_PROGRAM_1.NC,0,100,0,2,100,6420.0,684383.587999999,67,418.719295647876,5,290.647108412894,39,-292.946758472393,1114.3333333333333,10.546666666666669,NONE,12.776000000000002,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,0.2016666666666666,2400.0,600.0,4.2,27.9,0.2,131.70000000000002,300.0,100.0,4.0,22.8,0.1,600.0,100.0,5.4,22.0,0.1,1300.0,300.0,4.6,25.0,0.1,8000.0,1000.0,7.7,22.8,0.1,18700.0,3500.0,5.3,26.4,0.4
