program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,759,2025-07-10 11:25:29.194422,21,0.0001678978379824,2690,1,8,30.0005,AUTO,7,ARMED,100,422.3167,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,49,100,0,0,100,43.2791605842544,681139.755,78,51.7964635023762,45,475.389669890594,35,-99.8669982674121,545.6666666666666,4.87,NONE,11.167666666666667,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,5900.0,1200.0,4.8,26.0,0.1,133.43333333333334,1500.0,400.0,4.2,23.2,0.3,6100.0,1100.0,5.7,21.4,0.1,31700.0,8400.0,3.8,24.2,0.3,2700.0,500.0,5.4,22.3,0.1,700.0,200.0,4.4,24.8,0.1
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,760,2025-07-10 11:25:30.194693,21,0.0001678978379824,2691,1,8,30.0005,AUTO,7,ARMED,100,60.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,50,100,0,23,100,3842.38678484279,681139.755,7,362.719652476081,6,252.646082090128,36,-136.90001390039,780.3333333333334,9.606666666666667,NONE,11.168,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,9800.0,2500.0,4.0,26.0,0.2,133.29999999999998,300.0,100.0,3.8,23.2,0.1,1800.0,300.0,5.4,21.4,0.1,2800.0,600.0,4.6,24.2,0.2,23800.0,4800.0,4.9,22.3,0.1,51500.0,12900.0,4.0,24.8,1.2
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,761,2025-07-10 11:25:31.194906,21,0.0001678978379824,2692,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,51,100,0,13,100,6204.98190914251,681139.755,6,362.719606700065,5,252.646196530379,30,-280.102606986073,5782.0,48.52666666666667,NONE,11.169,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9433333333333334,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,9600.0,2600.0,3.7,26.0,0.2,130.56666666666666,300.0,100.0,4.4,23.2,0.1,300.0,100.0,3.8,21.4,0.1,1400.0,400.0,3.8,24.2,0.1,1200.0,300.0,4.1,22.3,0.1,600.0,100.0,3.8,24.8,0.2
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,762,2025-07-10 11:25:32.195164,21,0.0001678978379824,2692,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,52,100,0,10,100,7783.34831328883,681139.755,6,362.719595256062,5,252.646196530379,30,-280.102584100804,5791.666666666667,47.73666666666666,NONE,11.170666666666667,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.93,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,10000.0,3300.0,3.0,26.0,0.2,130.56666666666666,400.0,100.0,3.6,23.2,0.1,400.0,100.0,2.9,21.4,0.1,1700.0,600.0,3.0,24.2,0.2,1100.0,300.0,4.0,22.3,0.1,700.0,200.0,3.9,24.8,0.1
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,763,2025-07-10 11:25:33.195375,21,0.0001678978379824,2692,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,53,100,0,7,100,9105.5492861938,681139.755,6,362.719606700065,5,252.646196530379,30,-280.102606986073,5789.666666666667,47.71,NONE,11.172666666666666,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9333333333333336,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,6900.0,2100.0,3.3,26.0,0.3,130.56666666666666,500.0,200.0,2.9,23.2,0.1,300.0,100.0,3.6,21.4,0.1,1800.0,500.0,3.8,24.2,0.2,1100.0,300.0,3.7,22.3,0.1,1700.0,600.0,2.7,24.8,0.6
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,764,2025-07-10 11:25:34.195645,21,0.0001678978379824,2692,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,54,100,0,5,100,10006.5930110082,681139.755,6,362.719629588073,5,252.646196530379,31,-280.102698527151,4788.0,39.49666666666666,NONE,11.173666666666668,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8833333333333333,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,7300.0,2200.0,3.3,26.0,0.5,131.13333333333333,500.0,100.0,3.6,23.2,0.1,400.0,100.0,3.8,21.4,0.1,4300.0,1900.0,2.2,24.3,0.8,1400.0,400.0,3.4,22.3,0.2,3100.0,1800.0,1.7,24.8,1.7
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,765,2025-07-10 11:25:35.195878,21,0.0001678978379824,2692,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,55,100,0,4,100,10607.9929101918,681139.755,6,362.719595256062,5,252.646196530379,32,-280.102584100804,4109.0,33.99666666666667,NONE,11.175,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8866666666666667,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,6800.0,2000.0,3.3,26.0,0.4,131.5,400.0,100.0,3.3,23.2,0.1,400.0,100.0,4.5,21.4,0.1,1800.0,600.0,2.9,24.3,0.3,1600.0,500.0,3.5,22.3,0.2,1400.0,400.0,3.3,24.8,0.4
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,766,2025-07-10 11:25:36.196027,21,0.0001678978379824,2695,1,8,30.0005,AUTO,7,ARMED,100,20.56667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,56,100,0,3,100,12000.0,681139.755,11,363.268175028867,1,250.459058448031,28,-312.046501737359,3603.6666666666665,29.96,NONE,11.175666666666666,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.89,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,6300.0,1900.0,3.4,26.0,0.5,131.76666666666665,500.0,100.0,3.3,23.2,0.1,400.0,100.0,3.8,21.4,0.1,3600.0,1100.0,3.4,24.3,0.4,1300.0,400.0,3.5,22.3,0.2,3200.0,900.0,3.5,24.8,0.8
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,767,2025-07-10 11:25:37.196280,21,0.0001678978379824,2696,1,8,30.0005,AUTO,7,ARMED,100,20.61667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,57,100,0,3,100,12000.0,681139.755,2,362.166771460582,9,254.832149263843,26,-313.53254395024,3420.6666666666665,28.48333333333333,NONE,11.177,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.88,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,8200.0,2300.0,3.6,26.0,0.4,131.79999999999998,400.0,100.0,3.4,23.2,0.1,600.0,100.0,3.9,21.4,0.1,3700.0,1000.0,3.8,24.3,0.3,1500.0,500.0,3.2,22.3,0.3,2900.0,900.0,3.1,24.8,0.8
body_p1,01,Al6061_body01_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,20,768,2025-07-10 11:25:38.196546,21,0.0001678978379824,2698,1,8,30.0005,AUTO,7,ARMED,100,20.61667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,58,100,0,2,100,12000.0,681139.755,0,362.228681819104,8,250.451186737267,27,-314.944427084183,3248.0,27.10333333333333,NONE,11.177666666666669,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8866666666666667,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,0.1476666666666667,7200.0,1900.0,3.8,26.0,0.5,131.9,500.0,200.0,3.1,23.2,0.1,600.0,200.0,2.9,21.4,0.1,4100.0,1100.0,3.6,24.3,0.4,1700.0,500.0,3.3,22.3,0.3,3100.0,800.0,3.7,24.8,0.7
