program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,837,2025-07-10 11:26:47.210914,21,0.0001678978379824,2803,1,8,30.0005,AUTO,1,ARMED,100,237.0667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,7,100,0,0,100,3709.0,681139.755,17,282.860492219762,10,211.867392247191,38,-279.231483805467,552.3333333333334,5.023333333333333,NONE,11.195666666666668,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8066666666666666,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,2600.0,500.0,5.1,26.1,0.1,133.4,700.0,100.0,8.5,23.2,0.1,2200.0,300.0,6.3,21.4,0.1,5500.0,600.0,8.5,24.3,0.1,9100.0,1300.0,7.1,22.3,0.1,23400.0,4300.0,5.4,24.9,0.4
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,838,2025-07-10 11:26:48.211068,21,0.0001678978379824,2806,1,8,30.0005,AUTO,1,ARMED,100,31.31667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,8,100,0,0,100,3709.0,681139.755,8,295.842465937779,8,218.671569389185,30,-315.555893348693,601.6666666666666,5.736666666666667,NONE,11.195666666666668,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.5099999999999999,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,2100.0,500.0,4.4,26.1,0.1,133.33333333333334,300.0,100.0,4.9,23.2,0.1,400.0,100.0,3.9,21.4,0.0,2400.0,700.0,3.4,24.3,0.1,900.0,300.0,3.2,22.3,0.1,500.0,100.0,3.4,24.9,0.1
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,839,2025-07-10 11:26:49.211239,21,0.0001678978379824,2807,1,8,30.0005,AUTO,1,ARMED,100,31.33333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,8,100,0,1,100,3709.0,681139.755,2,305.448134703985,8,247.812580214262,30,-315.555893348693,793.6666666666666,6.803333333333334,NONE,11.195666666666668,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8166666666666668,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,11700.0,1900.0,6.1,26.1,0.4,133.13333333333333,2100.0,900.0,2.5,23.2,0.3,1100.0,300.0,3.9,21.4,0.1,2800.0,900.0,3.0,24.3,0.2,8100.0,1600.0,5.2,22.3,0.1,2000.0,400.0,5.5,24.9,0.1
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,840,2025-07-10 11:26:50.211364,21,0.0001678978379824,2809,1,8,30.0005,AUTO,1,ARMED,100,31.31667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,10,100,0,0,100,3709.0,681139.755,8,310.470348935991,9,281.014391927968,30,-315.555927676303,818.0,6.813333333333333,NONE,11.195666666666668,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.92,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,10400.0,2200.0,4.6,26.1,0.5,133.20000000000002,2700.0,1100.0,2.4,23.2,0.4,1400.0,400.0,3.6,21.4,0.1,3300.0,1000.0,3.4,24.3,0.3,10600.0,1600.0,6.8,22.3,0.1,2300.0,400.0,5.5,24.9,0.2
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,841,2025-07-10 11:26:51.211618,21,0.0006680210239083,2810,1,8,30.0005,AUTO,1,ARMED,100,31.33333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,11,100,0,1,100,3709.0,681139.755,9,334.085497033329,7,302.478912352637,30,-315.55590479123,894.6666666666666,7.539999999999999,NONE,11.195666666666668,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.92,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,9000.0,2500.0,3.6,26.1,0.6,133.13333333333333,2700.0,1200.0,2.2,23.2,0.5,1200.0,500.0,2.7,21.4,0.1,3700.0,1000.0,3.8,24.3,0.3,5700.0,1900.0,3.0,22.3,0.1,1900.0,500.0,3.5,24.9,0.3
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,842,2025-07-10 11:26:52.211770,21,0.0001678978379824,2811,1,8,30.0005,AUTO,1,ARMED,100,31.31667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,12,100,0,2,100,3709.0,681139.755,8,359.67139325496,5,311.969037854648,30,-315.55590479123,1030.0,8.783333333333333,NONE,11.196666666666667,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,12900.0,3200.0,4.0,26.1,0.7,133.06666666666666,3700.0,1300.0,2.9,23.2,0.6,1400.0,500.0,2.8,21.4,0.1,3600.0,1100.0,3.3,24.3,0.4,8100.0,2200.0,3.7,22.3,0.2,2300.0,600.0,3.7,24.9,0.4
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,843,2025-07-10 11:26:53.212056,21,0.0001678978379824,2813,1,8,30.001,AUTO,1,ARMED,100,31.31667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,13,100,0,2,100,3709.0,681139.755,9,391.344898418898,5,311.228079697311,30,-315.555881906157,952.0,8.046666666666667,NONE,11.197333333333331,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8533333333333334,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,16200.0,3300.0,4.9,26.1,0.7,133.13333333333333,2600.0,1000.0,2.6,23.2,0.4,2200.0,600.0,3.9,21.4,0.1,3700.0,900.0,4.0,24.3,0.3,17600.0,2900.0,6.1,22.3,0.2,3200.0,600.0,5.0,24.9,0.4
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,844,2025-07-10 11:26:54.212205,21,0.0001678978379824,2814,1,8,30.0005,AUTO,1,ARMED,100,31.33333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,14,100,0,0,100,3709.0,681139.755,9,420.84259905526,8,305.692679379278,30,-315.555893348693,1077.3333333333333,9.223333333333334,NONE,11.197333333333331,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8166666666666668,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,9800.0,2200.0,4.5,26.1,0.5,133.03333333333333,1600.0,500.0,3.3,23.2,0.2,1300.0,400.0,3.4,21.4,0.1,3000.0,700.0,4.1,24.3,0.2,7000.0,1700.0,4.1,22.3,0.2,1700.0,500.0,3.3,24.9,0.3
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,845,2025-07-10 11:26:55.212362,21,0.0001678978379824,2815,1,8,30.001,AUTO,1,ARMED,100,31.31667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,15,100,0,0,100,3709.0,681139.755,9,446.932780218506,7,287.036864204358,30,-315.555893348693,1064.6666666666667,9.103333333333332,NONE,11.197666666666665,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8966666666666666,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,2700.0,700.0,4.1,26.1,0.2,133.06666666666666,800.0,200.0,3.9,23.2,0.1,700.0,200.0,4.2,21.4,0.1,3100.0,800.0,3.7,24.3,0.1,3500.0,700.0,5.2,22.3,0.1,700.0,200.0,3.4,24.9,0.1
body_p1,01,Al6061_body01_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,25,846,2025-07-10 11:26:56.212515,21,0.0001678978379824,2816,1,8,30.0005,AUTO,1,ARMED,100,31.33333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,16,100,0,0,100,3709.0,681139.755,8,455.918064859338,9,258.284176722952,30,-315.555893348693,814.3333333333334,6.803333333333334,NONE,11.197666666666665,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8300000000000001,CF5DB674-3928-4BAA-A4E6-695A35019B38,0.151,5800.0,1400.0,4.0,26.1,0.3,133.16666666666666,1200.0,500.0,2.5,23.2,0.2,1100.0,300.0,3.6,21.4,0.1,3600.0,1000.0,3.5,24.3,0.2,5300.0,1500.0,3.6,22.3,0.1,1200.0,300.0,3.9,24.9,0.1
