program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,886,2025-07-10 11:27:36.220527,21,0.0001678978379824,4,1,8,30.0005,AUTO,17,ARMED,100,0.0,5,2568514.049,1,O9735.FNC,56,100,0,1,100,11200.0,681139.755,6,444.279003670356,5,245.099800377251,38,-263.330089103111,1040.6666666666667,9.463333333333331,NONE,11.215666666666666,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7466666666666667,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,4100.0,1300.0,3.3,26.1,0.5,133.13333333333333,800.0,200.0,5.1,23.2,0.3,2200.0,200.0,8.9,21.4,0.1,17600.0,2700.0,6.5,24.3,0.4,1200.0,400.0,3.4,22.4,0.2,2200.0,1100.0,2.1,25.0,0.9
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,887,2025-07-10 11:27:37.220632,21,0.0001678978379824,2906,1,8,30.0005,AUTO,17,ARMED,100,20.58333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,56,100,0,0,100,11200.0,681139.755,10,388.329191665999,10,205.227724788102,29,-300.409221447989,902.0,8.15,NONE,11.215666666666666,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8333333333333334,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,4400.0,1300.0,3.5,26.2,0.5,133.23333333333332,800.0,200.0,4.7,23.2,1.2,900.0,200.0,5.7,21.4,0.1,6100.0,1500.0,3.9,24.3,0.4,1700.0,400.0,4.4,22.4,0.2,6400.0,1100.0,6.1,25.0,0.9
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,888,2025-07-10 11:27:38.220979,21,0.0001678978379824,2911,1,8,30.0005,AUTO,17,ARMED,100,78.68333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,58,100,0,0,100,11200.0,681139.755,15,324.437981927528,25,245.169386403546,31,-300.409129906911,1158.3333333333333,10.196666666666664,NONE,11.215666666666666,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9333333333333332,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,4700.0,1200.0,3.8,26.2,0.5,133.0,600.0,200.0,3.9,23.2,1.8,1000.0,300.0,3.6,21.4,0.1,7800.0,2100.0,3.7,24.3,0.4,1400.0,400.0,3.8,22.4,0.3,2200.0,1000.0,2.2,25.0,0.9
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,889,2025-07-10 11:27:39.221130,21,0.0001678978379824,2915,1,8,30.0005,AUTO,17,ARMED,100,74.46667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,59,100,0,0,100,11200.0,681139.755,42,371.42254281536,6,291.668989341662,31,-300.409118464277,1160.3333333333333,9.95,NONE,11.216,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8766666666666666,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,4500.0,1300.0,3.6,26.2,0.5,132.96666666666667,600.0,200.0,4.0,23.2,0.8,400.0,100.0,4.0,21.4,0.1,5200.0,1200.0,4.3,24.3,0.4,2900.0,400.0,7.4,22.4,0.3,2400.0,1000.0,2.3,25.0,1.0
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,890,2025-07-10 11:27:40.221285,21,0.0001678978379824,2920,1,8,30.0005,AUTO,17,ARMED,100,62.5,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,0,100,0,1,100,11200.0,681139.755,16,435.828378819654,11,265.370218461978,31,-300.409118464277,1150.0,9.846666666666666,NONE,11.217333333333334,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8700000000000001,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,4400.0,1200.0,3.6,26.2,0.5,133.0,600.0,200.0,3.6,23.2,1.8,1000.0,300.0,3.6,21.5,0.1,8000.0,2300.0,3.4,24.3,0.4,1100.0,400.0,3.2,22.4,0.3,2300.0,1000.0,2.2,25.0,0.9
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,891,2025-07-10 11:27:41.221358,21,0.0001678978379824,2923,1,8,30.0005,AUTO,17,ARMED,100,91.68333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,1,100,0,0,100,11200.0,681139.755,11,394.180970852526,1,212.521720347555,31,-300.409141349546,1158.3333333333333,9.93,NONE,11.217333333333334,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8733333333333334,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,4400.0,1200.0,3.6,26.2,0.5,132.96666666666667,500.0,200.0,3.4,23.2,1.5,700.0,100.0,5.2,21.5,0.1,6000.0,1500.0,4.1,24.3,0.4,2700.0,400.0,6.7,22.4,0.3,2200.0,1000.0,2.2,25.0,1.0
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,892,2025-07-10 11:27:42.221571,21,0.0001678978379824,2930,1,8,30.0005,AUTO,17,ARMED,100,88.58333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,2,100,0,0,100,11200.0,681139.755,38,348.077017669074,18,216.737816099448,31,-300.409095579007,1144.3333333333333,9.8,NONE,11.217333333333334,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8700000000000001,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,4700.0,1300.0,3.6,26.2,0.6,133.03333333333333,1100.0,200.0,5.4,23.2,2.0,800.0,200.0,4.3,21.5,0.1,6300.0,1700.0,3.8,24.3,0.4,3200.0,500.0,6.6,22.4,0.3,2300.0,1000.0,2.2,25.0,0.9
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,893,2025-07-10 11:27:43.221721,21,0.0001678978379824,2934,1,8,30.0005,AUTO,17,ARMED,100,79.83333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,3,100,0,0,100,11200.0,681139.755,33,329.972044262042,18,276.101527444152,31,-300.409084136372,1160.6666666666667,9.91,NONE,11.218000000000002,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8766666666666666,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,4400.0,1300.0,3.5,26.2,0.5,133.03333333333333,600.0,200.0,3.7,23.2,1.2,1000.0,200.0,4.6,21.5,0.1,6600.0,1500.0,4.5,24.3,0.4,3600.0,400.0,8.0,22.4,0.3,2500.0,1000.0,2.5,25.0,1.0
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,894,2025-07-10 11:27:44.221872,21,0.0001678978379824,2939,1,8,30.0005,AUTO,17,ARMED,100,81.25,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,4,100,0,0,100,11200.0,681139.755,0,406.349884428359,24,290.854024077867,31,-300.409129906911,1153.6666666666667,9.963333333333331,NONE,11.218333333333334,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8666666666666667,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,5100.0,1300.0,4.1,26.2,0.5,133.0,700.0,200.0,3.9,23.2,2.0,700.0,200.0,4.7,21.5,0.1,7600.0,1800.0,4.2,24.3,0.4,3000.0,500.0,6.7,22.4,0.3,2300.0,1000.0,2.2,25.0,0.9
body_p1,01,Al6061_body01_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,28,895,2025-07-10 11:27:45.222023,21,0.0001678978379824,2942,1,8,30.0005,AUTO,17,ARMED,100,76.81667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,5,100,0,1,100,11200.0,681139.755,9,424.937462810765,10,224.065117536018,31,-300.409084136372,1162.6666666666667,9.976666666666668,NONE,11.218333333333334,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8733333333333334,D26C121D-4255-454F-9BFF-BC3FE92091D3,0.151,4600.0,1300.0,3.6,26.2,0.5,133.0,500.0,100.0,3.6,23.2,1.1,900.0,200.0,4.6,21.5,0.1,6000.0,1600.0,3.8,24.3,0.4,3500.0,400.0,8.0,22.4,0.3,2600.0,1000.0,2.5,25.0,1.0
