program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,DB204000-40E6-4720-8721-98173D9A37FF,7,621,2025-07-10 11:22:33.112333,21,0.0001678978379824,4,1,8,30.0005,AUTO,4,ARMED,100,0.0,5,2568153.967,1,O9735.FNC,52,100,0,1,100,6420.0,681139.755,5,342.719699917546,5,214.645197322052,38,-283.50690294853,861.3333333333334,7.400000000000001,NONE,11.124333333333334,60.01,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.93,DB204000-40E6-4720-8721-98173D9A37FF,0.1466666666666667,2600.0,700.0,3.7,25.4,0.2,133.26666666666668,700.0,200.0,4.7,23.1,0.2,1700.0,200.0,7.9,21.3,0.1,15100.0,2600.0,5.8,24.2,0.2,600.0,200.0,3.9,22.2,0.1,600.0,200.0,3.3,24.7,0.1
body_p1,01,Al6061_body01_p1,DB204000-40E6-4720-8721-98173D9A37FF,7,622,2025-07-10 11:22:34.112626,21,0.0001678978379824,2436,1,8,30.0005,AUTO,4,ARMED,100,19.55,5,2568153.967,1,000454_D_A_PROGRAM_1.NC,53,100,0,2,100,6420.0,681139.755,6,398.721634757451,5,252.646232433621,25,-316.20965122804,880.0,7.53,NONE,11.124333333333334,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8666666666666667,DB204000-40E6-4720-8721-98173D9A37FF,0.1466666666666667,2700.0,700.0,3.9,25.4,0.2,133.26666666666668,200.0,100.0,3.9,23.1,0.1,300.0,100.0,3.5,21.3,0.1,1100.0,300.0,3.3,24.2,0.1,700.0,200.0,4.3,22.2,0.1,2300.0,500.0,4.4,24.7,0.2
body_p1,02,Al6061_body02_p1,DB204000-40E6-4720-8721-98173D9A37FF,8,622,2025-07-10 11:41:28.848473,21,0.0001678978379824,28,1,8,30.001,AUTO,4,ARMED,100,0.0,5,2569234.295,2,O9735.FNC,1,100,0,0,100,6420.0,681860.468000002,4,342.719699917546,5,214.645197322052,38,-283.506914391362,937.3333333333334,8.256666666666666,NONE,11.489,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.94,DB204000-40E6-4720-8721-98173D9A37FF,0.1643333333333333,2600.0,700.0,3.7,28.7,0.2,133.0,700.0,100.0,5.2,23.4,0.3,2100.0,200.0,8.7,21.8,0.1,15900.0,2700.0,5.9,24.7,0.2,700.0,200.0,4.3,22.7,0.1,500.0,200.0,3.4,25.6,0.1
body_p1,02,Al6061_body02_p1,DB204000-40E6-4720-8721-98173D9A37FF,8,623,2025-07-10 11:41:29.848760,21,0.0001678978379824,2436,1,8,30.001,AUTO,4,ARMED,100,17.43333,5,2569234.295,2,000454_D_A_PROGRAM_1.NC,1,100,0,1,100,6420.0,681860.468000002,6,398.721600422723,6,252.646232433621,37,-316.019018570255,879.3333333333334,7.510000000000001,NONE,11.489333333333336,59.97,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8733333333333334,DB204000-40E6-4720-8721-98173D9A37FF,0.1643333333333333,2500.0,700.0,3.8,28.7,0.3,132.9333333333333,200.0,100.0,3.8,23.4,0.1,300.0,100.0,3.7,21.8,0.1,1100.0,400.0,2.9,24.7,0.2,900.0,200.0,5.4,22.7,0.1,2700.0,500.0,5.4,25.6,0.2
body_p1,03,Al6061_body03_p1,DB204000-40E6-4720-8721-98173D9A37FF,7,615,2025-07-10 12:00:15.689116,21,0.0001678978379824,2433,1,8,30.001,AUTO,4,ARMED,100,0.0,5,2570676.202,3,000454_D_A_PROGRAM_1.NC,54,100,0,2,100,6420.0,682941.890000002,4,343.376175556156,5,224.245151161935,38,-283.50690294853,1126.6666666666667,8.113333333333333,NONE,11.851666666666668,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,DB204000-40E6-4720-8721-98173D9A37FF,0.1823333333333333,2400.0,700.0,3.4,31.3,0.2,133.16666666666666,800.0,100.0,5.8,23.7,0.4,1700.0,300.0,5.5,22.1,0.1,15600.0,2800.0,5.5,25.3,0.2,3000.0,300.0,9.9,22.9,0.1,7100.0,700.0,10.5,27.2,0.1
body_p1,03,Al6061_body03_p1,DB204000-40E6-4720-8721-98173D9A37FF,7,616,2025-07-10 12:00:16.689264,21,0.0001678978379824,2436,1,8,30.001,AUTO,4,ARMED,100,19.55,5,2570676.202,3,000454_D_A_PROGRAM_1.NC,55,100,0,0,100,6420.0,682941.890000002,5,398.721600422723,5,252.646220989639,26,-320.150392137126,895.3333333333334,7.753333333333334,NONE,11.852333333333334,60.02,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,DB204000-40E6-4720-8721-98173D9A37FF,0.1823333333333333,2500.0,700.0,3.6,31.3,0.3,133.13333333333333,300.0,100.0,4.8,23.7,0.1,600.0,100.0,5.8,22.1,0.1,1400.0,400.0,3.4,25.3,0.2,4600.0,400.0,13.0,22.9,0.1,33900.0,3900.0,8.7,27.2,0.3
body_p1,04,Al6061_body04_p1,DB204000-40E6-4720-8721-98173D9A37FF,7,617,2025-07-10 13:34:30.589645,21,0.0001678978379824,2433,1,8,30.0005,AUTO,4,ARMED,100,355.4833,5,2574998.991,4,000454_D_A_PROGRAM_1.NC,5,100,0,2,100,6420.0,684383.587999999,81,373.395672198454,44,235.462554448366,38,-283.506891505697,896.6666666666666,10.823333333333332,NONE,12.777333333333331,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.6266666666666666,DB204000-40E6-4720-8721-98173D9A37FF,0.2016666666666666,2600.0,600.0,4.2,28.0,0.2,131.79999999999998,700.0,100.0,6.5,22.8,0.4,2500.0,300.0,8.0,22.0,0.1,14300.0,2600.0,5.4,25.0,0.2,6300.0,600.0,11.2,22.9,0.1,17700.0,3200.0,5.5,26.4,0.3
body_p1,04,Al6061_body04_p1,DB204000-40E6-4720-8721-98173D9A37FF,7,618,2025-07-10 13:34:31.589973,21,0.0001678978379824,2436,1,8,30.0005,AUTO,4,ARMED,100,19.55,5,2574998.991,4,000454_D_A_PROGRAM_1.NC,6,100,0,0,100,6420.0,684383.587999999,5,398.721611867632,5,252.646198101673,32,-321.760464399846,895.6666666666666,9.64,NONE,12.777666666666669,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7000000000000001,DB204000-40E6-4720-8721-98173D9A37FF,0.2016666666666666,3300.0,600.0,5.3,28.0,0.2,131.73333333333332,300.0,100.0,4.0,22.8,0.1,700.0,100.0,6.2,22.0,0.1,1400.0,300.0,4.6,25.0,0.1,10900.0,1400.0,7.9,22.9,0.1,31900.0,5200.0,6.2,26.4,0.4
body_p1,06,Al6061_body06_p1,DB204000-40E6-4720-8721-98173D9A37FF,9,633,2025-07-11 11:37:36.531222,14,-0.0010460767582615,4,1,9,30.0,AUTO,4,ARMED,100,0.0,5,2595174.109,6,O9735.FNC,1,100,0,1,100,6420.0,691589.264,4,342.719688473709,5,214.645197322052,38,-283.50690294853,911.3333333333334,7.886666666666667,NONE,17.114666666666665,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,1.0,DB204000-40E6-4720-8721-98173D9A37FF,0.381,3300.0,800.0,4.3,26.5,0.2,132.56666666666666,300.0,100.0,4.5,21.6,0.1,700.0,100.0,5.8,21.9,0.1,1400.0,400.0,3.5,24.7,0.1,11000.0,1600.0,6.7,23.3,0.1,32900.0,5500.0,6.0,26.6,0.4
body_p1,06,Al6061_body06_p1,DB204000-40E6-4720-8721-98173D9A37FF,9,634,2025-07-11 11:37:37.531475,14,-0.0005460595695276,2436,1,9,30.0,AUTO,4,ARMED,100,19.55,5,2595174.109,6,000454_D_A_PROGRAM_1.NC,2,100,0,0,100,6420.0,691589.264,5,398.721600422723,5,252.646232433621,27,-316.590767790637,844.6666666666666,7.093333333333334,NONE,17.115666666666666,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.94,DB204000-40E6-4720-8721-98173D9A37FF,0.381,2800.0,600.0,4.4,26.5,0.1,132.66666666666666,800.0,100.0,5.9,21.6,0.3,1700.0,200.0,9.9,21.9,0.1,15800.0,2200.0,7.1,24.7,0.1,600.0,200.0,4.1,23.3,0.1,700.0,200.0,3.5,26.6,0.1
body_p1,07,Al6061_body07_p1,DB204000-40E6-4720-8721-98173D9A37FF,8,616,2025-07-11 11:57:16.838114,14,-0.0010460767582615,2433,1,9,30.0,AUTO,4,ARMED,100,173.8167,5,2596255.517,7,000454_D_A_PROGRAM_1.NC,4,100,0,1,100,6420.0,692670.178000001,40,398.67112837159,23,252.64593489007,38,-299.57543098511,842.3333333333334,7.146666666666666,NONE,17.479666666666667,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.91,DB204000-40E6-4720-8721-98173D9A37FF,0.3976666666666666,2700.0,600.0,4.3,29.9,0.2,133.03333333333333,200.0,100.0,3.5,21.5,0.1,300.0,100.0,4.6,22.2,0.1,1200.0,400.0,3.4,24.9,0.1,11700.0,1300.0,9.1,23.5,0.1,29100.0,2200.0,13.0,27.3,0.3
body_p1,07,Al6061_body07_p1,DB204000-40E6-4720-8721-98173D9A37FF,8,617,2025-07-11 11:57:17.838411,14,-0.0010460767582615,2438,1,9,30.0,AUTO,4,ARMED,100,156.45,5,2596255.517,7,000454_D_A_PROGRAM_1.NC,6,100,0,1,100,6420.0,692670.178000001,5,398.721600422723,5,252.646209545656,57,-288.934650129743,877.3333333333334,7.543333333333333,NONE,17.479666666666667,60.0,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.7166666666666667,DB204000-40E6-4720-8721-98173D9A37FF,0.3976666666666666,2500.0,600.0,4.3,29.9,0.2,133.03333333333333,300.0,100.0,4.1,21.5,0.4,1500.0,200.0,8.9,22.2,0.1,6800.0,500.0,12.6,24.9,0.1,7600.0,1000.0,7.5,23.5,0.1,20500.0,3300.0,6.2,27.3,0.3
body_p1,08,Al6061_body08_p1,DB204000-40E6-4720-8721-98173D9A37FF,8,657,2025-07-11 12:15:59.334872,14,-0.0010460767582615,28,1,9,30.0,AUTO,4,ARMED,100,0.0,5,2597336.955,8,O9735.FNC,0,100,0,1,100,6420.0,693390.890999999,4,342.719699917546,4,214.645197322052,38,-283.506891505697,935.3333333333334,7.493333333333333,NONE,17.837333333333333,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.9966666666666668,DB204000-40E6-4720-8721-98173D9A37FF,0.4136666666666666,3100.0,700.0,4.6,32.1,0.2,133.4,300.0,100.0,3.9,21.8,0.1,700.0,100.0,5.4,22.5,0.1,1400.0,400.0,3.4,25.4,0.1,11600.0,1300.0,8.8,23.7,0.1,33700.0,5600.0,6.0,27.9,0.4
body_p1,08,Al6061_body08_p1,DB204000-40E6-4720-8721-98173D9A37FF,8,658,2025-07-11 12:16:00.335117,14,-0.0010460767582615,2435,1,9,30.0,AUTO,4,ARMED,100,57.46667,5,2597336.955,8,000454_D_A_PROGRAM_1.NC,1,100,0,0,100,6420.0,693390.890999999,6,398.721634757451,6,252.64626676557,13,-313.9946965562,860.3333333333334,7.34,NONE,17.837333333333333,59.99,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8466666666666667,DB204000-40E6-4720-8721-98173D9A37FF,0.4136666666666666,1900.0,500.0,3.4,32.1,0.2,133.46666666666667,800.0,200.0,5.3,21.8,0.2,1100.0,100.0,8.3,22.5,0.1,12700.0,1700.0,7.4,25.4,0.1,600.0,200.0,3.8,23.7,0.1,600.0,200.0,3.4,27.9,0.1
body_p1,09,Al6061_body09_p1,DB204000-40E6-4720-8721-98173D9A37FF,7,576,2025-07-11 12:35:37.860127,14,-0.0010460767582615,2433,1,9,30.001,AUTO,4,ARMED,100,40.48333,5,2598417.775,9,000454_D_A_PROGRAM_1.NC,0,100,0,1,100,6420.0,694471.804999999,69,398.669800762082,36,252.608627506263,38,-284.742149095252,1051.0,9.78,NONE,18.20133333333333,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.65,DB204000-40E6-4720-8721-98173D9A37FF,0.4306666666666667,3000.0,600.0,4.8,33.6,0.2,133.1,200.0,100.0,4.5,22.0,0.1,700.0,100.0,6.3,22.7,0.1,1400.0,400.0,3.8,25.5,0.1,9800.0,1400.0,7.1,23.8,0.1,30900.0,5300.0,5.8,28.2,0.4
