program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,775,2025-07-10 11:25:45.198112,21,0.0001678978379824,2715,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,5,100,0,0,100,12000.0,681139.755,3,362.719604271872,6,252.646255321587,40,-280.102511658127,1274.0,10.94,NONE,11.180666666666667,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8366666666666666,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,4900.0,1500.0,3.3,26.0,0.5,133.0,700.0,200.0,4.2,23.2,0.1,600.0,200.0,2.9,21.4,0.2,1800.0,700.0,2.4,24.3,0.3,1700.0,500.0,3.3,22.3,0.3,2200.0,900.0,2.5,24.8,0.7
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,776,2025-07-10 11:25:46.198382,21,0.0001678978379824,2724,1,8,30.0005,AUTO,7,ARMED,100,30.9,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,6,100,0,0,100,12000.0,681139.755,1,397.393674890323,3,251.925989697832,28,-312.007711538686,1479.3333333333333,13.566666666666668,NONE,11.181,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.6666666666666666,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,4900.0,1400.0,3.4,26.0,0.5,132.86666666666667,700.0,200.0,4.2,23.2,0.2,600.0,200.0,2.8,21.4,0.2,3200.0,1000.0,3.2,24.3,0.4,5500.0,600.0,8.8,22.3,0.3,5500.0,900.0,6.2,24.8,0.7
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,777,2025-07-10 11:25:47.198678,21,0.0001678978379824,2726,1,8,30.0005,AUTO,7,ARMED,100,20.68333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,7,100,0,0,100,12000.0,681139.755,9,395.815280090624,9,251.226359222441,27,-313.174976127723,1205.6666666666667,10.336666666666668,NONE,11.181,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.84,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,4500.0,1400.0,3.2,26.0,0.5,133.03333333333333,500.0,200.0,3.3,23.2,0.1,600.0,200.0,3.0,21.4,0.1,3800.0,1000.0,3.7,24.3,0.4,1800.0,500.0,3.3,22.3,0.3,2100.0,800.0,2.6,24.9,0.7
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,778,2025-07-10 11:25:48.198977,21,0.0001678978379824,2727,1,8,30.0005,AUTO,7,ARMED,100,20.68333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,8,100,0,0,100,12000.0,681139.755,4,396.352721598362,11,250.444938299554,27,-314.661510369673,1170.0,9.99,NONE,11.181,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8933333333333334,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,4900.0,1400.0,3.4,26.0,0.5,133.0,600.0,200.0,3.4,23.2,0.1,600.0,200.0,3.1,21.4,0.1,3400.0,1000.0,3.3,24.3,0.4,1800.0,600.0,3.3,22.3,0.3,3100.0,800.0,3.8,24.9,0.7
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,779,2025-07-10 11:25:49.199275,21,0.0001678978379824,2728,1,8,30.0005,AUTO,7,ARMED,100,20.68333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,9,100,0,0,100,12000.0,681139.755,3,396.278673033549,10,250.527518384782,27,-316.073702452101,1183.6666666666667,10.073333333333332,NONE,11.182333333333334,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.88,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,5300.0,1400.0,3.7,26.0,0.5,133.0,500.0,200.0,3.2,23.2,0.1,600.0,200.0,2.9,21.4,0.1,3900.0,1000.0,3.9,24.3,0.4,1900.0,500.0,3.5,22.3,0.3,3000.0,800.0,3.7,24.9,0.7
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,780,2025-07-10 11:25:50.199498,21,0.0001678978379824,2731,1,8,30.0005,AUTO,7,ARMED,100,20.68333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,9,100,0,0,100,12000.0,681139.755,6,395.694650743926,10,251.502766761037,30,-316.770118107451,1170.0,9.996666666666668,NONE,11.182333333333334,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8733333333333334,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,5300.0,1400.0,3.7,26.0,0.5,133.03333333333333,600.0,200.0,3.7,23.2,0.1,600.0,200.0,2.8,21.4,0.1,3400.0,1000.0,3.3,24.3,0.4,2000.0,600.0,3.5,22.3,0.3,1900.0,800.0,2.4,24.9,0.7
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,781,2025-07-10 11:25:51.199712,21,0.0001678978379824,2735,1,8,30.0005,AUTO,7,ARMED,100,33.86667,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,11,100,0,0,100,12000.0,681139.755,18,397.789141314232,12,252.495581715844,39,-312.007477727271,1184.3333333333333,10.11,NONE,11.182666666666668,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.88,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,4800.0,1400.0,3.3,26.0,0.6,133.06666666666666,800.0,200.0,4.5,23.2,0.1,600.0,200.0,2.8,21.4,0.2,3800.0,1000.0,3.8,24.3,0.4,3000.0,600.0,5.1,22.3,0.3,8400.0,1400.0,5.9,24.9,0.7
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,782,2025-07-10 11:25:52.200007,21,0.0001678978379824,2737,1,8,30.0005,AUTO,7,ARMED,100,20.73333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,12,100,0,0,100,12000.0,681139.755,5,404.492843120327,9,255.126158694722,27,-312.87385433767,1195.0,10.23,NONE,11.183,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8566666666666668,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,5200.0,1400.0,3.7,26.0,0.5,133.03333333333333,500.0,200.0,3.2,23.2,0.1,600.0,200.0,2.9,21.4,0.1,3500.0,1000.0,3.6,24.3,0.4,1800.0,500.0,3.5,22.3,0.3,3200.0,800.0,3.8,24.9,0.7
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,783,2025-07-10 11:25:53.200339,21,0.0001678978379824,2737,1,8,30.0005,AUTO,7,ARMED,100,20.73333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,13,100,0,0,100,12000.0,681139.755,6,393.17482500746,9,249.698478873393,27,-314.286687202141,1175.6666666666667,10.033333333333331,NONE,11.183333333333332,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8766666666666666,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,4900.0,1400.0,3.5,26.0,0.5,133.06666666666666,600.0,200.0,3.5,23.2,0.1,600.0,200.0,3.1,21.4,0.1,6000.0,1000.0,5.9,24.3,0.4,1700.0,500.0,3.2,22.3,0.3,2600.0,800.0,3.2,24.9,0.7
body_p1,01,Al6061_body01_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,21,784,2025-07-10 11:25:54.200537,21,0.0001678978379824,2738,1,8,30.0005,AUTO,7,ARMED,100,20.73333,5,2568514.049,1,000454_D_A_PROGRAM_1.NC,14,100,0,0,100,12000.0,681139.755,10,403.356011628942,7,256.884854150694,27,-315.773999536572,1173.6666666666667,10.03,NONE,11.183333333333332,59.98,072B393C-87F5-4183-9ABC-0870E4B4F53B,0.8733333333333334,F3339F2A-EF90-4511-8ABF-3917196A2E76,0.1476666666666667,4900.0,1400.0,3.4,26.0,0.5,133.03333333333333,600.0,200.0,3.5,23.2,0.1,600.0,200.0,3.0,21.4,0.1,5300.0,1000.0,5.3,24.3,0.4,2000.0,600.0,3.5,22.3,0.3,2300.0,800.0,2.8,24.9,0.7
