program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,0,2025-07-23 10:38:23.789537,20,0.0001678978379824,0,1,45,30.001,AUTO,21,ARMED,100,0.0,4,2652093.065,11,,0,10,0,0,100,0.0,710682.869999999,6,92.4010497435216,5,89.1750302581943,39,-2.0940325278961e-06,400.3333333333333,3.66,UNAVAILABLE,28.00933333333333,60.0,UNAVAILABLE,0.7799999999999999,UNAVAILABLE,0.7296666666666667,300.0,100.0,3.8,23.3,0.0,132.76666666666665,200.0,0.0,3.9,22.6,0.0,200.0,100.0,3.7,21.1,0.0,1300.0,800.0,1.7,24.1,0.0,300.0,100.0,2.4,22.1,0.0,1400.0,500.0,2.5,25.7,0.0
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,1,2025-07-23 10:38:24.789726,20,0.0001678978379824,0,1,45,30.001,AUTO,21,ARMED,100,0.0,4,2652093.065,11,,0,10,0,0,100,0.0,710682.869999999,6,92.4010497435216,5,89.1750188143436,39,-2.0940325278961e-06,400.3333333333333,3.66,UNAVAILABLE,28.00933333333333,60.0,UNAVAILABLE,0.7799999999999999,UNAVAILABLE,0.7296666666666667,300.0,100.0,3.6,23.3,0.0,132.76666666666665,200.0,0.0,4.3,22.6,0.0,200.0,100.0,3.7,21.1,0.0,1300.0,800.0,1.7,24.1,0.0,300.0,100.0,2.5,22.1,0.0,1400.0,500.0,2.5,25.7,0.0
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,2,2025-07-23 10:38:25.789878,20,0.0001678978379824,0,1,45,30.001,AUTO,21,ARMED,100,0.0,4,2652093.065,11,,0,10,0,0,100,0.0,710682.869999999,6,92.4010497435216,5,89.1750188143436,39,-2.0940325278961e-06,398.3333333333333,3.6533333333333338,UNAVAILABLE,28.00933333333333,60.0,UNAVAILABLE,0.7799999999999999,UNAVAILABLE,0.7296666666666667,300.0,100.0,4.0,23.3,0.0,132.73333333333335,200.0,0.0,3.9,22.6,0.0,200.0,100.0,3.3,21.1,0.0,1300.0,800.0,1.7,24.1,0.1,300.0,100.0,2.4,22.1,0.0,1400.0,500.0,2.5,25.7,0.0
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,3,2025-07-23 10:38:26.790033,20,0.0001678978379824,0,1,45,30.001,AUTO,21,ARMED,100,0.0,4,2652093.065,11,,0,10,0,0,100,0.0,710682.869999999,6,92.4010497435216,5,89.1750302581943,39,-2.0940325278961e-06,400.3333333333333,3.66,UNAVAILABLE,28.00933333333333,60.0,UNAVAILABLE,0.7766666666666667,UNAVAILABLE,0.7296666666666667,300.0,100.0,3.6,23.3,0.0,132.76666666666665,200.0,0.0,4.1,22.6,0.0,300.0,100.0,4.8,21.1,0.0,1300.0,800.0,1.7,24.1,0.0,300.0,100.0,2.4,22.1,0.0,1400.0,500.0,2.5,25.7,0.0
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,4,2025-07-23 10:38:27.790254,20,0.0001678978379824,0,1,45,30.001,AUTO,21,ARMED,100,0.0,4,2652093.065,11,,0,10,0,0,100,0.0,710682.869999999,6,92.4010497435216,5,89.1750302581943,39,9.35058101143169e-06,400.3333333333333,3.66,UNAVAILABLE,28.00933333333333,60.0,UNAVAILABLE,0.7766666666666667,UNAVAILABLE,0.7296666666666667,300.0,100.0,3.7,23.3,0.0,132.76666666666665,200.0,0.0,4.3,22.6,0.0,200.0,100.0,3.6,21.1,0.0,1300.0,800.0,1.7,24.1,0.0,400.0,100.0,2.6,22.1,0.0,1400.0,500.0,2.6,25.7,0.0
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,5,2025-07-23 10:38:28.790451,20,0.0001678978379824,0,1,45,30.001,AUTO,21,ARMED,100,0.0,4,2652093.065,11,,0,10,0,0,100,0.0,710682.869999999,6,92.4010497435216,5,89.1750302581943,39,-2.0940325278961e-06,401.6666666666667,3.680000000000001,UNAVAILABLE,28.00933333333333,60.0,UNAVAILABLE,0.7799999999999999,UNAVAILABLE,0.7296666666666667,300.0,100.0,3.6,23.3,0.0,132.76666666666665,200.0,0.0,4.0,22.6,0.0,200.0,100.0,3.7,21.1,0.0,1300.0,800.0,1.7,24.1,0.0,300.0,100.0,2.4,22.1,0.0,1400.0,500.0,2.5,25.7,0.0
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,6,2025-07-23 10:38:29.790646,20,0.0001678978379824,0,1,45,30.001,AUTO,21,ARMED,100,0.0,4,2652093.065,11,,0,10,0,0,100,0.0,710682.869999999,6,92.4010497435216,5,89.1750188143436,39,-2.0940325278961e-06,397.6666666666667,3.64,UNAVAILABLE,28.01,60.0,UNAVAILABLE,0.7766666666666667,UNAVAILABLE,0.7296666666666667,300.0,100.0,3.7,23.3,0.0,132.76666666666665,200.0,0.0,4.2,22.6,0.0,200.0,100.0,3.8,21.1,0.0,1300.0,800.0,1.7,24.1,0.0,300.0,100.0,2.3,22.1,0.0,1300.0,500.0,2.5,25.7,0.0
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,7,2025-07-23 10:38:30.790799,20,0.0001678978379824,9,1,45,30.001,AUTO,21,ARMED,100,53.33333,5,2652093.065,11,000454_D_A_PROGRAM_1.NC,0,10,0,0,100,0.0,710682.869999999,6,92.4010497435216,5,89.1750188143436,22,-19.3901665834254,402.0,3.676666666666667,UNAVAILABLE,28.01,60.0,UNAVAILABLE,0.7833333333333333,UNAVAILABLE,0.7296666666666667,300.0,100.0,3.7,23.3,0.1,132.79999999999998,200.0,0.0,4.6,22.6,0.0,300.0,100.0,3.7,21.1,0.0,1500.0,800.0,1.9,24.1,0.0,900.0,200.0,4.2,22.1,0.1,4800.0,1700.0,2.9,25.7,0.2
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,8,2025-07-23 10:38:31.790999,20,0.0001678978379824,9,1,45,30.001,AUTO,21,ARMED,100,53.33333,5,2652093.065,11,000454_D_A_PROGRAM_1.NC,1,10,0,0,100,0.0,710682.869999999,5,92.4010268527663,5,89.1750188143436,22,-73.1899269288694,820.0,9.666666666666666,UNAVAILABLE,28.01033333333333,60.0,UNAVAILABLE,0.8433333333333334,UNAVAILABLE,0.7296666666666667,300.0,100.0,3.9,23.3,0.1,132.36666666666667,200.0,0.0,4.2,22.6,0.0,300.0,100.0,3.9,21.1,0.0,1400.0,800.0,1.8,24.1,0.0,1000.0,200.0,4.4,22.1,0.0,4700.0,1600.0,2.8,25.7,0.2
body_p1,11,Al6061_body11_p1,UNAVAILABLE,1,9,2025-07-23 10:38:32.791154,20,0.0001678978379824,9,1,45,30.001,AUTO,21,ARMED,100,53.33333,5,2652093.065,11,000454_D_A_PROGRAM_1.NC,2,10,0,0,100,0.0,710682.869999999,5,92.4010154073886,5,89.1750073704928,22,-126.963461628802,577.0,5.4366666666666665,UNAVAILABLE,28.01033333333333,60.0,UNAVAILABLE,0.7999999999999999,UNAVAILABLE,0.7296666666666667,300.0,100.0,3.8,23.3,0.1,132.46666666666667,200.0,0.0,4.3,22.6,0.0,300.0,100.0,4.0,21.1,0.0,1400.0,800.0,1.8,24.1,0.1,1100.0,200.0,4.9,22.1,0.0,4900.0,1700.0,2.9,25.7,0.2
