program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,85,2025-07-11 10:09:25.887177,16,-0.0003322253479433,29,1,45,30.0005,AUTO,1,ARMED,100,0.0,5,2589769.7,1,O9735.FNC,33,100,0,0,100,0.0,690148.000000001,5,32.4255969705485,5,491.650013340576,38,-99.8669982674121,562.6666666666666,5.04,NONE,16.048333333333332,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.75,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,400.0,100.0,4.5,22.9,0.1,132.73333333333335,1200.0,200.0,5.7,21.6,0.3,2300.0,400.0,6.2,21.1,0.1,24900.0,3900.0,6.3,23.7,0.1,1300.0,100.0,11.0,22.3,0.1,400.0,100.0,3.9,25.3,0.1
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,86,2025-07-11 10:09:26.887329,16,-0.0003322253479433,251,1,45,30.0005,AUTO,1,ARMED,100,142.2667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,34,100,0,38,100,2468.68543894875,690148.000000001,6,285.968440034493,0,336.16642538819,38,-101.008390397167,2292.0,17.926666666666666,NONE,16.048333333333332,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,1.0,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,10500.0,2600.0,4.0,22.9,0.1,131.86666666666667,400.0,100.0,4.2,21.6,0.1,2000.0,300.0,6.6,21.1,0.1,3600.0,600.0,6.2,23.8,0.1,21500.0,3300.0,6.6,22.3,0.1,47400.0,9000.0,5.3,25.3,0.9
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,87,2025-07-11 10:09:27.887539,16,0.0001678978379825,254,1,45,30.0005,AUTO,1,ARMED,100,21.9,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,35,100,0,0,100,3709.0,690148.000000001,6,286.46911737132,15,331.470440990244,29,-306.348461845556,1752.0,24.51,NONE,16.049,59.98,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.2833333333333333,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,4100.0,500.0,8.0,22.9,0.3,132.16666666666666,300.0,100.0,4.0,21.6,0.7,600.0,100.0,4.3,21.1,0.0,4300.0,1300.0,3.2,23.8,0.1,1400.0,200.0,6.0,22.3,0.1,1300.0,100.0,9.8,25.3,0.1
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,88,2025-07-11 10:09:28.887725,16,-0.0003322253479433,255,1,45,30.0,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,36,100,0,2,100,3709.0,690148.000000001,11,336.623692150243,7,309.211101960267,30,-306.348393190337,1752.0,24.51,NONE,16.049,59.98,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.2833333333333333,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,13100.0,3400.0,3.9,22.9,0.7,132.16666666666666,2800.0,1600.0,1.8,21.6,0.5,1900.0,400.0,4.3,21.1,0.1,5000.0,1100.0,4.5,23.8,0.4,10200.0,1900.0,5.5,22.3,0.2,1900.0,600.0,3.3,25.3,0.4
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,89,2025-07-11 10:09:29.887875,16,0.0001678978379825,255,1,45,30.0005,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,37,100,0,1,100,3709.0,690148.000000001,10,401.148310375059,8,310.473090669146,30,-306.348393190337,762.6666666666666,6.3566666666666665,NONE,16.049,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8933333333333332,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,10700.0,3000.0,3.5,22.9,0.7,132.56666666666663,2600.0,1000.0,2.6,21.6,0.3,1500.0,400.0,3.4,21.1,0.1,3600.0,900.0,4.1,23.8,0.2,8600.0,1700.0,5.0,22.3,0.2,2200.0,500.0,4.4,25.2,0.3
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,90,2025-07-11 10:09:30.888086,16,0.0001678978379825,256,1,45,30.0005,AUTO,1,ARMED,100,62.6,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,38,100,0,1,100,3709.0,690148.000000001,7,449.532521628409,12,304.201832605618,30,-306.348404632873,1060.6666666666667,9.083333333333334,NONE,16.049666666666667,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8766666666666666,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,2500.0,600.0,4.4,22.9,0.2,132.43333333333334,1900.0,400.0,4.2,21.6,1.0,1100.0,200.0,6.0,21.1,0.1,4600.0,1400.0,3.2,23.8,0.2,1800.0,400.0,4.8,22.3,0.1,600.0,100.0,4.4,25.2,0.3
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,91,2025-07-11 10:09:31.888282,16,-0.0003322253479433,258,1,45,30.0,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,39,100,0,1,100,3709.0,690148.000000001,13,414.447053857701,7,283.291802869887,30,-306.348473288092,821.3333333333334,6.886666666666667,NONE,16.050333333333334,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8099999999999999,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,9500.0,2500.0,3.9,22.9,0.5,132.6,3300.0,1500.0,2.2,21.6,0.6,1100.0,400.0,3.1,21.1,0.1,4500.0,1000.0,4.3,23.8,0.3,5100.0,1400.0,3.6,22.3,0.2,1800.0,600.0,3.1,25.2,0.4
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,92,2025-07-11 10:09:32.888434,16,0.0001678978379825,258,1,45,30.0005,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,40,100,0,1,100,3709.0,690148.000000001,13,353.115636010037,8,282.092163289798,30,-306.348427517946,1167.0,10.206666666666669,NONE,16.050333333333334,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,1.0,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,8900.0,1800.0,4.9,22.9,0.4,132.36666666666665,2100.0,400.0,4.9,21.5,0.1,1100.0,200.0,5.2,21.1,0.1,4100.0,800.0,5.0,23.8,0.2,4800.0,1000.0,4.7,22.3,0.1,1500.0,400.0,4.2,25.2,0.2
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,93,2025-07-11 10:09:33.888544,16,0.0001678978379825,259,1,45,30.0,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,41,100,0,0,100,3709.0,690148.000000001,6,306.275672080417,11,260.426716193301,31,-306.348404632873,1381.0,12.0,NONE,16.050333333333334,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8633333333333333,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,4400.0,700.0,5.9,22.9,0.2,132.26666666666668,4200.0,1300.0,3.3,21.5,1.0,1500.0,300.0,5.6,21.1,0.1,4700.0,1400.0,3.4,23.8,0.3,2700.0,500.0,5.8,22.3,0.1,1900.0,300.0,7.2,25.2,0.3
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,94,2025-07-11 10:09:34.888694,16,0.0001678978379825,260,1,45,30.0005,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,42,100,0,1,100,3709.0,690148.000000001,10,357.409749088568,6,254.733815396742,31,-306.348324535118,817.0,6.883333333333333,NONE,16.051000000000002,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8366666666666666,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,11400.0,3100.0,3.7,22.9,0.7,132.5666666666667,3200.0,1700.0,1.9,21.5,0.6,900.0,300.0,2.8,21.1,0.1,3300.0,1000.0,3.3,23.8,0.4,7400.0,1600.0,4.6,22.3,0.2,1900.0,600.0,3.4,25.2,0.4
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,95,2025-07-11 10:09:35.888889,16,0.0001678978379825,260,1,45,30.0005,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,43,100,0,3,100,3709.0,690148.000000001,11,415.501748200919,8,255.870229639645,31,-306.348393190337,1270.6666666666667,11.046666666666669,NONE,16.051000000000002,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,1.0,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,10900.0,2100.0,5.3,22.9,0.5,132.29999999999998,1200.0,200.0,5.5,21.5,0.1,1100.0,200.0,4.9,21.1,0.1,2400.0,600.0,4.2,23.8,0.1,5600.0,900.0,6.5,22.3,0.1,1900.0,400.0,4.9,25.2,0.3
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,96,2025-07-11 10:09:36.889043,16,0.0001678978379825,261,1,45,30.0005,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,44,100,0,2,100,3709.0,690148.000000001,6,454.53551615796,6,237.791565830786,31,-306.348393190337,803.0,6.8933333333333335,NONE,16.052,59.98,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8700000000000001,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,9500.0,1200.0,7.8,22.9,0.3,132.56666666666663,2100.0,700.0,3.2,21.5,1.0,1400.0,300.0,4.8,21.1,0.1,4300.0,1300.0,3.2,23.8,0.3,7500.0,900.0,8.2,22.3,0.1,1800.0,300.0,6.2,25.2,0.2
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,97,2025-07-11 10:09:38.228341,16,0.0001678978379825,262,1,45,30.0005,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,46,100,0,1,100,3709.0,690148.000000001,12,379.405709167014,7,227.659741009096,31,-306.348313092581,1218.3333333333333,10.533333333333331,NONE,16.052333333333333,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9766666666666668,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,9400.0,2400.0,3.9,22.9,0.5,132.29999999999998,4100.0,1700.0,2.5,21.5,0.6,1600.0,400.0,4.1,21.1,0.1,3300.0,1000.0,3.4,23.8,0.4,8900.0,1800.0,4.9,22.3,0.2,2200.0,400.0,5.1,25.2,0.1
body_p2,01,Al6061_body01_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,3,98,2025-07-11 10:09:39.228635,16,0.0001678978379825,262,1,45,30.0005,AUTO,1,ARMED,100,62.61667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,47,100,0,0,100,3709.0,690148.000000001,11,314.866127599316,8,226.459351309938,31,-306.348404632873,1240.0,10.72,NONE,16.052666666666667,59.97,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8666666666666667,6A897FFD-29C0-423B-A692-D9CCB0612FB0,0.3506666666666667,2400.0,500.0,4.7,22.9,0.1,132.29999999999998,300.0,100.0,4.7,21.5,0.1,300.0,100.0,4.1,21.1,0.1,2600.0,500.0,4.7,23.8,0.1,700.0,200.0,3.4,22.3,0.0,400.0,100.0,3.6,25.2,0.1
