program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,130,2025-07-11 10:10:11.234146,16,0.0001678978379825,355,1,45,30.0005,AUTO,21,ARMED,100,0.0,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,19,100,0,0,100,469.722107009537,690148.000000001,65,73.9581886730809,42,457.69553173424,37,-244.750002025558,-904.3333333333334,23.786666666666665,NONE,16.064000000000004,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.2833333333333334,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,4800.0,1100.0,4.4,23.0,0.0,133.8,1700.0,400.0,4.2,21.4,0.3,5700.0,1200.0,4.8,21.1,0.1,35200.0,8800.0,4.0,23.8,0.3,3400.0,600.0,5.2,22.3,0.0,1600.0,600.0,2.7,25.0,0.1
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,131,2025-07-11 10:10:12.234451,16,0.0001678978379825,356,1,45,30.0005,AUTO,21,ARMED,100,23.9,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,20,100,0,22,100,3999.65739792551,690148.000000001,7,383.575647462287,6,204.571515706411,31,-292.598662082103,2688.6666666666665,23.486666666666665,NONE,16.064000000000004,59.94,EDB34637-67D8-465A-AFBA-010AD86D34F6,1.0,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,11400.0,2600.0,4.4,23.0,0.2,131.73333333333332,400.0,100.0,5.2,21.4,0.1,1200.0,200.0,6.7,21.1,0.0,1800.0,400.0,4.1,23.8,0.2,17700.0,2900.0,6.2,22.3,0.1,47900.0,8800.0,5.4,25.0,0.9
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,132,2025-07-11 10:10:13.234602,16,0.0001678978379825,357,1,45,30.0005,AUTO,21,ARMED,100,0.0,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,21,100,0,13,100,6413.15914808539,690148.000000001,6,383.575590237739,5,204.571595810206,30,-335.427996871491,5925.333333333333,49.17666666666667,NONE,16.064333333333334,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.89,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,9900.0,2800.0,3.5,23.0,0.2,129.83333333333334,200.0,100.0,4.2,21.4,0.1,300.0,100.0,4.1,21.1,0.1,1900.0,600.0,3.4,23.8,0.2,1200.0,300.0,4.1,22.3,0.1,500.0,100.0,3.9,25.0,0.1
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,133,2025-07-11 10:10:14.234888,16,0.0001678978379825,357,1,45,30.0005,AUTO,21,ARMED,100,0.0,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,22,100,0,10,100,7877.31814503857,690148.000000001,6,383.575613127558,5,204.571595810206,30,-335.42801975701,5822.0,48.24333333333333,NONE,16.066333333333336,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9266666666666667,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,11800.0,3100.0,3.8,23.0,0.2,129.86666666666667,300.0,100.0,3.3,21.4,0.1,400.0,100.0,2.9,21.1,0.1,1600.0,600.0,2.9,23.8,0.2,900.0,200.0,3.6,22.3,0.1,800.0,200.0,4.1,25.0,0.2
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,134,2025-07-11 10:10:15.235038,16,0.0001678978379825,357,1,45,30.0005,AUTO,21,ARMED,100,0.0,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,23,100,0,7,100,10000.0,690148.000000001,6,383.575601682649,5,204.571607253605,30,-335.543648841822,5721.0,47.41,NONE,16.06833333333333,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.89,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,7100.0,2000.0,3.5,23.0,0.3,129.93333333333334,800.0,200.0,5.1,21.4,0.5,400.0,100.0,3.8,21.1,0.1,2900.0,700.0,4.4,23.8,0.2,3200.0,300.0,9.8,22.3,0.1,4400.0,900.0,5.2,25.0,0.8
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,135,2025-07-11 10:10:16.235189,16,0.0001678978379825,360,1,45,30.0005,AUTO,21,ARMED,100,25.4,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,24,100,0,1,100,10000.0,690148.000000001,9,364.938625989409,5,207.571323826975,29,-338.539534921976,4867.0,40.43,NONE,16.069333333333333,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9233333333333332,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,7200.0,1700.0,4.3,23.0,0.5,130.4,900.0,300.0,2.8,21.4,0.1,700.0,200.0,3.3,21.1,0.2,5600.0,2100.0,2.6,23.8,0.6,1600.0,400.0,3.7,22.3,0.2,2900.0,1800.0,1.7,25.0,1.7
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,136,2025-07-11 10:10:17.235502,16,0.0001678978379825,360,1,45,30.0005,AUTO,21,ARMED,100,25.4,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,25,100,0,0,100,10000.0,690148.000000001,8,341.381366093464,5,207.617074582386,30,-338.539397608862,3332.333333333333,30.120000000000005,NONE,16.07,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.3466666666666667,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,4000.0,1000.0,3.8,23.0,0.4,131.20000000000002,1000.0,400.0,2.8,21.4,0.1,600.0,200.0,3.0,21.1,0.1,4400.0,1300.0,3.4,23.8,0.4,1600.0,400.0,4.1,22.3,0.2,3000.0,1800.0,1.7,25.0,1.7
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,137,2025-07-11 10:10:18.235653,16,0.0001678978379825,362,1,45,30.0005,AUTO,21,ARMED,100,25.4,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,26,100,0,0,100,10000.0,690148.000000001,5,330.088177966788,8,226.445101068073,31,-338.539489150938,1033.0,8.823333333333332,NONE,16.070333333333334,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.88,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,3900.0,1000.0,3.9,23.0,0.4,132.4,900.0,400.0,2.2,21.4,0.1,700.0,200.0,3.1,21.1,0.1,3500.0,1200.0,2.9,23.8,0.4,1400.0,400.0,3.7,22.3,0.2,2700.0,1600.0,1.7,25.0,1.5
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,138,2025-07-11 10:10:19.235816,16,0.0001678978379825,362,1,45,30.0005,AUTO,21,ARMED,100,25.4,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,27,100,0,1,100,10000.0,690148.000000001,5,330.08821230064,9,252.638656517033,31,-338.539500593697,1036.3333333333333,8.860000000000001,NONE,16.070999999999998,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8766666666666666,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,3600.0,1000.0,3.6,23.0,0.4,132.4,1000.0,400.0,2.2,21.4,0.2,600.0,200.0,3.3,21.1,0.1,3600.0,1200.0,3.0,23.8,0.4,1600.0,400.0,4.1,22.3,0.2,2800.0,1600.0,1.7,25.0,1.5
body_p2,01,Al6061_body01_p2,89918109-7350-48A4-A5F9-AE742269E029,7,139,2025-07-11 10:10:20.235966,16,0.0001678978379825,362,1,45,30.0005,AUTO,21,ARMED,100,25.4,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,28,100,0,0,100,10000.0,690148.000000001,4,330.088200856022,8,277.517971093998,31,-338.539615021293,1040.6666666666667,8.9,NONE,16.070999999999998,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8833333333333334,89918109-7350-48A4-A5F9-AE742269E029,0.3526666666666666,3900.0,1000.0,3.8,23.0,0.4,132.36666666666665,900.0,400.0,2.2,21.4,0.1,700.0,200.0,3.1,21.1,0.1,3400.0,1200.0,2.9,23.8,0.4,1400.0,400.0,3.7,22.3,0.2,2800.0,1600.0,1.7,25.0,1.6
