program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,0,2025-07-11 10:08:00.870664,16,0.0001678978379825,107,1,45,30.0005,AUTO,6,ARMED,100,58.06667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,8,100,0,1,100,9792.0,690148.000000001,0,412.155593352753,10,237.363753839921,33,-300.519047855865,1394.6666666666667,12.286666666666669,NONE,16.019000000000002,60.0,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8033333333333333,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,15400.0,3800.0,4.1,22.7,1.0,132.20000000000002,2800.0,1100.0,2.5,21.8,1.0,5700.0,2400.0,2.4,21.1,0.7,11200.0,4000.0,2.8,23.7,1.3,11500.0,3700.0,3.1,22.3,0.3,5100.0,1800.0,2.8,25.7,1.4
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,1,2025-07-11 10:08:01.870964,16,0.0001678978379825,109,1,45,30.0,AUTO,6,ARMED,100,51.36667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,9,100,0,0,100,9792.0,690148.000000001,29,350.251575534553,10,236.888163044201,33,-300.518979200057,1511.0,12.596666666666666,NONE,16.02033333333333,59.99,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9333333333333332,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,13400.0,4100.0,3.3,22.7,1.1,132.16666666666666,4700.0,1500.0,3.2,21.8,0.9,8300.0,3200.0,2.5,21.1,1.0,12100.0,4000.0,3.0,23.7,1.2,16600.0,3500.0,4.7,22.3,0.3,5100.0,1700.0,3.1,25.7,1.3
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,2,2025-07-11 10:08:02.871115,16,0.0001678978379825,110,1,45,30.0005,AUTO,6,ARMED,100,32.23333,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,10,100,0,2,100,9792.0,690148.000000001,4,376.257279715335,32,268.891911779492,34,-300.518956314787,1342.6666666666667,12.633333333333333,NONE,16.020666666666667,60.0,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.7999999999999999,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,12700.0,3000.0,4.2,22.7,0.7,132.20000000000002,3700.0,1200.0,3.0,21.8,1.0,6800.0,2100.0,3.2,21.1,0.7,9500.0,3300.0,2.9,23.7,1.1,14400.0,2600.0,5.6,22.3,0.3,4800.0,1600.0,2.9,25.7,1.4
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,3,2025-07-11 10:08:03.871280,16,0.0001678978379825,114,1,45,30.001,AUTO,6,ARMED,100,68.46667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,11,100,0,0,100,9792.0,690148.000000001,9,390.510677575836,1,243.237903267179,32,-300.518910544249,1370.3333333333333,12.873333333333331,NONE,16.020666666666667,59.99,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8033333333333333,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,15400.0,4500.0,3.4,22.7,1.2,132.13333333333333,2900.0,1200.0,2.4,21.8,0.5,5300.0,2300.0,2.2,21.1,0.7,11400.0,4800.0,2.4,23.7,1.6,11000.0,3800.0,2.9,22.3,0.4,5300.0,1900.0,2.8,25.7,1.5
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,4,2025-07-11 10:08:04.871461,16,0.0001678978379825,115,1,45,30.001,AUTO,6,ARMED,100,57.3,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,12,100,0,0,100,9792.0,690148.000000001,2,355.348843479025,2,262.530750084018,33,-300.518899101614,1413.3333333333333,13.123333333333331,NONE,16.021,59.99,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8099999999999999,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,13400.0,3500.0,3.8,22.7,0.8,132.1,3700.0,1300.0,2.8,21.7,1.0,8400.0,2200.0,3.9,21.1,0.6,8300.0,2700.0,3.1,23.7,0.9,16400.0,4000.0,4.1,22.3,0.4,6100.0,1800.0,3.3,25.7,1.4
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,5,2025-07-11 10:08:05.871670,16,0.0001678978379825,119,1,45,30.0005,AUTO,6,ARMED,100,60.86667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,13,100,0,0,100,9792.0,690148.000000001,6,399.40949614524,4,249.684276838226,33,-300.51903641323,1365.3333333333333,11.606666666666667,NONE,16.021666666666665,59.99,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9166666666666666,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,11400.0,2100.0,5.5,22.7,0.5,132.13333333333333,3600.0,900.0,4.0,21.7,0.9,4700.0,700.0,7.1,21.1,0.2,6700.0,2100.0,3.2,23.7,0.4,12200.0,2000.0,6.0,22.3,0.3,6200.0,1600.0,3.8,25.7,1.5
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,6,2025-07-11 10:08:06.871870,16,0.0001678978379825,122,1,45,30.0005,AUTO,6,ARMED,100,65.91667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,14,100,0,1,100,9792.0,690148.000000001,42,381.954304350344,5,256.57337593872,33,-300.518979200057,1173.6666666666667,9.81,NONE,16.021666666666665,59.99,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8999999999999999,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,6100.0,1200.0,5.0,22.7,0.5,132.29999999999998,500.0,100.0,3.4,21.7,1.6,700.0,100.0,5.3,21.1,0.1,3900.0,800.0,4.8,23.7,0.3,4600.0,800.0,5.5,22.3,0.2,7200.0,1700.0,4.3,25.7,1.5
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,7,2025-07-11 10:08:07.872019,16,0.0001678978379825,128,1,45,30.0005,AUTO,6,ARMED,100,0.3166667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,15,100,0,0,100,9792.0,690148.000000001,5,377.230552896839,6,309.531626103238,20,-300.459889434452,1136.3333333333333,9.06,NONE,16.021666666666665,59.99,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9766666666666668,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,3600.0,1000.0,3.4,22.7,0.4,132.29999999999998,4900.0,1200.0,4.3,21.7,1.3,6500.0,1400.0,4.7,21.1,0.4,8400.0,1700.0,4.8,23.7,0.5,6100.0,400.0,14.1,22.3,0.2,8700.0,1900.0,4.5,25.7,1.5
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,8,2025-07-11 10:08:08.872229,16,-0.0003322253479433,132,1,45,30.0005,AUTO,6,ARMED,100,71.25,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,16,100,0,1,100,9792.0,690148.000000001,12,427.912703677855,6,300.641950074346,33,-303.41710106174,1136.3333333333333,9.06,NONE,16.021666666666665,59.99,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9766666666666668,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,12100.0,4100.0,2.9,22.7,0.9,132.29999999999998,3700.0,1500.0,2.4,21.7,0.7,6900.0,1900.0,3.6,21.1,0.6,9300.0,4000.0,2.3,23.7,1.3,11400.0,3400.0,3.3,22.3,0.3,5000.0,1800.0,2.9,25.7,1.5
body_p2,01,Al6061_body01_p2,AF6B782E-23DD-4144-8665-11C813BE7660,1,9,2025-07-11 10:08:09.872381,16,0.0001678978379825,133,1,45,30.0,AUTO,6,ARMED,100,71.25,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,17,100,0,0,100,9792.0,690148.000000001,1,443.905564895603,10,247.508081022402,32,-303.417043848567,1338.0,12.033333333333331,NONE,16.022666666666666,59.99,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9533333333333333,AF6B782E-23DD-4144-8665-11C813BE7660,0.349,8100.0,2500.0,3.3,22.7,0.8,132.23333333333335,2600.0,1500.0,1.8,21.7,0.5,4600.0,2500.0,1.8,21.1,0.8,12100.0,5000.0,2.4,23.7,1.5,7100.0,2700.0,2.7,22.3,0.3,3200.0,1400.0,2.3,25.6,1.3
