program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,150,2025-07-11 10:10:31.238346,16,0.0001678978379825,29,1,45,30.0005,AUTO,21,ARMED,100,0.0,5,2589769.7,1,O9735.FNC,39,100,0,0,100,10000.0,690148.000000001,5,377.201141417653,4,204.873402466994,35,-335.428150467005,1028.0,8.78,NONE,16.074,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.88,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3500.0,1000.0,3.6,23.1,0.4,132.4,700.0,100.0,5.3,21.4,0.6,3000.0,400.0,7.1,21.1,0.1,23700.0,4200.0,5.6,23.8,0.4,2100.0,400.0,5.4,22.3,0.2,3000.0,1800.0,1.7,25.0,1.7
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,151,2025-07-11 10:10:32.238496,16,0.0001678978379825,399,1,45,30.0005,AUTO,21,ARMED,100,24.53333,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,40,100,0,0,100,10000.0,690148.000000001,2,370.84480372052,22,253.774735017826,32,-338.018706280285,1060.0,10.163333333333334,NONE,16.074666666666666,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.7533333333333334,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3600.0,1000.0,3.7,23.1,0.4,132.33333333333334,500.0,100.0,4.0,21.4,1.2,500.0,100.0,3.7,21.1,0.1,3900.0,1200.0,3.2,23.8,0.4,2400.0,300.0,7.4,22.3,0.2,7000.0,1800.0,3.9,25.0,1.6
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,152,2025-07-11 10:10:33.238648,16,0.0001678978379825,425,1,45,30.0005,AUTO,21,ARMED,100,23.56667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,41,100,0,0,100,10000.0,690148.000000001,11,374.48274253835,7,253.2390771395,31,-338.018855036159,1028.3333333333333,8.786666666666667,NONE,16.074666666666666,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8966666666666666,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3500.0,1000.0,3.6,23.1,0.5,132.36666666666665,500.0,100.0,4.5,21.4,0.8,500.0,100.0,3.7,21.1,0.1,4000.0,1100.0,3.5,23.8,0.4,2300.0,300.0,7.6,22.3,0.2,6000.0,1800.0,3.3,25.0,1.6
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,153,2025-07-11 10:10:34.238800,16,0.0001678978379825,430,1,45,30.0005,AUTO,21,ARMED,100,53.4,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,42,100,0,0,100,10000.0,690148.000000001,5,377.950923634237,4,255.132693362725,40,-335.478603383502,1037.3333333333333,8.876666666666667,NONE,16.074666666666666,59.96,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3500.0,1000.0,3.6,23.1,0.5,132.4,600.0,100.0,5.3,21.4,1.0,600.0,100.0,4.1,21.1,0.2,4200.0,1200.0,3.6,23.8,0.4,2300.0,300.0,7.6,22.3,0.3,6900.0,1900.0,3.7,25.0,1.7
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,154,2025-07-11 10:10:35.238950,16,0.0001678978379825,438,1,45,30.0005,AUTO,21,ARMED,100,25.25,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,43,100,0,0,100,10000.0,690148.000000001,20,384.07388184348,12,251.998338824607,32,-338.018866478918,1033.0,8.826666666666666,NONE,16.075333333333333,59.96,NONE,0.8666666666666667,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3500.0,1000.0,3.6,23.1,0.4,132.4,500.0,100.0,4.3,21.4,0.7,600.0,200.0,3.6,21.1,0.1,3800.0,1200.0,3.2,23.8,0.4,900.0,300.0,3.6,22.3,0.2,3000.0,1700.0,1.7,25.0,1.7
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,155,2025-07-11 10:10:36.239100,16,0.0001678978379825,461,1,45,30.0005,AUTO,21,ARMED,100,16.41667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,44,100,0,1,100,10000.0,690148.000000001,0,387.288582129921,9,253.873922988716,30,-338.018980906513,1023.3333333333334,8.753333333333334,NONE,16.075666666666667,59.96,NONE,0.88,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3600.0,1000.0,3.7,23.1,0.5,132.36666666666665,500.0,100.0,4.5,21.4,0.7,600.0,200.0,3.3,21.1,0.1,5200.0,1200.0,4.4,23.8,0.4,1700.0,300.0,6.1,22.3,0.2,8600.0,1700.0,5.0,25.0,1.7
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,156,2025-07-11 10:10:37.239256,16,0.0001678978379825,484,1,45,30.0005,AUTO,21,ARMED,100,20.83333,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,45,100,0,0,100,10000.0,690148.000000001,2,390.505298481687,9,251.84154423651,30,-338.018889364437,1029.6666666666667,8.803333333333333,NONE,16.075666666666667,59.96,NONE,0.8933333333333334,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3300.0,1000.0,3.4,23.1,0.5,132.26666666666665,400.0,100.0,3.5,21.4,0.7,600.0,200.0,3.4,21.1,0.1,3600.0,1200.0,3.2,23.8,0.4,1500.0,300.0,5.6,22.3,0.2,3900.0,1700.0,2.2,25.0,1.7
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,157,2025-07-11 10:10:38.239409,16,0.0001678978379825,503,1,45,30.0005,AUTO,21,ARMED,100,15.13333,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,46,100,0,1,100,10000.0,690148.000000001,7,391.738484427633,6,252.060472175917,38,-338.019026677551,1028.0,8.783333333333333,NONE,16.075666666666667,59.97,NONE,0.8933333333333334,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3400.0,1000.0,3.5,23.1,0.5,132.36666666666665,400.0,100.0,3.3,21.4,0.9,600.0,200.0,3.6,21.1,0.1,4000.0,1200.0,3.4,23.8,0.4,1400.0,300.0,5.2,22.3,0.2,4000.0,1700.0,2.3,25.0,1.7
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,158,2025-07-11 10:10:39.239560,16,0.0001678978379825,511,1,45,30.0005,AUTO,21,ARMED,100,23.63333,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,47,100,0,0,100,10000.0,690148.000000001,23,395.006044870801,6,253.482731878218,29,-338.018946578235,1025.0,8.756666666666666,NONE,16.076333333333334,59.96,NONE,0.89,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3400.0,1000.0,3.5,23.1,0.5,132.36666666666665,500.0,100.0,3.7,21.4,1.2,500.0,200.0,3.5,21.1,0.1,4300.0,1100.0,3.9,23.8,0.4,1300.0,300.0,4.7,22.3,0.2,5800.0,1800.0,3.3,25.0,1.7
body_p2,01,Al6061_body01_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,8,159,2025-07-11 10:10:40.239726,16,0.0001678978379825,532,1,45,30.0005,AUTO,21,ARMED,100,23.25,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,48,100,0,0,100,10000.0,690148.000000001,6,398.357917573682,6,252.046052757636,15,-338.019141105146,1034.3333333333333,8.846666666666666,NONE,16.077333333333332,59.96,NONE,0.89,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.3526666666666666,3400.0,1000.0,3.5,23.1,0.4,132.33333333333334,400.0,100.0,3.4,21.4,0.8,500.0,200.0,3.4,21.1,0.2,3700.0,1200.0,3.1,23.8,0.4,1500.0,300.0,5.4,22.3,0.3,4100.0,1700.0,2.3,25.0,1.7
