program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,110,2025-07-11 10:09:51.230961,16,-0.0003322253479433,277,1,45,30.0005,AUTO,21,ARMED,100,410.0667,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,59,100,0,0,100,62.214848610535,690148.000000001,79,47.3211602872706,47,481.07454003623,35,-99.8670097108772,663.3333333333334,6.576666666666667,NONE,16.054,59.96,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.98,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,4500.0,1000.0,4.4,22.9,0.1,132.66666666666666,1900.0,500.0,4.3,21.5,0.3,5700.0,1000.0,5.5,21.1,0.1,30100.0,8300.0,3.6,23.8,0.3,2800.0,500.0,5.7,22.3,0.1,800.0,200.0,4.7,25.2,0.1
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,111,2025-07-11 10:09:52.231113,16,0.0001678978379825,278,1,45,30.0005,AUTO,21,ARMED,100,7.283333,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,0,100,0,21,100,3861.63089879203,690148.000000001,7,418.073892998747,6,217.837871394923,34,-107.1120091315,2540.6666666666665,23.71666666666667,NONE,16.055333333333333,59.96,EDB34637-67D8-465A-AFBA-010AD86D34F6,1.0,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,11600.0,2600.0,4.4,22.9,0.2,131.66666666666666,400.0,100.0,4.3,21.5,0.1,1400.0,300.0,4.7,21.1,0.1,3200.0,600.0,5.3,23.8,0.2,26800.0,4100.0,6.5,22.3,0.1,50800.0,11000.0,4.6,25.2,1.1
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,112,2025-07-11 10:09:53.231263,16,0.0001678978379825,279,1,45,30.0005,AUTO,21,ARMED,100,0.0,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,1,100,0,14,100,6229.66774922559,690148.000000001,6,418.073801431166,5,217.837997272315,29,-335.42801975701,5706.333333333333,47.35,NONE,16.05666666666667,59.96,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.87,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,9700.0,2800.0,3.4,23.0,0.2,129.93333333333337,200.0,100.0,4.0,21.5,0.1,400.0,100.0,4.9,21.1,0.1,1900.0,600.0,3.0,23.8,0.2,1000.0,300.0,3.8,22.3,0.1,500.0,100.0,3.7,25.2,0.1
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,113,2025-07-11 10:09:54.231413,16,0.0001678978379825,279,1,45,30.0005,AUTO,21,ARMED,100,0.0,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,2,100,0,10,100,7892.48134673301,690148.000000001,6,418.073801431166,5,217.838008715715,30,-335.42803119977,5794.666666666667,48.03,NONE,16.058000000000003,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9266666666666667,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,11100.0,3100.0,3.6,23.0,0.2,129.86666666666667,300.0,100.0,3.3,21.5,0.1,400.0,100.0,3.5,21.1,0.1,1400.0,500.0,2.7,23.8,0.2,900.0,200.0,4.1,22.3,0.1,800.0,200.0,4.0,25.2,0.2
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,114,2025-07-11 10:09:55.231564,16,0.0001678978379825,279,1,45,30.0005,AUTO,21,ARMED,100,0.0,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,3,100,0,7,100,10000.0,690148.000000001,6,418.073801431166,5,217.837997272315,30,-335.427962543213,5183.333333333333,42.98333333333333,NONE,16.05933333333333,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8833333333333333,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,7700.0,2000.0,3.8,23.0,0.4,130.20000000000002,600.0,100.0,4.4,21.5,0.4,400.0,100.0,3.7,21.1,0.1,2600.0,700.0,4.0,23.8,0.3,3000.0,300.0,8.7,22.3,0.1,4500.0,800.0,5.4,25.2,0.8
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,115,2025-07-11 10:09:56.231711,16,0.0001678978379825,285,1,45,30.0005,AUTO,21,ARMED,100,25.33333,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,4,100,0,0,100,10000.0,690148.000000001,3,422.297771823135,8,216.565043486843,31,-338.476039049475,4869.333333333333,40.48333333333333,NONE,16.061666666666667,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9233333333333332,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,7800.0,1600.0,4.7,23.0,0.5,130.4,700.0,300.0,2.9,21.5,0.1,600.0,200.0,3.2,21.1,0.1,4800.0,1600.0,3.0,23.8,0.6,1500.0,400.0,4.0,22.3,0.2,2800.0,1600.0,1.8,25.2,1.5
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,116,2025-07-11 10:09:57.231860,16,0.0001678978379825,291,1,45,30.0005,AUTO,21,ARMED,100,195.6833,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,5,100,0,0,100,10000.0,690148.000000001,49,397.446630355491,5,215.629086937302,40,-335.427818615207,2890.6666666666665,27.206666666666667,NONE,16.062,59.96,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.3433333333333333,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,3500.0,1000.0,3.5,23.0,0.5,131.43333333333334,1000.0,200.0,5.8,21.5,0.1,1500.0,300.0,5.5,21.1,0.1,3100.0,1100.0,2.8,23.8,0.4,1800.0,300.0,5.5,22.3,0.2,3700.0,1800.0,2.1,25.2,1.7
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,117,2025-07-11 10:09:58.232016,16,0.0001678978379825,297,1,45,30.0005,AUTO,21,ARMED,100,25.33333,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,6,100,0,0,100,10000.0,690148.000000001,9,343.196458451319,4,210.723651576804,31,-338.475913179121,1236.6666666666667,10.996666666666664,NONE,16.062,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8133333333333334,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,3700.0,1000.0,3.6,23.0,0.4,132.36666666666665,800.0,300.0,2.8,21.5,0.1,600.0,200.0,3.5,21.1,0.1,3200.0,1200.0,2.7,23.8,0.4,1200.0,300.0,4.0,22.3,0.2,2600.0,1600.0,1.6,25.2,1.5
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,118,2025-07-11 10:09:59.232167,16,0.0001678978379825,302,1,45,30.0005,AUTO,21,ARMED,100,25.15,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,7,100,0,0,100,10000.0,690148.000000001,5,339.440583819251,6,214.911782752009,40,-335.653866905629,1020.6666666666666,8.72,NONE,16.062666666666665,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8766666666666666,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,3400.0,1000.0,3.5,23.0,0.5,132.4,600.0,100.0,5.3,21.5,0.6,2600.0,300.0,7.5,21.1,0.1,21800.0,3500.0,6.2,23.8,0.4,2100.0,400.0,5.9,22.3,0.2,6600.0,1900.0,3.5,25.2,1.6
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,119,2025-07-11 10:10:00.232273,16,0.0001678978379825,310,1,45,30.0005,AUTO,21,ARMED,100,25.35,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,8,100,0,0,100,10000.0,690148.000000001,2,361.412575566224,8,248.25920961081,32,-338.476039049475,1130.0,9.943333333333332,NONE,16.063,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8766666666666666,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,3700.0,1000.0,3.7,23.0,0.4,132.36666666666665,1000.0,400.0,2.7,21.5,0.2,600.0,200.0,3.3,21.1,0.1,3900.0,1200.0,3.3,23.8,0.4,1200.0,300.0,4.0,22.3,0.2,2800.0,1700.0,1.7,25.2,1.6
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,120,2025-07-11 10:10:01.232425,16,0.0001678978379825,313,1,45,30.0005,AUTO,21,ARMED,100,14.45,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,9,100,0,1,100,10000.0,690148.000000001,4,358.411454197326,9,253.955747768287,32,-337.745105392753,1026.3333333333333,8.753333333333332,NONE,16.063,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.8866666666666667,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,3700.0,1000.0,3.7,23.0,0.4,132.46666666666667,500.0,100.0,4.8,21.5,0.4,500.0,100.0,3.6,21.1,0.1,9300.0,1300.0,7.1,23.8,0.4,1800.0,300.0,5.6,22.3,0.2,6500.0,1800.0,3.5,25.2,1.6
body_p2,01,Al6061_body01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,5,121,2025-07-11 10:10:02.232576,16,0.0001678978379825,321,1,45,30.0005,AUTO,21,ARMED,100,25.2,5,2589769.7,1,000454_D_A_PROGRAM_2.NC,10,100,0,0,100,10000.0,690148.000000001,5,338.175159795604,17,290.644972647297,30,-338.476107706032,1134.0,8.92,NONE,16.063,59.95000000000001,EDB34637-67D8-465A-AFBA-010AD86D34F6,0.9566666666666668,DE045126-2C5E-4E72-8491-E202079EAC7C,0.3506666666666667,3800.0,1000.0,3.8,23.0,0.4,132.36666666666665,1000.0,200.0,4.5,21.5,0.1,600.0,200.0,3.3,21.1,0.1,4200.0,1100.0,3.7,23.8,0.4,1100.0,300.0,3.9,22.3,0.2,2800.0,1700.0,1.7,25.2,1.6
