program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p3,01,Al6061_body01_p3,27D6DC59-16BC-4185-AA97-4E474C98E615,2,78,2025-07-11 10:41:18.482111,33,-90.0003437746771,14,1,33,120.0,AUTO,4,ARMED,100,0.0,5,2591571.227,1,000454_D_A_PROGRAM_3.NC,12,100,0,0,100,0.0,690868.816999999,5,1.38970652015701,5,496.953187993164,34,-99.8670012020172,586.6666666666666,5.346666666666667,NONE,16.535333333333334,60.02,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.7533333333333334,27D6DC59-16BC-4185-AA97-4E474C98E615,0.379,2800.0,400.0,7.5,27.5,0.0,132.29999999999998,1200.0,300.0,4.9,21.4,0.4,5200.0,800.0,6.8,21.7,0.1,38200.0,7000.0,5.5,24.4,0.2,2500.0,300.0,9.1,22.7,0.0,600.0,100.0,5.5,25.9,0.1
body_p3,01,Al6061_body01_p3,27D6DC59-16BC-4185-AA97-4E474C98E615,2,79,2025-07-11 10:41:19.482263,33,-90.0003437746771,14,1,33,120.0,AUTO,4,ARMED,100,633.2,5,2591571.227,1,000454_D_A_PROGRAM_3.NC,13,100,0,35,100,3099.79991132152,690868.816999999,21,368.351876234527,20,112.009600985087,34,-99.8669897586013,1524.3333333333333,17.24,NONE,16.53633333333333,60.02,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,1.0,27D6DC59-16BC-4185-AA97-4E474C98E615,0.379,9900.0,2400.0,4.2,27.5,0.1,131.83333333333334,1100.0,100.0,7.9,21.4,0.3,7400.0,1000.0,7.3,21.7,0.1,29100.0,4600.0,6.3,24.4,0.2,4400.0,800.0,5.5,22.7,0.0,12300.0,1300.0,9.5,25.9,0.2
body_p3,01,Al6061_body01_p3,27D6DC59-16BC-4185-AA97-4E474C98E615,2,80,2025-07-11 10:41:20.482411,33,-90.0003437746771,15,1,33,120.0,AUTO,4,ARMED,100,354.8667,5,2591571.227,1,000454_D_A_PROGRAM_3.NC,14,100,0,14,100,6420.0,690868.816999999,5,379.846783102736,6,99.9538902850187,12,-438.052504005526,6103.0,50.93333333333334,NONE,16.537333333333333,60.02,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.9466666666666668,27D6DC59-16BC-4185-AA97-4E474C98E615,0.379,12800.0,3000.0,4.2,27.5,0.3,129.29999999999998,200.0,100.0,4.0,21.4,0.1,1600.0,200.0,6.9,21.7,0.1,2600.0,800.0,3.2,24.4,0.3,29500.0,4700.0,6.2,22.7,0.1,53300.0,10400.0,5.1,25.9,1.0
body_p3,01,Al6061_body01_p3,27D6DC59-16BC-4185-AA97-4E474C98E615,2,81,2025-07-11 10:41:21.482559,33,-90.0003437746771,18,1,33,120.0,AUTO,4,ARMED,100,19.55,5,2591571.227,1,000454_D_A_PROGRAM_3.NC,15,100,0,1,100,6420.0,690868.816999999,5,379.846817434748,6,99.9539017288695,24,-463.990155560002,1475.6666666666667,18.866666666666664,NONE,16.538999999999998,60.03,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.26,27D6DC59-16BC-4185-AA97-4E474C98E615,0.379,3300.0,800.0,3.9,27.5,0.3,131.76666666666668,300.0,100.0,4.0,21.4,0.1,400.0,100.0,3.9,21.7,0.1,2700.0,900.0,3.1,24.4,0.3,5800.0,700.0,7.9,22.7,0.1,21200.0,3300.0,6.4,25.9,0.3
body_p3,02,Al6061_body02_p3_error,27D6DC59-16BC-4185-AA97-4E474C98E615,2,106,2025-07-11 10:48:46.962827,33,-90.0003437746771,14,1,12,-59.9995,AUTO,4,ARMED,100,0.0,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,10,100,0,0,100,0.0,691229.158999999,5,1.93402569328173,4,496.381967595215,30,-99.8670012020172,642.6666666666666,5.476666666666667,NONE,16.605666666666668,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.8300000000000001,27D6DC59-16BC-4185-AA97-4E474C98E615,0.379,14600.0,600.0,25.5,26.7,0.2,132.29999999999998,600.0,100.0,8.8,21.5,0.1,1300.0,100.0,9.4,21.8,0.1,2100.0,300.0,7.3,24.3,0.1,13400.0,600.0,22.0,22.9,0.1,3600.0,300.0,10.6,26.8,0.3
body_p3,02,Al6061_body02_p3_error,27D6DC59-16BC-4185-AA97-4E474C98E615,2,107,2025-07-11 10:48:47.963086,33,-90.0003437746771,14,1,12,-59.9995,AUTO,4,ARMED,100,607.5,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,11,100,0,25,100,3221.35379258951,691229.158999999,81,377.057410138716,63,102.880286249492,30,-99.8670012020172,560.6666666666666,5.1000000000000005,NONE,16.605666666666668,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.6433333333333333,27D6DC59-16BC-4185-AA97-4E474C98E615,0.379,4600.0,700.0,6.3,26.7,0.1,132.33333333333334,2000.0,400.0,5.5,21.5,0.4,7400.0,1200.0,6.0,21.8,0.1,39100.0,8200.0,4.7,24.3,0.3,4000.0,600.0,7.1,22.9,0.0,1100.0,300.0,4.2,26.8,0.1
body_p3,02,Al6061_body02_p3_error,27D6DC59-16BC-4185-AA97-4E474C98E615,2,108,2025-07-11 10:48:48.963333,33,-90.0003437746771,15,1,12,-59.9995,AUTO,4,ARMED,100,271.1833,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,12,100,0,14,100,6420.0,691229.158999999,6,379.846783102736,6,99.9538902850187,23,-442.089830660007,3017.333333333333,26.71666666666667,NONE,16.606333333333335,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,1.0,27D6DC59-16BC-4185-AA97-4E474C98E615,0.379,9400.0,2300.0,4.0,26.7,0.2,131.06666666666666,400.0,100.0,4.9,21.5,0.3,13000.0,800.0,16.3,21.8,0.1,21700.0,2600.0,8.4,24.3,0.1,13600.0,1300.0,10.7,22.9,0.1,37000.0,4600.0,8.1,26.8,0.4
body_p3,02,Al6061_body02_p3_error,27D6DC59-16BC-4185-AA97-4E474C98E615,2,109,2025-07-11 10:48:49.963605,33,-90.0003437746771,18,1,12,-59.9995,AUTO,4,ARMED,100,14.55,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,13,100,0,1,100,6420.0,691229.158999999,5,379.846817434748,6,99.9538902850187,23,-463.205477229646,5609.333333333333,47.66,NONE,16.608,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,1.0,27D6DC59-16BC-4185-AA97-4E474C98E615,0.379,13300.0,2800.0,4.7,26.7,0.3,129.6,200.0,100.0,3.6,21.5,0.1,1400.0,200.0,8.7,21.8,0.1,2300.0,700.0,3.4,24.3,0.2,24300.0,3300.0,7.4,23.0,0.1,50300.0,8200.0,6.1,26.8,0.7
body_p3,04,Al6061_body04_p3,27D6DC59-16BC-4185-AA97-4E474C98E615,2,118,2025-07-11 10:57:58.112629,7,-90.0003437746771,14,1,30,120.0,AUTO,4,ARMED,100,456.6167,5,2592652.352,4,000454_D_A_PROGRAM_3.NC,10,100,0,0,100,469.756097560978,691229.158999999,65,39.6410491346552,52,456.824509575259,35,-99.8669897586013,554.3333333333334,4.89,NONE,16.687,59.98,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.7566666666666667,27D6DC59-16BC-4185-AA97-4E474C98E615,0.3793333333333333,2700.0,400.0,7.4,26.1,0.2,132.33333333333334,200.0,0.0,4.2,21.7,0.0,300.0,100.0,5.4,21.9,0.1,700.0,200.0,4.1,24.3,0.1,1300.0,200.0,8.1,23.3,0.1,900.0,100.0,6.0,27.3,0.2
body_p3,04,Al6061_body04_p3,27D6DC59-16BC-4185-AA97-4E474C98E615,2,119,2025-07-11 10:57:59.112880,7,-90.0003437746771,14,1,30,120.0,AUTO,4,ARMED,100,103.15,5,2592652.352,4,000454_D_A_PROGRAM_3.NC,11,100,0,22,100,3722.00708349341,691229.158999999,7,379.840179912464,3,99.9622328522155,35,-99.8670012020172,498.6666666666667,4.62,NONE,16.687,59.98,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.6999999999999998,27D6DC59-16BC-4185-AA97-4E474C98E615,0.3793333333333333,5100.0,1000.0,5.1,26.1,0.1,132.4,1400.0,400.0,4.0,21.7,0.4,8900.0,1600.0,5.8,21.9,0.1,37400.0,9100.0,4.1,24.3,0.3,3800.0,700.0,5.3,23.3,0.0,800.0,200.0,4.7,27.3,0.1
