program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p4,04,Al6061_body04_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,9,160,2025-07-11 11:00:40.154178,7,-90.0008437173813,32,1,11,-60.0,AUTO,85,ARMED,100,30.33333,5,2593012.446,4,000454_D_A_PROGRAM_4.NC,23,100,0,1,100,0.0,691229.158999999,5,15.9868379119465,5,481.63806103416,35,-99.8670012020172,639.6666666666666,5.46,NONE,16.71466666666667,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.7966666666666667,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,6600.0,500.0,12.6,26.0,0.3,132.36666666666665,600.0,100.0,8.0,21.7,0.1,900.0,100.0,7.8,22.0,0.2,2300.0,300.0,7.8,24.3,0.1,7500.0,500.0,15.8,23.4,0.2,1900.0,200.0,7.6,27.4,0.5
body_p4,04,Al6061_body04_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,9,161,2025-07-11 11:00:41.154442,7,-90.0003437746771,32,1,11,-60.0,AUTO,85,ARMED,100,466.1833,5,2593012.446,4,000454_D_A_PROGRAM_4.NC,24,100,0,0,100,3036.0,691229.158999999,78,379.843178241496,60,99.9587424777367,35,-99.8670012020172,571.3333333333334,5.226666666666667,NONE,16.71466666666667,59.96,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.7266666666666666,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,4500.0,800.0,5.4,26.0,0.1,132.43333333333334,1500.0,400.0,3.9,21.7,0.4,8600.0,1400.0,6.4,22.0,0.1,37000.0,8600.0,4.3,24.3,0.3,3800.0,600.0,6.1,23.4,0.1,800.0,200.0,5.3,27.4,0.1
body_p4,04,Al6061_body04_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,9,162,2025-07-11 11:00:42.154691,7,-90.0003437746771,34,1,11,-60.0,AUTO,85,ARMED,100,36.5,5,2593012.446,4,000454_D_A_PROGRAM_4.NC,25,100,0,1,100,3036.0,691229.158999999,6,379.846817434748,6,99.9539017288695,25,-400.17561220973,3322.6666666666665,29.71333333333333,NONE,16.715,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.99,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,8800.0,1900.0,4.6,26.0,0.1,130.96666666666667,500.0,100.0,4.9,21.7,0.3,7500.0,600.0,12.2,22.0,0.1,20500.0,2000.0,10.5,24.3,0.1,16200.0,1600.0,9.9,23.4,0.0,47400.0,5500.0,8.6,27.4,0.5
body_p4,04,Al6061_body04_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,9,163,2025-07-11 11:00:43.154947,7,-90.0003437746771,37,1,11,-60.0,AUTO,85,ARMED,100,10.56667,5,2593012.446,4,000454_D_A_PROGRAM_4.NC,26,100,0,2,100,3036.0,691229.158999999,6,379.84679454674,6,99.9539017288695,26,-409.09322360436,559.6666666666666,5.419999999999999,NONE,16.715666666666667,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.4666666666666667,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,7100.0,700.0,10.2,26.0,0.3,132.46666666666667,200.0,0.0,4.6,21.7,0.1,400.0,100.0,5.6,22.0,0.1,1400.0,500.0,2.6,24.3,0.1,13300.0,1000.0,12.8,23.4,0.1,11500.0,2000.0,5.8,27.4,0.2
body_p4,04,Al6061_body04_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,9,164,2025-07-11 11:00:44.155189,7,-90.0003437746771,39,1,11,-60.0,AUTO,85,ARMED,100,13.75,5,2593012.446,4,000454_D_A_PROGRAM_4.NC,27,100,0,0,100,3036.0,691229.158999999,5,379.84679454674,6,99.9539017288695,26,-418.438196711041,997.6666666666666,8.8,NONE,16.716,59.96,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,1.0,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,5800.0,1100.0,5.4,25.9,0.4,132.20000000000002,500.0,100.0,4.8,21.7,0.1,500.0,100.0,5.7,22.0,0.1,2100.0,600.0,3.6,24.3,0.2,7300.0,800.0,9.6,23.4,0.1,7100.0,700.0,9.8,27.4,0.2
body_p4,04,Al6061_body04_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,9,165,2025-07-11 11:00:45.155475,7,-90.0003437746771,41,1,11,-60.0,AUTO,85,ARMED,100,8.016667,5,2593012.446,4,000454_D_A_PROGRAM_4.NC,28,100,0,1,100,3036.0,691229.158999999,5,379.846805990744,6,99.9539017288695,26,-425.657088260839,946.3333333333334,8.446666666666665,NONE,16.716,59.96,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.6233333333333333,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,5100.0,1100.0,4.5,25.9,0.3,132.23333333333335,200.0,100.0,4.3,21.7,0.1,500.0,100.0,6.2,22.0,0.1,1700.0,500.0,3.3,24.3,0.1,5300.0,700.0,7.2,23.4,0.1,4800.0,600.0,7.7,27.4,0.2
body_p4,05,Al6061_body05_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,8,144,2025-07-11 11:06:24.245894,7,-90.0008437173813,32,1,26,-60.0,AUTO,85,ARMED,100,0.0,5,2593012.446,5,000454_D_A_PROGRAM_4.NC,23,100,0,0,100,0.0,691229.158999999,4,1.38816152439628,5,496.955316594238,35,-99.8670012020172,544.3333333333334,5.436666666666667,NONE,16.766333333333332,60.02,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.7366666666666667,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,4500.0,500.0,9.4,25.7,0.3,132.26666666666668,700.0,100.0,8.6,21.7,0.2,1000.0,100.0,8.2,22.0,0.2,2500.0,300.0,8.5,24.4,0.1,6100.0,500.0,12.4,23.5,0.2,1800.0,200.0,7.5,27.7,0.5
body_p4,05,Al6061_body05_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,8,145,2025-07-11 11:06:25.246132,7,-90.0003437746771,32,1,26,-60.0,AUTO,85,ARMED,100,456.65,5,2593012.446,5,000454_D_A_PROGRAM_4.NC,24,100,0,21,100,2972.89606190765,691229.158999999,18,362.114127339677,15,118.553768372141,35,-99.8670012020172,532.6666666666666,5.163333333333333,NONE,16.766333333333332,60.02,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.6833333333333332,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,2900.0,400.0,6.5,25.7,0.1,132.33333333333334,1700.0,300.0,5.0,21.7,0.4,7800.0,1000.0,8.2,22.0,0.1,36000.0,7400.0,4.9,24.4,0.2,2200.0,300.0,8.0,23.5,0.0,700.0,100.0,5.6,27.7,0.1
body_p4,05,Al6061_body05_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,8,146,2025-07-11 11:06:26.246377,7,-90.0003437746771,33,1,26,-60.0,AUTO,85,ARMED,100,246.25,5,2593012.446,5,000454_D_A_PROGRAM_4.NC,25,100,0,1,100,3036.0,691229.158999999,6,379.846783102736,6,99.9538902850187,47,-387.899966356407,3771.3333333333335,27.286666666666665,NONE,16.767333333333333,60.02,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,1.0,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,9000.0,2100.0,4.3,25.7,0.1,130.63333333333333,1300.0,200.0,7.7,21.7,0.3,11400.0,1500.0,7.7,22.0,0.1,30900.0,4700.0,6.6,24.4,0.2,3700.0,800.0,4.7,23.5,0.0,12800.0,1200.0,10.7,27.7,0.1
body_p4,05,Al6061_body05_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,8,147,2025-07-11 11:06:27.246615,7,-90.0008437173813,36,1,26,-60.0,AUTO,85,ARMED,100,22.13333,5,2593012.446,5,000454_D_A_PROGRAM_4.NC,26,100,0,3,100,3036.0,691229.158999999,5,379.84679454674,6,99.9539017288695,24,-410.273258384063,531.6666666666666,5.03,NONE,16.767666666666667,60.02,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.4933333333333333,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,10700.0,1400.0,7.6,25.7,0.2,132.4,200.0,0.0,4.2,21.7,0.1,1200.0,100.0,9.7,22.0,0.1,1500.0,500.0,2.8,24.4,0.1,38700.0,3700.0,10.6,23.5,0.1,57600.0,7900.0,7.3,27.7,0.7
body_p4,05,Al6061_body05_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,8,148,2025-07-11 11:06:28.246809,7,-90.0003437746771,39,1,26,-60.0,AUTO,85,ARMED,100,13.75,5,2593012.446,5,000454_D_A_PROGRAM_4.NC,27,100,0,0,100,3036.0,691229.158999999,5,379.846805990744,6,99.9538902850187,26,-415.60746149776,1025.6666666666667,9.033333333333331,NONE,16.767666666666667,60.02,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,1.0,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,6100.0,1200.0,5.3,25.7,0.3,132.03333333333333,500.0,100.0,5.5,21.7,0.1,700.0,100.0,6.1,22.0,0.1,2100.0,600.0,3.6,24.4,0.2,8800.0,1100.0,8.3,23.6,0.1,6200.0,1000.0,6.2,27.7,0.2
body_p4,05,Al6061_body05_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,8,149,2025-07-11 11:06:29.247053,7,-90.0003437746771,41,1,26,-60.0,AUTO,85,ARMED,100,13.75,5,2593012.446,5,000454_D_A_PROGRAM_4.NC,28,100,0,1,100,3036.0,691229.158999999,5,379.846805990744,6,99.9539017288695,26,-424.955364604864,1068.0,9.683333333333335,NONE,16.767666666666667,60.02,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,1.0,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.3793333333333333,8400.0,1300.0,6.6,25.7,0.4,132.03333333333333,300.0,100.0,4.5,21.7,0.1,700.0,100.0,6.1,22.0,0.1,2800.0,600.0,4.6,24.4,0.1,13100.0,2100.0,6.2,23.6,0.1,8900.0,1700.0,5.2,27.7,0.2
body_p4,06,Al6061_body06_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,4,43,2025-07-22 11:15:43.264401,106,-89.9995631963877,32,1,59,120.0005,AUTO,85,ARMED,100,426.3833,5,2645248.287,6,000454_D_A_PROGRAM_4.NC,18,100,0,19,100,372.241803278693,709602.711000001,76,65.4937474448704,56,429.704016151023,35,-99.8670012020172,750.6666666666666,5.213333333333334,UNAVAILABLE,26.94033333333333,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.9933333333333332,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.7256666666666667,,,,,,133.73333333333332,,,,,,,,,,,,,,,,,,,,,,,,,
body_p4,06,Al6061_body06_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,4,44,2025-07-22 11:15:44.264648,106,-89.9995631963877,32,1,59,120.0005,AUTO,85,ARMED,100,90.0,5,2645248.287,6,000454_D_A_PROGRAM_4.NC,19,100,0,0,100,3036.0,709602.711000001,81,379.846886098772,64,99.9537758465112,22,-117.114755106321,2169.6666666666665,17.016666666666666,UNAVAILABLE,26.94033333333333,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,1.0,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.7256666666666667,,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,
body_p4,06,Al6061_body06_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,4,45,2025-07-22 11:15:45.264940,106,-89.9995631963877,34,1,59,120.0005,AUTO,85,ARMED,100,43.1,5,2645248.287,6,000454_D_A_PROGRAM_4.NC,20,100,0,2,100,3036.0,709602.711000001,5,379.846805990744,6,99.9539017288695,27,-402.588791848033,1036.6666666666667,33.156666666666666,UNAVAILABLE,26.941333333333333,59.98,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.2366666666666666,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.7256666666666667,,,,,,133.63333333333335,,,,,,,,,,,,,,,,,,,,,,,,,
body_p4,06,Al6061_body06_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,4,46,2025-07-22 11:15:46.265195,106,-90.0005630588778,37,1,59,120.0005,AUTO,85,ARMED,100,13.75,5,2645248.287,6,000454_D_A_PROGRAM_4.NC,21,100,0,0,100,3036.0,709602.711000001,5,379.84679454674,6,99.9538902850187,26,-411.941206906068,777.0,7.243333333333333,UNAVAILABLE,26.941333333333333,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.81,465E99DA-B681-4FD4-894C-3B1EF84592C2,0.7256666666666667,,,,,,133.73333333333332,,,,,,,,,,,,,,,,,,,,,,,,,
