program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p4,02,Al6061_body02_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,4,96,2025-07-11 10:46:36.927403,33,-90.0003437746771,4,1,8,120.001,AUTO,85,ARMED,100,0.0,5,2591931.641,2,O9735.FNC,23,100,0,0,100,0.0,691229.158999999,5,1.38679621920055,4,496.953400028809,31,-99.8670012020172,541.3333333333334,5.463333333333334,NONE,16.587,59.98,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.73,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,19100.0,1000.0,18.3,26.9,0.2,132.23333333333335,400.0,100.0,5.2,21.5,0.1,2000.0,200.0,11.4,21.7,0.1,2100.0,300.0,7.6,24.3,0.1,13300.0,1100.0,12.6,22.9,0.1,6300.0,500.0,13.7,26.6,0.3
body_p4,02,Al6061_body02_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,4,97,2025-07-11 10:46:37.927650,33,-90.0003437746771,32,1,8,120.001,AUTO,85,ARMED,100,633.3333,5,2591931.641,2,000454_D_A_PROGRAM_3.NC,24,100,0,26,100,1863.28278688522,691229.158999999,22,207.001156303357,18,281.266348912511,31,-99.8669897586013,488.0,5.08,NONE,16.587333333333333,59.98,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.66,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,3000.0,200.0,16.5,26.9,0.1,132.20000000000002,900.0,100.0,9.3,21.5,0.3,200.0,100.0,4.3,21.7,0.0,8000.0,700.0,11.1,24.3,0.0,1700.0,200.0,11.2,22.9,0.1,700.0,200.0,2.9,26.6,0.1
body_p4,02,Al6061_body02_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,4,98,2025-07-11 10:46:38.927938,33,-90.0003437746771,33,1,8,120.001,AUTO,85,ARMED,100,533.3333,5,2591931.641,2,000454_D_A_PROGRAM_3.NC,25,100,0,1,100,3036.0,691229.158999999,6,379.846817434748,6,99.9538673973172,11,-277.423825945925,3166.333333333333,28.176666666666662,NONE,16.587999999999997,59.98,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,1.0,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,6500.0,1700.0,3.8,26.9,0.1,130.9,1500.0,300.0,4.6,21.5,0.3,9200.0,1800.0,5.1,21.7,0.1,34100.0,8600.0,4.0,24.3,0.3,4200.0,1100.0,3.9,22.9,0.0,1200.0,300.0,4.2,26.6,0.1
body_p4,02,Al6061_body02_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,4,99,2025-07-11 10:46:39.928221,33,-90.0003437746771,35,1,8,120.001,AUTO,85,ARMED,100,13.75,5,2591931.641,2,000454_D_A_PROGRAM_3.NC,26,100,0,0,100,3036.0,691229.158999999,5,379.846805990744,6,99.9539131727202,25,-406.846691561342,654.3333333333334,6.676666666666667,NONE,16.58866666666667,59.98,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.5866666666666668,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,10400.0,2300.0,4.6,26.9,0.2,132.23333333333335,400.0,100.0,4.8,21.5,0.1,1600.0,400.0,4.6,21.7,0.1,4000.0,800.0,4.9,24.3,0.2,35400.0,7000.0,5.0,22.9,0.2,59500.0,15100.0,3.9,26.6,1.4
body_p4,02,Al6061_body02_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,4,100,2025-07-11 10:46:40.928529,33,-90.0003437746771,38,1,8,120.001,AUTO,85,ARMED,100,18.78333,5,2591931.641,2,000454_D_A_PROGRAM_3.NC,27,100,0,0,100,3036.0,691229.158999999,5,379.846805990744,6,99.9539017288695,62,-415.838339002293,853.6666666666666,7.446666666666666,NONE,16.589000000000002,59.98,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,1.0,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,5000.0,1000.0,4.8,26.9,0.2,132.0,800.0,200.0,4.9,21.5,0.1,700.0,100.0,5.1,21.7,0.1,3200.0,700.0,4.4,24.3,0.2,6100.0,900.0,7.0,22.9,0.1,5700.0,900.0,6.4,26.6,0.1
body_p4,02,Al6061_body02_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,4,101,2025-07-11 10:46:41.928776,33,-90.0003437746771,41,1,8,120.001,AUTO,85,ARMED,100,5.616667,5,2591931.641,2,000454_D_A_PROGRAM_3.NC,28,100,0,2,100,3036.0,691229.158999999,5,379.84679454674,6,99.9539017288695,32,-419.995285920168,1151.3333333333333,10.323333333333334,NONE,16.589000000000002,59.98,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.6366666666666666,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,4900.0,1200.0,4.1,26.9,0.3,131.86666666666667,300.0,100.0,4.6,21.5,0.1,300.0,100.0,4.3,21.7,0.1,1800.0,500.0,3.4,24.3,0.1,7800.0,600.0,13.3,22.9,0.1,7800.0,800.0,9.8,26.6,0.2
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,1,0,2025-07-11 10:49:00.966389,33,-90.0003437746771,32,1,12,-59.9995,AUTO,85,ARMED,100,633.3333,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,24,100,0,16,100,894.831967213112,691229.158999999,19,109.988073128497,22,383.033785518267,35,-99.8669897586013,581.3333333333334,5.076666666666667,NONE,16.609333333333336,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.8333333333333334,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,3600.0,300.0,11.2,26.7,0.1,132.23333333333335,200.0,0.0,3.8,21.5,0.0,300.0,100.0,5.0,21.8,0.1,500.0,200.0,2.7,24.3,0.0,1700.0,200.0,8.8,23.0,0.1,900.0,100.0,6.4,26.8,0.2
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,1,1,2025-07-11 10:49:01.966691,33,-90.0003437746771,33,1,12,-59.9995,AUTO,85,ARMED,100,533.3333,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,25,100,0,3,100,3036.0,691229.158999999,8,379.846863210764,8,99.953787290362,12,-134.808111691854,485.3333333333333,4.866666666666666,NONE,16.61,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.6966666666666667,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,5000.0,1300.0,3.8,26.7,0.1,132.33333333333334,1700.0,400.0,4.0,21.5,0.2,9200.0,2000.0,4.6,21.8,0.1,34000.0,9400.0,3.6,24.3,0.3,4200.0,1000.0,4.0,23.0,0.1,1100.0,200.0,5.4,26.8,0.1
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,1,2,2025-07-11 10:49:02.966933,33,-90.0003437746771,35,1,12,-59.9995,AUTO,85,ARMED,100,13.75,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,26,100,0,3,100,3036.0,691229.158999999,6,379.84679454674,6,99.9539017288695,27,-405.058085022967,3458.6666666666665,30.84,NONE,16.610333333333333,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.9366666666666666,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,9200.0,2000.0,4.5,26.7,0.2,130.73333333333335,400.0,100.0,4.2,21.5,0.1,2000.0,500.0,4.4,21.8,0.1,3900.0,800.0,4.6,24.3,0.2,39000.0,7200.0,5.4,23.0,0.1,50100.0,15400.0,3.3,26.8,1.5
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,1,3,2025-07-11 10:49:03.967195,33,-90.0008437173813,37,1,12,-59.9995,AUTO,85,ARMED,100,13.75,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,27,100,0,0,100,3036.0,691229.158999999,6,379.84679454674,6,99.9539017288695,19,-412.278271407845,566.3333333333334,5.53,NONE,16.611,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.7799999999999999,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,2700.0,500.0,5.6,26.7,0.2,132.33333333333334,800.0,100.0,5.5,21.5,0.1,500.0,100.0,4.9,21.8,0.1,3700.0,700.0,5.3,24.3,0.2,3500.0,400.0,8.3,23.0,0.1,2300.0,400.0,5.6,26.8,0.2
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,1,4,2025-07-11 10:49:04.967507,33,-90.0003437746771,40,1,12,-59.9995,AUTO,85,ARMED,100,24.38333,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,28,100,0,1,100,3036.0,691229.158999999,5,379.84679454674,6,99.9539017288695,26,-418.945780809299,962.6666666666666,8.496666666666666,NONE,16.611666666666665,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.8300000000000001,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,4800.0,1400.0,3.4,26.7,0.2,132.03333333333333,400.0,100.0,4.5,21.5,0.1,300.0,100.0,4.0,21.8,0.1,2200.0,600.0,3.7,24.3,0.2,5500.0,600.0,9.3,23.0,0.1,6000.0,800.0,7.6,26.8,0.2
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,1,5,2025-07-11 10:49:05.967757,33,-90.0003437746771,43,1,12,-59.9995,AUTO,85,ARMED,100,67.5,5,2592292.102,3,000454_D_A_PROGRAM_3.NC,29,100,0,2,100,3036.0,691229.158999999,6,379.846805990744,6,99.9539017288695,44,-403.312024300428,1011.3333333333334,9.079999999999998,NONE,16.612,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.7833333333333333,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,3800.0,700.0,5.1,26.7,0.4,132.0,200.0,100.0,3.8,21.5,0.1,300.0,100.0,4.1,21.8,0.1,1300.0,500.0,2.8,24.3,0.1,3900.0,500.0,8.5,23.0,0.1,5900.0,900.0,6.9,26.8,0.2
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,7,143,2025-07-11 10:51:24.004543,33,-90.0003437746771,29,1,41,120.0005,AUTO,85,ARMED,100,0.0,5,2592292.102,4,O9735.FNC,23,100,0,0,100,0.0,691229.158999999,5,1.38817296880932,4,494.424867680664,31,-99.8670012020172,676.0,6.223333333333334,NONE,16.632666666666665,59.99,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.73,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,8400.0,600.0,14.5,26.5,0.2,132.13333333333333,500.0,100.0,6.6,21.5,0.2,1100.0,100.0,9.0,21.8,0.1,1700.0,200.0,6.7,24.3,0.1,8400.0,400.0,19.7,23.0,0.1,2500.0,300.0,9.5,26.9,0.3
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,7,144,2025-07-11 10:51:25.004830,33,-90.0003437746771,32,1,41,120.0005,AUTO,85,ARMED,100,615.6,5,2592292.102,4,000454_D_A_PROGRAM_3.NC,24,100,0,29,100,2857.6455598084,691229.158999999,17,365.76534824032,12,114.723245292921,31,-99.8669783151853,707.3333333333334,5.536666666666666,NONE,16.632666666666665,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.9366666666666666,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,300.0,100.0,4.0,26.5,0.1,132.20000000000002,1600.0,300.0,4.9,21.5,0.4,5400.0,700.0,7.5,21.8,0.1,35300.0,6700.0,5.2,24.3,0.2,1600.0,200.0,8.6,23.0,0.0,600.0,200.0,2.8,26.9,0.1
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,7,145,2025-07-11 10:51:26.005091,33,-90.0003437746771,33,1,41,120.0005,AUTO,85,ARMED,100,379.5167,5,2592292.102,4,000454_D_A_PROGRAM_3.NC,25,100,0,1,100,3036.0,691229.158999999,6,379.846805990744,6,99.9539017288695,27,-389.182245931731,1285.3333333333333,4.976666666666667,NONE,16.632666666666665,59.99,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,1.0,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,8300.0,2100.0,3.9,26.5,0.1,132.33333333333334,1500.0,200.0,6.3,21.5,0.3,9400.0,1500.0,6.3,21.8,0.1,39100.0,5600.0,6.9,24.3,0.2,4200.0,800.0,5.0,23.0,0.0,4500.0,500.0,9.5,26.9,0.1
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,7,146,2025-07-11 10:51:27.005337,33,-90.0003437746771,36,1,41,120.0005,AUTO,85,ARMED,100,14.86667,5,2592292.102,4,000454_D_A_PROGRAM_3.NC,26,100,0,5,100,3036.0,691229.158999999,5,379.84679454674,6,99.9539017288695,23,-408.975716401561,1240.6666666666667,17.036666666666665,NONE,16.633,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.26,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,9900.0,1600.0,6.2,26.5,0.3,131.9,200.0,0.0,4.1,21.5,0.1,1800.0,200.0,9.6,21.8,0.1,2300.0,500.0,4.3,24.3,0.1,27700.0,4200.0,6.6,23.0,0.1,54300.0,9500.0,5.7,26.9,0.8
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,7,147,2025-07-11 10:51:28.005629,33,-90.0008437173813,39,1,41,120.0,AUTO,85,ARMED,100,13.75,5,2592292.102,4,000454_D_A_PROGRAM_3.NC,27,100,0,1,100,3036.0,691229.158999999,5,379.846771658732,6,99.953878841168,25,-415.949699281535,787.3333333333334,7.066666666666667,NONE,16.63366666666667,60.0,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.93,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,7100.0,1200.0,5.8,26.5,0.3,132.03333333333333,500.0,100.0,4.9,21.5,0.1,600.0,100.0,5.5,21.8,0.1,2000.0,600.0,3.6,24.3,0.2,9600.0,900.0,10.1,23.0,0.1,6000.0,900.0,6.3,26.9,0.1
body_p4,03,Al6061_body03_p4_error,94AE40F8-AC19-405A-A87C-42158C42D530,7,148,2025-07-11 10:51:29.005889,33,-90.0003437746771,41,1,41,120.0005,AUTO,85,ARMED,100,13.75,5,2592292.102,4,000454_D_A_PROGRAM_3.NC,28,100,0,1,100,3036.0,691229.158999999,5,379.846805990744,6,99.9538902850187,26,-424.587100176708,1021.3333333333334,9.296666666666669,NONE,16.634333333333334,59.99,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.98,94AE40F8-AC19-405A-A87C-42158C42D530,0.379,5000.0,1000.0,4.9,26.5,0.4,131.9333333333333,400.0,100.0,6.0,21.5,0.1,400.0,100.0,5.1,21.8,0.1,1600.0,500.0,2.9,24.3,0.1,5700.0,800.0,7.0,23.1,0.1,3600.0,500.0,6.7,26.9,0.2
body_p4,04,Al6061_body04_p4,94AE40F8-AC19-405A-A87C-42158C42D530,3,11,2025-07-11 10:58:11.115724,7,-90.0008437173813,30,1,30,120.0,AUTO,85,ARMED,100,0.0,5,2592652.352,4,000454_D_A_PROGRAM_3.NC,23,100,0,0,100,0.0,691229.158999999,5,1.38679621920055,4,496.953400028809,31,-99.8670126454332,706.0,6.743333333333332,NONE,16.691333333333333,59.98,5E4A09CE-E1D5-4FCC-B912-38239DF9FDA0,0.7200000000000001,94AE40F8-AC19-405A-A87C-42158C42D530,0.3793333333333333,14300.0,800.0,16.8,26.1,0.2,132.16666666666666,400.0,100.0,5.3,21.7,0.1,1900.0,200.0,10.9,21.9,0.1,2800.0,400.0,7.5,24.3,0.1,12600.0,900.0,14.3,23.3,0.1,4100.0,400.0,11.0,27.3,0.2
