program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
body_p4,01,Al6061_body01_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,2,55,2025-07-11 10:42:59.870250,33,-90.0003437746771,14,1,15,-60.0,AUTO,4,ARMED,100,633.3333,5,2591931.641,1,000454_D_A_PROGRAM_4.NC,10,100,0,28,100,1647.77580358586,691229.158999999,24,190.395370662225,19,298.686546141962,31,-99.8670012020172,610.0,5.273333333333333,NONE,16.553333333333335,59.99,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.7666666666666667,CF0FEA34-836B-413B-B472-DF89D832DA95,0.379,3500.0,300.0,11.2,27.4,0.1,132.13333333333333,200.0,0.0,4.0,21.4,0.0,200.0,100.0,3.9,21.7,0.0,500.0,200.0,2.6,24.4,0.0,1700.0,200.0,8.7,22.7,0.1,1300.0,200.0,6.0,26.1,0.1
body_p4,04,Al6061_body04_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,7,147,2025-07-11 11:00:27.150737,7,-90.0008437173813,14,1,11,-60.0,AUTO,4,ARMED,100,455.1333,5,2592652.352,4,000454_D_A_PROGRAM_4.NC,10,100,0,29,100,684.412857373611,691229.158999999,75,71.0150572761045,59,423.913256959103,31,-99.8669897586013,630.0,6.263333333333333,NONE,16.711,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.7933333333333333,CF0FEA34-836B-413B-B472-DF89D832DA95,0.3793333333333333,3700.0,200.0,17.7,26.0,0.1,132.4,200.0,0.0,3.9,21.7,0.0,200.0,0.0,4.2,22.0,0.0,400.0,200.0,2.2,24.3,0.0,1000.0,100.0,8.9,23.4,0.1,700.0,200.0,2.9,27.4,0.1
body_p4,04,Al6061_body04_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,7,148,2025-07-11 11:00:28.151033,7,-90.0003437746771,14,1,11,-60.0,AUTO,4,ARMED,100,79.31667,5,2592652.352,4,000454_D_A_PROGRAM_4.NC,11,100,0,20,100,4188.46406780858,691229.158999999,7,379.846874654768,7,99.9537644026605,31,-120.912312234019,409.6666666666667,3.76,NONE,16.711,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.7566666666666667,CF0FEA34-836B-413B-B472-DF89D832DA95,0.3793333333333333,4700.0,1200.0,3.8,26.0,0.1,132.56666666666666,1600.0,400.0,4.0,21.7,0.4,8400.0,1800.0,4.8,22.0,0.1,37200.0,9600.0,3.9,24.3,0.4,3800.0,900.0,4.2,23.4,0.0,900.0,300.0,3.4,27.4,0.1
body_p4,04,Al6061_body04_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,7,149,2025-07-11 11:00:29.151290,7,-90.0003437746771,17,1,11,-60.0,AUTO,4,ARMED,100,60.43333,5,2592652.352,4,000454_D_A_PROGRAM_4.NC,12,100,0,1,100,6420.0,691229.158999999,5,379.846771658732,6,99.9539017288695,27,-451.534681557531,3195.0,28.340000000000003,NONE,16.712,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,1.0,CF0FEA34-836B-413B-B472-DF89D832DA95,0.3793333333333333,11400.0,2200.0,5.1,26.0,0.2,131.1,500.0,100.0,4.2,21.7,0.1,1900.0,400.0,5.1,22.0,0.1,3300.0,800.0,4.2,24.3,0.2,34900.0,5200.0,6.7,23.4,0.1,49900.0,12000.0,4.2,27.4,1.2
body_p4,05,Al6061_body05_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,6,131,2025-07-11 11:06:11.242490,7,-90.0008437173813,14,1,26,-60.0,AUTO,4,ARMED,100,596.4167,5,2593012.446,5,000454_D_A_PROGRAM_4.NC,10,100,0,15,100,1220.53626231627,691229.158999999,21,147.570554894429,18,343.610611867201,31,-99.8670012020172,603.3333333333334,5.873333333333334,NONE,16.762666666666664,60.02,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.6966666666666667,CF0FEA34-836B-413B-B472-DF89D832DA95,0.3793333333333333,2900.0,200.0,15.1,25.8,0.1,132.23333333333335,200.0,0.0,4.2,21.7,0.0,200.0,100.0,4.5,22.0,0.0,400.0,200.0,2.3,24.4,0.0,1700.0,100.0,13.1,23.5,0.1,700.0,200.0,3.0,27.7,0.1
body_p4,05,Al6061_body05_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,6,132,2025-07-11 11:06:12.242813,7,-90.0003437746771,15,1,26,-60.0,AUTO,4,ARMED,100,326.8,5,2593012.446,5,000454_D_A_PROGRAM_4.NC,11,100,0,18,100,4573.13637300993,691229.158999999,6,379.846874654768,6,99.9537758465112,22,-127.969850774226,1099.6666666666667,13.5,NONE,16.763,60.02,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,1.0,CF0FEA34-836B-413B-B472-DF89D832DA95,0.3793333333333333,4900.0,1300.0,3.9,25.8,0.1,132.1,1400.0,400.0,3.5,21.7,0.3,8200.0,2000.0,4.1,22.0,0.1,35900.0,9400.0,3.8,24.4,0.3,3900.0,1000.0,3.8,23.5,0.1,1000.0,300.0,3.9,27.7,0.1
body_p4,05,Al6061_body05_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,6,133,2025-07-11 11:06:13.243123,7,-90.0003437746771,17,1,26,-60.0,AUTO,4,ARMED,100,19.55,5,2593012.446,5,000454_D_A_PROGRAM_4.NC,12,100,0,1,100,6420.0,691229.158999999,5,379.846805990744,6,99.9538902850187,27,-455.078749439924,5945.333333333333,49.68666666666667,NONE,16.764,60.02,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.9533333333333333,CF0FEA34-836B-413B-B472-DF89D832DA95,0.3793333333333333,13200.0,2400.0,5.4,25.8,0.2,129.36666666666667,500.0,100.0,3.7,21.7,0.1,1900.0,400.0,4.8,22.0,0.1,3400.0,800.0,4.1,24.4,0.2,32300.0,6000.0,5.4,23.5,0.1,49500.0,13400.0,3.7,27.7,1.3
body_p4,06,Al6061_body06_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,2,32,2025-07-22 11:15:32.261496,106,-89.9995631963877,29,1,59,120.0005,AUTO,4,ARMED,100,0.0,5,2645248.287,6,O9735.FNC,7,100,0,0,100,0.0,709602.711000001,5,1.38831030176583,5,496.955637028809,31,-99.8670012020172,596.3333333333334,5.1466666666666665,UNAVAILABLE,26.937,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.97,CF0FEA34-836B-413B-B472-DF89D832DA95,0.7256666666666667,,,,,,133.9,,,,,,,,,,,,,,,,,,,,,,,,,
body_p4,06,Al6061_body06_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,2,33,2025-07-22 11:15:33.261783,106,-89.9995631963877,14,1,59,120.0005,AUTO,4,ARMED,100,633.1333,5,2645248.287,6,000454_D_A_PROGRAM_4.NC,8,100,0,34,100,2502.11781579097,709602.711000001,24,319.310080616142,19,163.457242768684,31,-99.8670012020172,486.6666666666667,4.223333333333334,UNAVAILABLE,26.937,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,0.7633333333333333,CF0FEA34-836B-413B-B472-DF89D832DA95,0.7256666666666667,,,,,,133.93333333333337,,,,,,,,,,,,,,,,,,,,,,,,,
body_p4,06,Al6061_body06_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,2,34,2025-07-22 11:15:34.262075,106,-89.9995631963877,15,1,59,120.0005,AUTO,4,ARMED,100,533.3,5,2645248.287,6,000454_D_A_PROGRAM_4.NC,9,100,0,14,100,5820.5538592105,709602.711000001,5,379.84679454674,6,99.953878841168,13,-432.75027833936,5221.333333333333,44.870000000000005,UNAVAILABLE,26.938,59.97,D2C78EB3-CB26-4FDA-ABA9-353C0E6A1AB1,1.0,CF0FEA34-836B-413B-B472-DF89D832DA95,0.7256666666666667,,,,,,131.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,
