program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,241,2025-07-23 13:35:02.006348,20,0.0001678978379824,538,1,45,30.001,AUTO,4,ARMED,100,0.0,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,13,100,0,0,100,0.0,716086.683,5,12.4205948207998,4,505.350101841553,34,-99.8670097108772,696.6666666666666,6.046666666666667,UNAVAILABLE,30.57333333333333,60.0,68C62535-3304-4629-A02B-85CAE2490743,0.8266666666666667,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,4700.0,400.0,11.7,31.1,0.2,133.63333333333333,700.0,100.0,6.5,22.6,0.2,800.0,100.0,7.6,22.6,0.1,2200.0,400.0,5.9,25.2,0.2,5300.0,500.0,9.9,23.6,0.1,2900.0,300.0,8.7,27.7,0.3
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,242,2025-07-23 13:35:03.006639,20,0.0006680210239083,540,1,45,30.001,AUTO,4,ARMED,100,628.1667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,14,100,0,37,100,2142.42528376081,716086.683,18,335.979335834155,11,261.790015151212,35,-99.866986823947,678.3333333333334,6.239999999999999,UNAVAILABLE,30.57333333333333,60.0,68C62535-3304-4629-A02B-85CAE2490743,0.7033333333333333,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,2600.0,200.0,14.0,31.1,0.1,133.7,1000.0,100.0,7.4,22.6,0.2,500.0,100.0,5.8,22.6,0.0,16700.0,2200.0,7.6,25.2,0.1,1800.0,200.0,9.6,23.6,0.1,700.0,100.0,5.3,27.7,0.2
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,243,2025-07-23 13:35:04.006976,20,0.0006680210239083,541,1,45,30.001,AUTO,4,ARMED,100,367.75,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,15,100,0,16,100,5227.10640076301,716086.683,5,386.021596307584,6,224.121281739754,80,-320.352318578419,1129.6666666666667,13.306666666666668,UNAVAILABLE,30.573666666666668,59.99,68C62535-3304-4629-A02B-85CAE2490743,1.0,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,5900.0,1700.0,3.4,31.1,0.1,133.53333333333333,1300.0,200.0,7.9,22.6,0.3,6000.0,1000.0,5.8,22.6,0.1,29200.0,5300.0,5.5,25.2,0.2,5100.0,800.0,6.7,23.6,0.0,900.0,200.0,4.9,27.7,0.1
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,244,2025-07-23 13:35:05.007282,20,0.0006680210239083,543,1,45,30.001,AUTO,4,ARMED,100,13.88333,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,16,100,0,0,100,6420.0,716086.683,5,386.021584862674,6,224.121293183153,32,-335.396979284302,6054.333333333333,49.70333333333334,UNAVAILABLE,30.576000000000004,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.9466666666666668,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,11200.0,2600.0,4.3,31.1,0.2,130.86666666666665,300.0,100.0,4.9,22.6,0.1,1300.0,200.0,7.9,22.6,0.1,2000.0,400.0,5.1,25.2,0.2,26000.0,3800.0,6.8,23.6,0.1,55500.0,9000.0,6.1,27.7,0.8
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,245,2025-07-23 13:35:06.007581,20,0.0006680210239083,548,1,45,30.001,AUTO,4,ARMED,100,19.55,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,17,100,0,0,100,6420.0,716086.683,5,350.019608962965,5,224.121293183153,27,-332.257860449575,2052.6666666666665,24.50333333333333,UNAVAILABLE,30.576666666666664,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.3266666666666666,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,2400.0,600.0,3.9,31.1,0.2,133.0,500.0,100.0,5.4,22.6,0.1,600.0,100.0,4.7,22.6,0.1,1000.0,300.0,3.4,25.2,0.1,4100.0,500.0,8.6,23.6,0.1,16100.0,2500.0,6.5,27.7,0.2
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,246,2025-07-23 13:35:07.007888,20,0.0006680210239083,553,1,45,30.001,AUTO,4,ARMED,100,19.55,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,18,100,0,0,100,6420.0,716086.683,5,325.338387181314,5,238.370745123932,26,-329.544348427453,867.6666666666666,7.44,UNAVAILABLE,30.57733333333333,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.8833333333333334,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,2500.0,600.0,4.4,31.1,0.2,133.6,400.0,100.0,4.1,22.6,0.2,400.0,100.0,3.7,22.6,0.1,4400.0,400.0,11.7,25.2,0.1,2900.0,300.0,10.5,23.6,0.1,10300.0,1200.0,8.3,27.7,0.2
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,247,2025-07-23 13:35:08.008174,20,0.0006680210239083,557,1,45,30.001,AUTO,4,ARMED,100,60.56667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,19,100,0,1,100,6420.0,716086.683,4,325.338410070548,6,266.869609418474,40,-325.818578451249,924.3333333333334,7.966666666666666,UNAVAILABLE,30.57733333333333,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.8166666666666668,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,2000.0,600.0,3.6,31.1,0.3,133.53333333333333,400.0,100.0,3.9,22.6,0.1,300.0,100.0,3.6,22.6,0.1,1900.0,700.0,2.7,25.2,0.1,800.0,200.0,4.5,23.6,0.1,2100.0,500.0,4.2,27.7,0.2
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,248,2025-07-23 13:35:09.008469,20,0.0006680210239083,561,1,45,30.001,AUTO,4,ARMED,100,132.5,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,20,100,0,0,100,6420.0,716086.683,14,349.93763515196,9,281.070193956672,40,-322.046191581418,1022.3333333333334,8.92,UNAVAILABLE,30.57733333333333,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.7533333333333334,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,2100.0,600.0,3.7,31.1,0.3,133.5,300.0,100.0,3.9,22.6,0.1,400.0,100.0,5.4,22.6,0.1,1300.0,400.0,2.9,25.2,0.1,2300.0,300.0,8.4,23.6,0.1,5700.0,600.0,9.7,27.7,0.2
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,249,2025-07-23 13:35:10.008734,20,0.0006680210239083,564,1,45,30.001,AUTO,4,ARMED,100,109.1667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,21,100,0,0,100,6420.0,716086.683,4,350.019597321142,5,281.118912011675,41,-326.106795160695,1012.3333333333334,8.91,UNAVAILABLE,30.57733333333333,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.8166666666666668,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,2300.0,500.0,4.2,31.1,0.2,133.53333333333333,400.0,100.0,4.8,22.6,0.4,1200.0,200.0,6.3,22.6,0.1,6100.0,1100.0,5.4,25.2,0.1,3900.0,500.0,8.4,23.6,0.1,12200.0,1200.0,10.5,27.7,0.2
lid_p1,11,AL6061_lid11_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,4,250,2025-07-23 13:35:11.009033,20,0.0006680210239083,568,1,45,30.001,AUTO,4,ARMED,100,19.16667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,22,100,0,0,100,6420.0,716086.683,5,386.021596307584,4,281.118900567453,24,-334.033524984251,953.3333333333334,8.233333333333333,UNAVAILABLE,30.578000000000003,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.9466666666666668,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,0.8166666666666665,2500.0,600.0,4.2,31.1,0.2,133.5666666666667,500.0,100.0,5.6,22.6,0.1,500.0,100.0,4.2,22.6,0.1,1400.0,500.0,2.8,25.2,0.1,3700.0,500.0,8.1,23.6,0.1,15900.0,2500.0,6.4,27.7,0.3
