program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p1,11,AL6061_lid11_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,415,2025-07-23 13:37:56.053062,20,0.0001678978379824,1037,1,45,30.001,AUTO,21,ARMED,100,588.95,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,7,100,0,26,100,1436.12608875984,716086.683,19,201.863076745356,17,352.580163283931,37,-257.873997180446,-1587.3333333333333,18.58666666666667,UNAVAILABLE,30.629,59.98,68C62535-3304-4629-A02B-85CAE2490743,0.4633333333333333,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.8213333333333334,5000.0,1000.0,5.2,31.3,0.1,134.73333333333335,300.0,0.0,5.7,22.4,0.1,200.0,100.0,3.8,22.6,0.0,600.0,200.0,3.1,25.2,0.1,400.0,100.0,5.6,23.6,0.0,1200.0,600.0,1.9,27.6,0.0
lid_p1,11,AL6061_lid11_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,416,2025-07-23 13:37:57.053365,20,0.0006680210239083,1038,1,45,30.001,AUTO,21,ARMED,100,391.6833,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,8,100,0,19,100,4417.77284078384,716086.683,5,371.190504191499,6,216.031359165351,27,-349.144581447622,2582.333333333333,23.8,UNAVAILABLE,30.629,59.99,68C62535-3304-4629-A02B-85CAE2490743,1.0,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.8213333333333334,6200.0,1600.0,3.9,31.3,0.1,132.63333333333333,1600.0,400.0,4.3,22.4,0.2,6400.0,1500.0,4.4,22.6,0.1,32900.0,9100.0,3.6,25.2,0.4,4000.0,1000.0,3.9,23.6,0.0,1600.0,700.0,2.4,27.6,0.1
lid_p1,11,AL6061_lid11_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,417,2025-07-23 13:37:58.053666,20,0.0006680210239083,1040,1,45,30.001,AUTO,21,ARMED,100,0.0,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,9,100,0,12,100,6789.96766940392,716086.683,5,371.190515635503,5,216.031393495549,29,-356.568206458203,6020.333333333333,49.48666666666666,UNAVAILABLE,30.62933333333333,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.9366666666666666,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.8213333333333334,6800.0,1800.0,3.8,31.3,0.2,130.73333333333332,200.0,100.0,4.3,22.4,0.1,1100.0,200.0,7.0,22.6,0.1,3700.0,1500.0,2.4,25.2,0.2,19400.0,3000.0,6.4,23.6,0.1,43700.0,8100.0,5.4,27.6,0.7
lid_p1,11,AL6061_lid11_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,418,2025-07-23 13:37:59.053948,20,0.0006680210239083,1040,1,45,30.001,AUTO,21,ARMED,100,0.0,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,10,100,0,9,100,8242.54750561425,716086.683,5,371.190492747496,5,216.031393495549,30,-356.568149237235,5909.333333333333,48.71,UNAVAILABLE,30.632,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.9266666666666667,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.8213333333333334,10100.0,2500.0,4.0,31.3,0.2,130.76666666666665,300.0,100.0,3.9,22.4,0.1,400.0,100.0,4.1,22.6,0.1,3500.0,1500.0,2.3,25.2,0.2,1200.0,300.0,4.0,23.6,0.1,500.0,100.0,3.7,27.6,0.2
lid_p1,06,Al6061_lid06_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,451,2025-07-11 13:13:31.544898,14,-0.0010460767582615,1037,1,9,30.001,AUTO,21,ARMED,100,506.5667,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,2,100,0,14,100,791.165491497299,695912.986000001,78,115.097728329665,51,422.549576251137,36,-257.738203932319,-2792.333333333333,26.7,NONE,18.863333333333333,59.96,68C62535-3304-4629-A02B-85CAE2490743,0.7466666666666667,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.4679999999999999,8100.0,1900.0,4.2,34.5,0.1,134.46666666666667,1700.0,500.0,3.6,22.4,0.3,5600.0,1300.0,4.2,23.0,0.1,34900.0,9300.0,3.8,25.6,0.4,4000.0,900.0,4.6,24.1,0.1,1600.0,700.0,2.4,28.6,0.2
lid_p1,06,Al6061_lid06_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,452,2025-07-11 13:13:32.545051,14,-0.0010460767582615,1038,1,9,30.001,AUTO,21,ARMED,100,343.5833,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,3,100,0,19,100,4272.63237191625,695912.986000001,6,371.190538523511,6,216.031313391754,0,-315.127484782818,2055.6666666666665,6.746666666666666,NONE,18.863333333333333,59.95000000000001,68C62535-3304-4629-A02B-85CAE2490743,1.0,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.4679999999999999,7100.0,2100.0,3.5,34.5,0.3,132.5,300.0,100.0,5.5,22.4,0.1,300.0,100.0,3.5,23.0,0.1,3700.0,1500.0,2.4,25.6,0.2,3500.0,400.0,8.7,24.1,0.1,8200.0,1100.0,7.8,28.6,0.2
lid_p1,06,Al6061_lid06_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,453,2025-07-11 13:13:33.545255,14,-0.0010460767582615,1040,1,9,30.001,AUTO,21,ARMED,100,0.0,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,4,100,0,12,100,6613.83698879465,695912.986000001,5,371.190504191499,5,216.031404938949,30,-356.432398212487,5996.666666666667,49.82666666666668,NONE,18.86433333333333,59.95000000000001,68C62535-3304-4629-A02B-85CAE2490743,0.97,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.4679999999999999,8400.0,2300.0,3.7,34.5,0.2,129.76666666666665,300.0,100.0,4.3,22.4,0.1,400.0,100.0,4.1,23.0,0.1,3500.0,1500.0,2.3,25.6,0.2,1100.0,300.0,3.7,24.1,0.1,600.0,200.0,4.1,28.6,0.2
lid_p1,06,Al6061_lid06_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,454,2025-07-11 13:13:34.545467,14,-0.0010460767582615,1040,1,9,30.001,AUTO,21,ARMED,100,0.0,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,5,100,0,9,100,8189.8686183514,695912.986000001,5,371.190492747496,5,216.031404938949,30,-356.432409656681,5873.0,48.836666666666666,NONE,18.86533333333333,59.96,68C62535-3304-4629-A02B-85CAE2490743,0.9266666666666667,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.4679999999999999,11100.0,3000.0,3.7,34.5,0.3,129.86666666666665,300.0,100.0,3.5,22.4,0.1,500.0,100.0,3.5,23.0,0.1,3900.0,1600.0,2.5,25.6,0.3,1100.0,300.0,4.0,24.1,0.1,1000.0,300.0,3.2,28.6,0.3
lid_p1,06,Al6061_lid06_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,455,2025-07-11 13:13:35.545669,14,-0.0010460767582615,1041,1,9,30.001,AUTO,21,ARMED,100,9.416667,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,6,100,0,6,100,10000.0,695912.986000001,5,370.91186852888,5,217.139914659636,30,-359.431795474751,5297.333333333333,43.89333333333334,NONE,18.86733333333333,59.96,68C62535-3304-4629-A02B-85CAE2490743,0.8833333333333333,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.4679999999999999,7400.0,2200.0,3.3,34.5,0.6,130.16666666666666,400.0,100.0,3.4,22.4,0.5,500.0,100.0,4.1,23.0,0.1,3800.0,1300.0,2.8,25.6,0.5,3600.0,400.0,8.2,24.1,0.2,3300.0,1100.0,3.0,28.6,1.1
lid_p1,06,Al6061_lid06_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,15,456,2025-07-11 13:13:36.546005,14,-0.0010460767582615,1043,1,9,30.001,AUTO,21,ARMED,100,25.38333,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,7,100,0,0,100,10000.0,695912.986000001,6,350.239536618258,6,217.04351638952,31,-359.432196021528,4772.333333333333,40.13666666666666,NONE,18.868333333333336,59.96,68C62535-3304-4629-A02B-85CAE2490743,0.8833333333333333,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,0.4679999999999999,4800.0,1100.0,4.4,34.5,0.5,130.43333333333334,400.0,100.0,4.2,22.4,0.5,500.0,200.0,3.2,23.0,0.2,3800.0,1500.0,2.6,25.6,0.6,1000.0,300.0,3.6,24.1,0.2,2600.0,1500.0,1.8,28.6,1.5
