program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,338,2025-07-23 13:36:39.031331,20,0.0001678978379824,768,1,45,30.001,AUTO,17,ARMED,100,486.05,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,50,100,0,11,100,693.713545042117,716086.683,45,131.469890701419,25,427.881983358575,38,-99.8670097108772,754.0,6.286666666666666,UNAVAILABLE,30.598666666666663,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.9566666666666668,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,8400.0,400.0,19.1,31.3,0.3,133.5,800.0,100.0,10.1,22.5,0.2,1000.0,100.0,8.0,22.6,0.2,2500.0,300.0,7.6,25.2,0.1,6000.0,500.0,12.6,23.6,0.2,2000.0,300.0,7.5,27.6,0.5
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,339,2025-07-23 13:36:40.031593,20,0.0006680210239083,769,1,45,30.001,AUTO,17,ARMED,100,229.6667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,51,100,0,19,100,4344.80457553908,716086.683,5,361.035610076483,5,278.495048010632,11,-205.692127320658,558.3333333333334,5.053333333333334,UNAVAILABLE,30.598666666666663,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.7166666666666667,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,5300.0,1300.0,4.0,31.3,0.1,133.7,1700.0,400.0,4.0,22.5,0.3,4800.0,1200.0,4.1,22.6,0.1,26900.0,8700.0,3.1,25.2,0.3,2800.0,700.0,4.3,23.6,0.1,700.0,200.0,3.9,27.6,0.1
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,340,2025-07-23 13:36:41.031810,20,0.0006680210239083,771,1,45,30.001,AUTO,17,ARMED,100,0.0,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,52,100,0,13,100,6563.35406478152,716086.683,5,361.035598632479,5,278.495105231995,30,-311.459202109898,4813.333333333333,41.803333333333335,UNAVAILABLE,30.60033333333333,59.99,68C62535-3304-4629-A02B-85CAE2490743,1.0,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,10100.0,2300.0,4.3,31.3,0.2,131.4,300.0,100.0,4.6,22.5,0.1,1600.0,400.0,4.5,22.6,0.1,3000.0,800.0,3.7,25.2,0.2,27000.0,5600.0,4.8,23.6,0.2,56900.0,13500.0,4.2,27.6,1.3
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,341,2025-07-23 13:36:42.032063,20,0.0006680210239083,771,1,45,30.001,AUTO,17,ARMED,100,0.0,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,53,100,0,9,100,8151.47652745167,716086.683,5,361.035598632479,5,278.495093787722,30,-311.459202109898,5895.666666666667,48.59333333333333,UNAVAILABLE,30.602000000000004,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.9433333333333334,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,10100.0,2400.0,4.2,31.3,0.2,130.83333333333334,300.0,100.0,4.2,22.5,0.1,400.0,100.0,3.8,22.6,0.1,2200.0,700.0,3.2,25.2,0.2,1100.0,300.0,4.2,23.6,0.1,500.0,100.0,4.2,27.6,0.2
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,342,2025-07-23 13:36:43.032295,20,0.0006680210239083,771,1,45,30.001,AUTO,17,ARMED,100,0.0,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,54,100,0,6,100,9329.47218466812,716086.683,5,361.035587188475,5,278.495105231995,30,-311.459190667361,5886.333333333333,48.52,UNAVAILABLE,30.603666666666665,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.8966666666666666,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,9300.0,2900.0,3.2,31.3,0.3,130.79999999999998,300.0,100.0,3.7,22.5,0.1,400.0,100.0,3.3,22.6,0.1,2200.0,800.0,2.8,25.2,0.2,900.0,200.0,3.8,23.6,0.1,900.0,300.0,3.1,27.6,0.3
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,343,2025-07-23 13:36:44.032585,20,0.0006680210239083,771,1,45,30.001,AUTO,17,ARMED,100,0.0,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,55,100,0,5,100,11200.0,716086.683,4,361.035575744471,5,278.495093787722,31,-311.459156339752,4969.0,40.95666666666667,UNAVAILABLE,30.605,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.8833333333333333,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,8400.0,2200.0,3.9,31.3,0.5,131.36666666666665,500.0,100.0,3.3,22.5,0.1,400.0,100.0,3.7,22.6,0.1,3400.0,1000.0,3.5,25.2,0.4,1100.0,300.0,3.6,23.6,0.2,2200.0,1000.0,2.1,27.6,1.0
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,344,2025-07-23 13:36:45.032893,20,0.0006680210239083,775,1,45,30.001,AUTO,17,ARMED,100,98.81667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,56,100,0,4,100,11200.0,716086.683,23,396.249633123801,1,238.790434674878,31,-311.459247880044,4206.333333333333,35.07,UNAVAILABLE,30.605666666666668,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.8933333333333334,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,7500.0,2200.0,3.5,31.3,0.5,131.76666666666665,600.0,100.0,4.0,22.5,1.1,600.0,100.0,4.5,22.6,0.1,7500.0,2400.0,3.1,25.2,0.9,1800.0,500.0,3.6,23.6,0.2,3600.0,2000.0,1.8,27.6,1.9
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,345,2025-07-23 13:36:46.033203,20,0.0006680210239083,778,1,45,30.001,AUTO,17,ARMED,100,98.83333,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,57,100,0,0,100,11200.0,716086.683,25,361.19528826344,3,269.864169668917,31,-311.459202109898,4221.333333333333,35.50333333333333,UNAVAILABLE,30.607333333333333,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.8833333333333333,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,6800.0,2000.0,3.4,31.3,0.5,131.66666666666666,400.0,100.0,3.5,22.5,0.3,800.0,200.0,4.9,22.6,0.1,5300.0,900.0,6.1,25.2,0.3,1500.0,400.0,3.5,23.6,0.2,1400.0,500.0,2.7,27.6,0.5
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,346,2025-07-23 13:36:47.033493,20,0.0006680210239083,784,1,45,30.001,AUTO,17,ARMED,100,99.03333,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,58,100,0,0,100,11200.0,716086.683,5,393.437886253555,21,267.891986789144,31,-311.459167782288,2600.6666666666665,30.236666666666668,UNAVAILABLE,30.608000000000004,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.65,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,4400.0,1300.0,3.4,31.3,0.5,132.6,500.0,100.0,3.5,22.5,1.1,800.0,100.0,5.8,22.6,0.1,5900.0,1300.0,4.6,25.2,0.4,1100.0,300.0,3.4,23.6,0.2,1700.0,800.0,2.0,27.6,0.7
lid_p1,11,AL6061_lid11_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,10,347,2025-07-23 13:36:48.033777,20,0.0006680210239083,788,1,45,30.001,AUTO,17,ARMED,100,98.9,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,59,100,0,0,100,11200.0,716086.683,10,334.231977833249,19,246.378363074537,31,-311.459202109898,1175.3333333333333,10.046666666666669,UNAVAILABLE,30.608000000000004,59.98,68C62535-3304-4629-A02B-85CAE2490743,0.8766666666666666,A06C758F-7E20-4B57-997A-E14283E11DC5,0.8166666666666665,4000.0,1300.0,3.2,31.3,0.5,133.36666666666667,400.0,100.0,3.6,22.5,0.2,1000.0,200.0,4.3,22.6,0.0,7600.0,2100.0,3.6,25.2,0.4,1300.0,300.0,3.7,23.6,0.2,1800.0,800.0,2.1,27.6,0.7
