program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,468,2025-07-11 13:13:48.548395,14,-0.0010460767582615,25,1,9,30.001,AUTO,21,ARMED,100,0.0,5,2600939.926,6,O9735.FNC,19,100,0,0,100,10000.0,695912.986000001,5,364.850711988202,4,216.031393495549,36,-349.051147397307,793.6666666666666,7.223333333333334,NONE,18.871666666666663,59.95000000000001,68C62535-3304-4629-A02B-85CAE2490743,0.8766666666666666,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3400.0,1000.0,3.2,34.5,0.5,132.7,1000.0,200.0,5.9,22.4,0.5,2200.0,300.0,7.1,23.0,0.1,16900.0,3200.0,5.4,25.6,0.5,1300.0,300.0,4.1,24.1,0.2,3500.0,1600.0,2.2,28.6,1.3
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,469,2025-07-11 13:13:49.548562,14,-0.0010460767582615,1080,1,9,30.001,AUTO,21,ARMED,100,25.0,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,20,100,0,0,100,10000.0,695912.986000001,15,390.806609987853,3,254.806669506212,33,-352.277094076281,815.0,7.483333333333333,NONE,18.871666666666663,59.95000000000001,68C62535-3304-4629-A02B-85CAE2490743,0.9166666666666666,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3900.0,1000.0,3.8,34.5,0.6,132.7,400.0,100.0,4.0,22.4,0.6,600.0,200.0,3.5,23.0,0.2,4000.0,1400.0,2.9,25.6,0.5,2200.0,300.0,7.4,24.1,0.3,5800.0,1600.0,3.7,28.6,1.5
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,470,2025-07-11 13:13:50.548774,14,-0.0010460767582615,1105,1,9,30.001,AUTO,21,ARMED,100,20.73333,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,21,100,0,1,100,10000.0,695912.986000001,5,389.066951595907,5,252.3665160006,24,-352.277265717674,983.6666666666666,8.4,NONE,18.872,59.95000000000001,68C62535-3304-4629-A02B-85CAE2490743,0.8966666666666666,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3400.0,1000.0,3.3,34.5,0.5,132.6,600.0,100.0,4.4,22.4,1.0,600.0,200.0,3.9,23.0,0.1,3900.0,1400.0,2.9,25.6,0.5,2300.0,300.0,7.8,24.1,0.2,4500.0,1500.0,3.0,28.6,1.4
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,471,2025-07-11 13:13:51.548926,14,-0.0010460767582615,1123,1,9,30.001,AUTO,21,ARMED,100,11.01667,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,22,100,0,0,100,10000.0,695912.986000001,7,383.605053731278,5,252.98346371767,30,-352.277334374231,984.3333333333334,8.426666666666668,NONE,18.872666666666667,59.95000000000001,68C62535-3304-4629-A02B-85CAE2490743,0.8966666666666666,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3400.0,1000.0,3.4,34.5,0.5,132.6,400.0,100.0,3.9,22.4,0.4,500.0,100.0,3.5,23.0,0.1,5000.0,1200.0,4.0,25.6,0.5,2600.0,400.0,6.9,24.1,0.2,6100.0,1600.0,3.8,28.6,1.4
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,472,2025-07-11 13:13:52.549128,14,-0.0010460767582615,1135,1,9,30.001,AUTO,21,ARMED,100,17.85,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,23,100,0,0,100,10000.0,695912.986000001,6,380.005568657386,8,254.919601386866,31,-352.276968205927,991.0,8.479999999999999,NONE,18.872666666666667,59.95000000000001,68C62535-3304-4629-A02B-85CAE2490743,0.8933333333333332,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3300.0,1000.0,3.2,34.5,0.5,132.5666666666667,400.0,100.0,4.0,22.4,0.6,700.0,200.0,3.6,23.0,0.2,3700.0,1400.0,2.7,25.6,0.5,1200.0,300.0,4.7,24.1,0.2,3400.0,1500.0,2.2,28.6,1.5
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,473,2025-07-11 13:13:53.549327,14,-0.0010460767582615,1155,1,9,30.001,AUTO,21,ARMED,100,0.0,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,24,100,0,0,100,10000.0,695912.986000001,6,377.381524193887,5,250.080503319774,17,-352.277254274914,1005.0,8.559999999999999,NONE,18.872666666666667,59.95000000000001,68C62535-3304-4629-A02B-85CAE2490743,0.89,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3200.0,1000.0,3.1,34.5,0.5,132.5,300.0,100.0,3.4,22.4,0.1,400.0,100.0,3.4,23.0,0.1,2800.0,1300.0,2.2,25.6,0.5,3300.0,400.0,8.9,24.1,0.2,5600.0,1500.0,3.8,28.6,1.4
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,474,2025-07-11 13:13:54.549631,14,-0.0010460767582615,1175,1,9,30.001,AUTO,21,ARMED,100,18.21667,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,25,100,0,0,100,10000.0,695912.986000001,5,377.939209327035,7,250.321297052214,40,-349.742886749135,995.6666666666666,8.48,NONE,18.87333333333333,59.95000000000001,NONE,0.89,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3500.0,1000.0,3.4,34.5,0.5,132.6,400.0,100.0,3.4,22.4,0.5,600.0,200.0,3.9,23.0,0.1,4000.0,1300.0,3.1,25.6,0.5,3900.0,400.0,10.6,24.1,0.2,5600.0,1600.0,3.5,28.6,1.4
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,475,2025-07-11 13:13:55.549946,14,-0.0010460767582615,1197,1,9,30.001,AUTO,21,ARMED,100,25.28333,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,26,100,0,1,100,10000.0,695912.986000001,4,375.174505282676,23,252.738481148905,31,-352.277071190762,1020.6666666666666,8.73,NONE,18.87333333333333,59.95000000000001,NONE,0.88,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3300.0,1000.0,3.3,34.5,0.5,132.6,400.0,100.0,4.2,22.4,0.6,700.0,200.0,4.2,23.0,0.2,4100.0,1400.0,3.0,25.6,0.5,2700.0,300.0,8.1,24.1,0.2,5700.0,1600.0,3.6,28.6,1.4
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,476,2025-07-11 13:13:56.550132,14,-0.0010460767582615,1207,1,9,30.001,AUTO,21,ARMED,100,14.6,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,27,100,0,1,100,10000.0,695912.986000001,6,370.438801480206,8,250.261891117844,32,-352.277105519041,1026.0,8.77,NONE,18.873666666666665,59.96,NONE,0.8933333333333334,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3500.0,1000.0,3.4,34.5,0.5,132.6,400.0,100.0,3.6,22.4,0.8,600.0,200.0,3.6,23.0,0.2,4100.0,1400.0,3.0,25.6,0.5,900.0,300.0,3.5,24.1,0.2,3700.0,1500.0,2.4,28.6,1.5
lid_p1,06,Al6061_lid06_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,16,477,2025-07-11 13:13:57.550348,14,-0.0010460767582615,1216,1,9,30.001,AUTO,21,ARMED,100,17.88333,5,2600939.926,6,000473_A_A_PROGRAM_1.NC,28,100,0,0,100,10000.0,695912.986000001,5,366.737395435098,7,250.092736559799,17,-352.277174175598,1025.6666666666667,8.763333333333334,NONE,18.873666666666665,59.96,NONE,0.9,C14415F1-CFEE-431E-92CB-E7F5CB809961,0.4679999999999999,3600.0,1000.0,3.5,34.5,0.5,132.53333333333333,400.0,100.0,3.7,22.4,0.7,700.0,200.0,4.4,23.0,0.2,3600.0,1400.0,2.7,25.6,0.5,3600.0,300.0,10.6,24.1,0.2,4800.0,1500.0,3.1,28.6,1.4
