program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,295,2025-07-23 13:35:56.021223,20,0.0001678978379824,28,1,45,30.001,AUTO,1,ARMED,100,0.0,5,2661821.03,11,O9735.FNC,7,100,0,1,100,0.0,716086.683,5,12.4206062656161,5,505.350101841553,35,-99.8669982674121,690.0,6.0,UNAVAILABLE,30.588,60.0,68C62535-3304-4629-A02B-85CAE2490743,0.79,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,10700.0,700.0,15.5,31.2,0.2,133.6,800.0,100.0,8.1,22.5,0.1,1800.0,200.0,12.2,22.6,0.1,2200.0,300.0,7.3,25.2,0.1,11500.0,700.0,17.5,23.6,0.1,3700.0,400.0,8.7,27.6,0.3
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,296,2025-07-23 13:35:57.021479,20,0.0006680210239083,678,1,45,30.001,AUTO,1,ARMED,100,633.2167,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,8,100,0,40,100,2071.49768828802,716086.683,13,310.400034202046,15,260.195324448243,35,-99.8669982674121,640.0,5.846666666666667,UNAVAILABLE,30.588,60.0,68C62535-3304-4629-A02B-85CAE2490743,0.64,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,3900.0,200.0,16.5,31.2,0.1,133.7,1600.0,200.0,8.2,22.5,0.3,2400.0,300.0,9.2,22.6,0.0,19300.0,2600.0,7.5,25.2,0.1,1700.0,100.0,11.6,23.6,0.1,500.0,100.0,4.7,27.6,0.1
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,297,2025-07-23 13:35:58.021734,20,0.0006680210239083,679,1,45,30.001,AUTO,1,ARMED,100,476.5,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,9,100,0,2,100,3709.0,716086.683,5,395.96311398733,5,189.800891167159,15,-313.274514752577,2786.333333333333,24.92333333333333,UNAVAILABLE,30.58933333333333,60.0,68C62535-3304-4629-A02B-85CAE2490743,1.0,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,7100.0,1900.0,3.7,31.2,0.1,132.6,1500.0,200.0,8.1,22.5,0.3,6000.0,1200.0,5.2,22.6,0.1,31200.0,6300.0,5.0,25.2,0.3,4200.0,1000.0,4.2,23.6,0.1,800.0,200.0,4.0,27.6,0.1
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,298,2025-07-23 13:35:59.022049,20,0.0006680210239083,682,1,45,30.001,AUTO,1,ARMED,100,31.31667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,10,100,0,0,100,3709.0,716086.683,9,394.394143209178,8,210.948491707448,29,-320.606594624116,1217.3333333333333,14.93,UNAVAILABLE,30.58933333333333,60.0,68C62535-3304-4629-A02B-85CAE2490743,0.2433333333333333,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,9500.0,1500.0,6.3,31.2,0.2,133.46666666666667,300.0,100.0,4.3,22.5,0.6,1500.0,200.0,9.8,22.6,0.0,2500.0,500.0,5.5,25.2,0.1,28700.0,3900.0,7.4,23.6,0.1,54800.0,8700.0,6.3,27.6,0.8
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,299,2025-07-23 13:36:00.022287,20,0.0006680210239083,682,1,45,30.001,AUTO,1,ARMED,100,31.31667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,11,100,0,4,100,3709.0,716086.683,8,371.822857625224,6,229.403720878424,29,-320.606594624116,804.6666666666666,6.88,UNAVAILABLE,30.589666666666663,60.0,68C62535-3304-4629-A02B-85CAE2490743,0.7533333333333334,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,2400.0,500.0,5.1,31.2,0.2,133.6,2400.0,700.0,3.3,22.5,0.3,900.0,200.0,5.5,22.6,0.1,3200.0,800.0,3.9,25.2,0.2,3100.0,300.0,10.8,23.6,0.0,900.0,100.0,7.0,27.6,0.1
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,300,2025-07-23 13:36:01.022528,20,0.0006680210239083,686,1,45,30.001,AUTO,1,ARMED,100,31.31667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,12,100,0,0,100,3709.0,716086.683,8,339.913030283528,8,232.005945230849,29,-320.606594624116,1085.6666666666667,9.306666666666668,UNAVAILABLE,30.59,60.0,68C62535-3304-4629-A02B-85CAE2490743,0.9633333333333334,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,5100.0,1400.0,3.7,31.2,0.3,133.4333333333333,2400.0,1200.0,2.0,22.5,0.4,800.0,200.0,3.4,22.6,0.1,2500.0,700.0,3.3,25.2,0.3,3600.0,1000.0,3.7,23.6,0.1,1500.0,400.0,3.4,27.6,0.3
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,301,2025-07-23 13:36:02.022797,20,0.0001678978379824,691,1,45,30.001,AUTO,1,ARMED,100,31.31667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,13,100,0,0,100,3709.0,716086.683,10,328.549406900851,7,260.743695771109,29,-320.606606066653,863.6666666666666,7.3066666666666675,UNAVAILABLE,30.59033333333333,60.0,68C62535-3304-4629-A02B-85CAE2490743,0.82,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,2500.0,700.0,3.8,31.2,0.2,133.53333333333333,1100.0,300.0,3.5,22.5,0.1,600.0,200.0,3.7,22.6,0.1,2600.0,600.0,4.1,25.2,0.1,1800.0,500.0,3.4,23.6,0.1,600.0,200.0,3.5,27.6,0.1
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,302,2025-07-23 13:36:03.023007,20,0.0001678978379824,699,1,45,30.001,AUTO,1,ARMED,100,31.31667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,14,100,0,0,100,3709.0,716086.683,9,351.318243374549,6,275.575442439614,29,-320.606606066653,848.6666666666666,7.166666666666667,UNAVAILABLE,30.59033333333333,60.0,68C62535-3304-4629-A02B-85CAE2490743,0.88,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,3800.0,900.0,4.1,31.2,0.2,133.5,2400.0,1200.0,1.9,22.5,0.4,600.0,200.0,3.3,22.6,0.1,3200.0,900.0,3.5,25.2,0.2,2300.0,600.0,3.9,23.6,0.1,700.0,200.0,4.4,27.6,0.1
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,303,2025-07-23 13:36:04.023215,20,0.0001678978379824,700,1,45,30.0005,AUTO,1,ARMED,100,31.33333,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,15,100,0,0,100,3709.0,716086.683,8,382.002578978842,4,275.558585026267,29,-320.606594624116,878.6666666666666,7.44,UNAVAILABLE,30.590666666666664,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.8966666666666666,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,5600.0,1600.0,3.4,31.2,0.5,133.53333333333333,3000.0,1500.0,2.0,22.5,0.5,800.0,200.0,3.6,22.6,0.1,3700.0,1200.0,3.0,25.2,0.4,3400.0,1100.0,3.2,23.6,0.1,1300.0,300.0,4.5,27.6,0.2
lid_p1,11,AL6061_lid11_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,8,304,2025-07-23 13:36:05.023465,20,0.0006680210239083,712,1,45,30.001,AUTO,1,ARMED,100,31.31667,5,2661821.03,11,000473_A_A_PROGRAM_1.NC,16,100,0,0,100,3709.0,716086.683,8,407.667374763035,8,260.257741510291,29,-320.606606066653,902.6666666666666,7.64,UNAVAILABLE,30.590666666666664,59.99,68C62535-3304-4629-A02B-85CAE2490743,0.86,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,0.8166666666666665,6000.0,1200.0,5.0,31.2,0.3,133.53333333333333,2000.0,600.0,3.1,22.5,0.2,700.0,200.0,3.9,22.6,0.1,2400.0,700.0,3.7,25.2,0.2,3100.0,700.0,4.3,23.6,0.1,900.0,200.0,4.3,27.6,0.1
