program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p2,01,Al6061_lid01_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,231,2025-07-10 15:25:52.068671,21,0.0001678978379824,230,1,8,30.0005,AUTO,86,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,32,100,0,0,100,0.0,687266.021999999,4,76.9333314220659,1,454.824761844247,35,-99.8669982674121,609.0,6.066666666666666,NONE,14.323333333333336,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.92,0279764B-BF92-4F75-8255-A1BD34484848,0.2796666666666667,4200.0,700.0,5.9,29.9,0.1,132.26666666666665,1700.0,400.0,4.7,23.2,0.3,4400.0,800.0,5.3,22.7,0.1,28500.0,7200.0,3.9,25.3,0.3,2600.0,300.0,7.4,23.7,0.0,600.0,100.0,4.5,27.4,0.1
lid_p2,01,Al6061_lid01_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,232,2025-07-10 15:25:53.069009,21,0.0001678978379824,231,1,8,30.0005,AUTO,86,ARMED,100,233.3,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,33,100,0,24,100,3346.9355797252,687266.021999999,6,362.40448460761,6,252.563685109302,33,-109.128700370255,537.3333333333334,6.353333333333334,NONE,14.323333333333336,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8566666666666668,0279764B-BF92-4F75-8255-A1BD34484848,0.2796666666666667,11600.0,2600.0,4.5,29.9,0.2,132.36666666666667,500.0,100.0,5.0,23.2,0.1,1900.0,400.0,5.3,22.7,0.1,2600.0,600.0,4.7,25.3,0.1,27100.0,5200.0,5.2,23.7,0.1,53000.0,12500.0,4.2,27.4,1.2
lid_p2,01,Al6061_lid01_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,233,2025-07-10 15:25:54.069335,21,0.0001678978379824,233,1,8,30.0005,AUTO,86,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,34,100,0,14,100,5978.71909314687,687266.021999999,5,362.404404499582,5,252.563799549553,28,-295.737548420565,6082.0,50.77666666666666,NONE,14.324666666666666,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9666666666666668,0279764B-BF92-4F75-8255-A1BD34484848,0.2796666666666667,9000.0,2500.0,3.6,29.9,0.2,129.36666666666665,200.0,100.0,3.9,23.2,0.1,300.0,100.0,3.8,22.7,0.1,1800.0,500.0,3.3,25.3,0.2,1400.0,300.0,4.4,23.7,0.1,1600.0,200.0,9.2,27.4,0.1
lid_p2,01,Al6061_lid01_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,234,2025-07-10 15:25:55.069660,21,0.0001678978379824,234,1,8,30.001,AUTO,86,ARMED,100,114.6667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,35,100,0,0,100,6914.0,687266.021999999,12,362.405102583822,5,252.563799549553,0,-284.7382432193,5806.333333333333,48.32,NONE,14.326,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9266666666666667,0279764B-BF92-4F75-8255-A1BD34484848,0.2796666666666667,13100.0,1400.0,9.5,29.9,0.3,129.4333333333333,700.0,100.0,5.9,23.2,0.1,1500.0,200.0,8.5,22.7,0.1,1800.0,500.0,3.8,25.3,0.2,12300.0,1600.0,7.7,23.7,0.1,21800.0,3700.0,5.9,27.4,0.3
lid_p2,01,Al6061_lid01_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,235,2025-07-10 15:25:56.069939,21,0.0001678978379824,238,1,8,30.001,AUTO,86,ARMED,100,16.76667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,36,100,0,2,100,6914.0,687266.021999999,6,398.406304609424,5,252.563799549553,25,-302.029841800928,1260.0,14.553333333333336,NONE,14.326999999999998,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.5499999999999999,0279764B-BF92-4F75-8255-A1BD34484848,0.2796666666666667,3500.0,800.0,4.2,29.9,0.3,131.93333333333337,400.0,100.0,6.0,23.2,0.1,600.0,100.0,7.7,22.7,0.1,1500.0,500.0,3.1,25.3,0.2,2800.0,500.0,6.1,23.7,0.1,6100.0,600.0,9.6,27.5,0.1
lid_p2,02,Al6061_lid02_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,168,2025-07-10 15:35:48.333569,21,0.0001678978379824,230,1,8,30.0005,AUTO,86,ARMED,100,321.8667,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,30,100,0,0,100,150.349430113978,687986.487,78,115.326545340615,46,427.621913669433,38,-99.8669982674121,684.3333333333334,6.760000000000001,NONE,14.506333333333336,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.6733333333333333,0279764B-BF92-4F75-8255-A1BD34484848,0.2926666666666667,6100.0,1500.0,4.1,31.3,0.1,132.36666666666667,1800.0,400.0,3.9,22.9,0.3,5400.0,1200.0,4.5,22.7,0.1,29300.0,8900.0,3.3,25.4,0.3,4500.0,700.0,7.0,24.0,0.0,800.0,200.0,4.6,28.1,0.1
lid_p2,02,Al6061_lid02_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,169,2025-07-10 15:35:49.333722,21,0.0001678978379824,231,1,8,30.0005,AUTO,86,ARMED,100,302.1333,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,31,100,0,21,100,3945.61297912533,687986.487,6,362.40442738759,6,252.563742329427,8,-204.759036805216,1004.3333333333334,12.53,NONE,14.506333333333336,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,0279764B-BF92-4F75-8255-A1BD34484848,0.2926666666666667,10800.0,2500.0,4.3,31.3,0.2,132.26666666666665,500.0,100.0,6.2,22.9,0.1,1600.0,300.0,4.7,22.7,0.0,3500.0,600.0,5.4,25.4,0.2,27600.0,5500.0,5.0,24.0,0.1,56400.0,12700.0,4.4,28.1,1.2
lid_p2,02,Al6061_lid02_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,170,2025-07-10 15:35:50.333940,21,0.0001678978379824,233,1,8,30.0005,AUTO,86,ARMED,100,0.0,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,32,100,0,13,100,6305.06551264414,687986.487,5,362.404404499582,5,252.563799549553,29,-295.737525535296,5915.0,49.21,NONE,14.508333333333333,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8966666666666666,0279764B-BF92-4F75-8255-A1BD34484848,0.2926666666666667,10800.0,2400.0,4.4,31.3,0.2,129.6,400.0,100.0,6.8,22.9,0.0,300.0,100.0,4.4,22.7,0.1,1700.0,400.0,3.9,25.4,0.2,1200.0,300.0,4.1,24.0,0.1,1600.0,300.0,5.8,28.1,0.2
lid_p2,02,Al6061_lid02_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,171,2025-07-10 15:35:51.334222,21,0.0001678978379824,235,1,8,30.0005,AUTO,86,ARMED,100,112.9667,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,33,100,0,2,100,6914.0,687986.487,5,364.306821382338,5,252.563799549553,91,-280.97827736591,5662.333333333333,48.57333333333333,NONE,14.509666666666666,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.89,0279764B-BF92-4F75-8255-A1BD34484848,0.2926666666666667,4600.0,800.0,6.0,31.3,0.3,129.63333333333333,600.0,100.0,5.8,22.9,0.1,600.0,100.0,4.8,22.7,0.1,1100.0,300.0,3.4,25.4,0.1,8600.0,1000.0,8.5,24.0,0.1,24800.0,3900.0,6.4,28.1,0.4
lid_p2,02,Al6061_lid02_p2,0279764B-BF92-4F75-8255-A1BD34484848,6,172,2025-07-10 15:35:52.334533,21,0.0001678978379824,238,1,8,30.0005,AUTO,86,ARMED,100,16.76667,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,34,100,0,0,100,6914.0,687986.487,5,398.406293164515,5,252.563810993578,26,-304.20006334127,970.0,8.583333333333334,NONE,14.509666666666666,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.7466666666666667,0279764B-BF92-4F75-8255-A1BD34484848,0.2926666666666667,15400.0,1500.0,10.5,31.3,0.3,132.23333333333332,300.0,100.0,5.0,22.9,0.1,1300.0,100.0,9.4,22.7,0.1,1300.0,400.0,3.5,25.4,0.1,15400.0,1900.0,8.3,24.0,0.1,21400.0,3700.0,5.8,28.1,0.3
