program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,90,2025-07-10 15:23:30.845433,21,0.0001678978379824,29,1,8,30.0005,AUTO,6,ARMED,100,0.0,5,2581484.329,1,O9735.FNC,11,100,0,0,100,0.0,687266.021999999,5,75.6053960988366,3,455.763794522662,35,-99.8669982674121,673.6666666666666,6.726666666666667,NONE,14.274666666666668,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.7066666666666667,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,400.0,100.0,4.6,30.3,0.1,132.23333333333332,1600.0,200.0,6.6,23.5,0.2,1400.0,100.0,9.5,22.7,0.0,14100.0,1900.0,7.5,25.3,0.1,300.0,100.0,6.1,23.7,0.0,400.0,100.0,3.3,27.6,0.1
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,91,2025-07-10 15:23:31.845734,21,0.0001678978379824,14,1,8,30.001,AUTO,6,ARMED,100,128.8667,5,2581484.329,1,000473_A_A_PROGRAM_2.NC,12,100,0,39,100,2389.34260940558,687266.021999999,38,373.42018525489,10,315.428896154627,35,-99.9560080913905,420.3333333333333,3.890000000000001,NONE,14.274666666666668,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,8400.0,1900.0,4.4,30.2,0.1,132.4,600.0,100.0,4.6,23.5,0.1,2000.0,300.0,6.5,22.7,0.1,5800.0,600.0,10.0,25.3,0.1,16800.0,1300.0,12.9,23.7,0.1,45200.0,4800.0,9.5,27.6,0.5
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,92,2025-07-10 15:23:32.846005,21,0.0001678978379824,17,1,8,30.001,AUTO,6,ARMED,100,0.0,5,2581484.329,1,000473_A_A_PROGRAM_2.NC,13,100,0,16,100,5436.93615962914,687266.021999999,6,373.420414134969,5,315.428804598814,28,-340.097237773575,4315.666666666667,38.91,NONE,14.275999999999998,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,8600.0,2400.0,3.6,30.2,0.3,130.3,200.0,100.0,3.8,23.5,0.1,300.0,100.0,4.0,22.7,0.1,1600.0,500.0,3.1,25.3,0.2,4100.0,500.0,7.9,23.7,0.1,11600.0,1700.0,6.9,27.6,0.2
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,93,2025-07-10 15:23:33.846276,21,0.0001678978379824,17,1,8,30.001,AUTO,6,ARMED,100,0.0,5,2581484.329,1,000473_A_A_PROGRAM_2.NC,14,100,0,10,100,7532.88552675675,687266.021999999,5,373.420402690965,5,315.428793154338,30,-340.107410386776,5853.333333333333,48.7,NONE,14.277666666666669,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9066666666666668,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,12100.0,3300.0,3.6,30.2,0.2,129.46666666666667,300.0,100.0,3.1,23.5,0.1,300.0,100.0,3.3,22.7,0.1,2100.0,700.0,2.8,25.3,0.3,1300.0,300.0,4.9,23.7,0.1,600.0,200.0,4.0,27.6,0.1
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,94,2025-07-10 15:23:34.846506,21,0.0001678978379824,17,1,8,30.001,AUTO,6,ARMED,100,0.0,5,2581484.329,1,000473_A_A_PROGRAM_2.NC,15,100,0,7,100,9792.0,687266.021999999,5,373.420414134969,5,315.428793154338,30,-340.107410386776,5992.0,49.82333333333333,NONE,14.279666666666666,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9266666666666667,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,6400.0,1900.0,3.4,30.2,0.3,129.36666666666665,4000.0,700.0,5.6,23.5,1.3,2900.0,400.0,6.9,22.7,0.2,5700.0,1300.0,4.4,25.3,0.3,1000.0,300.0,3.6,23.7,0.1,2300.0,500.0,4.3,27.6,0.6
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,95,2025-07-10 15:23:35.846734,21,0.0001678978379824,19,1,8,30.001,AUTO,6,ARMED,100,71.25,5,2581484.329,1,000473_A_A_PROGRAM_2.NC,16,100,0,5,100,9792.0,687266.021999999,15,420.95962242385,6,305.2687759671,31,-340.107330287459,5148.333333333333,43.580000000000005,NONE,14.28,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.91,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,17000.0,3500.0,4.8,30.2,0.8,129.76666666666668,4700.0,1500.0,3.1,23.5,0.6,3500.0,1300.0,2.7,22.7,0.4,9700.0,3300.0,2.9,25.3,1.1,6600.0,2100.0,3.1,23.7,0.3,4600.0,1700.0,2.6,27.6,1.4
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,96,2025-07-10 15:23:36.847037,21,0.0001678978379824,20,1,8,30.0005,AUTO,6,ARMED,100,71.25,5,2581484.329,1,000473_A_A_PROGRAM_2.NC,18,100,0,1,100,9792.0,687266.021999999,1,434.380421037291,9,223.889850432429,32,-340.107387501257,1211.0,10.6,NONE,14.281999999999998,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8433333333333334,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,8200.0,2200.0,3.6,30.2,0.7,131.93333333333334,2500.0,1100.0,2.2,23.5,1.0,5200.0,2300.0,2.3,22.7,0.7,11000.0,3700.0,2.9,25.3,1.1,8300.0,3000.0,2.8,23.7,0.3,4200.0,1600.0,2.6,27.6,1.4
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,97,2025-07-10 15:23:38.032285,21,0.0001678978379824,21,1,8,30.0005,AUTO,6,ARMED,100,71.25,5,2581484.329,1,000473_A_A_PROGRAM_2.NC,18,100,0,0,100,9792.0,687266.021999999,34,418.694495132932,5,199.858583134997,31,-340.107295959181,1211.0,10.6,NONE,14.281999999999998,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8433333333333334,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,14600.0,5100.0,2.9,30.2,1.4,131.93333333333334,2900.0,1500.0,2.0,23.5,0.5,2900.0,1400.0,2.1,22.7,0.4,8200.0,4000.0,2.1,25.3,1.3,9400.0,2700.0,3.5,23.7,0.3,4600.0,1900.0,2.4,27.6,1.6
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,98,2025-07-10 15:23:39.032506,21,0.0001678978379824,21,1,8,30.0005,AUTO,6,ARMED,100,71.25,5,2581484.329,1,000473_A_A_PROGRAM_2.NC,19,100,0,1,100,9792.0,687266.021999999,11,341.569903304461,2,199.858800556793,31,-340.107273073662,1213.0,10.586666666666666,NONE,14.282666666666666,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.84,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,15600.0,4000.0,3.9,30.2,1.1,131.93333333333334,3200.0,1200.0,2.6,23.5,0.7,6900.0,1900.0,3.5,22.7,0.6,11300.0,3300.0,3.5,25.3,1.0,9400.0,2200.0,4.2,23.7,0.2,5400.0,1800.0,3.0,27.6,1.5
lid_p2,01,Al6061_lid01_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,2,99,2025-07-10 15:23:40.032733,21,-0.0003322253479435,22,1,8,30.0015,AUTO,6,ARMED,100,71.25,5,2581484.329,1,000473_A_A_PROGRAM_2.NC,20,100,0,0,100,9792.0,687266.021999999,1,326.430466883023,8,246.492299366922,32,-340.107490486093,1336.0,11.673333333333334,NONE,14.282666666666666,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8633333333333333,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,0.2773333333333332,7800.0,2300.0,3.4,30.2,0.6,131.83333333333334,2100.0,1300.0,1.7,23.5,0.4,7300.0,4100.0,1.8,22.7,1.3,14100.0,6100.0,2.3,25.3,1.9,9500.0,3100.0,3.1,23.7,0.5,3600.0,1500.0,2.3,27.6,1.4
