program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p2,01,Al6061_lid01_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,208,2025-07-10 15:25:29.062274,21,0.0001678978379824,207,1,8,30.0005,AUTO,4,ARMED,100,457.85,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,9,100,0,0,100,43.2793003974044,687266.021999999,4,101.827062792602,5,437.186047915602,38,-99.866986823947,641.3333333333334,6.033333333333334,NONE,14.317333333333332,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.6833333333333332,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2796666666666667,5400.0,1200.0,4.5,30.0,0.1,132.26666666666665,1600.0,400.0,4.2,23.3,0.3,5100.0,1100.0,4.9,22.7,0.1,27900.0,8800.0,3.2,25.3,0.3,3400.0,500.0,6.3,23.7,0.1,800.0,200.0,4.7,27.4,0.1
lid_p2,01,Al6061_lid01_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,209,2025-07-10 15:25:30.062554,21,0.0001678978379824,208,1,8,30.0005,AUTO,4,ARMED,100,343.3,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,10,100,0,24,100,3887.70732972293,687266.021999999,6,362.404438831594,6,252.563730885402,31,-157.711229357226,933.0,11.85,NONE,14.318,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2796666666666667,10100.0,2700.0,3.7,29.9,0.2,132.2,400.0,100.0,4.7,23.3,0.1,2000.0,400.0,4.9,22.7,0.1,3600.0,800.0,4.7,25.3,0.2,28500.0,6200.0,4.6,23.7,0.2,56800.0,14800.0,3.8,27.4,1.4
lid_p2,01,Al6061_lid01_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,210,2025-07-10 15:25:31.062872,21,0.0001678978379824,210,1,8,30.0005,AUTO,4,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,11,100,0,13,100,6420.0,687266.021999999,5,362.404404499582,5,252.563799549553,28,-345.743392825753,6121.666666666667,51.446666666666665,NONE,14.32,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2796666666666667,9100.0,1900.0,4.7,29.9,0.2,129.26666666666668,300.0,100.0,3.9,23.2,0.1,300.0,100.0,3.8,22.7,0.1,1400.0,400.0,3.5,25.3,0.2,1100.0,300.0,3.9,23.7,0.1,4900.0,500.0,10.2,27.4,0.2
lid_p2,01,Al6061_lid01_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,211,2025-07-10 15:25:32.063230,21,0.0001678978379824,213,1,8,30.0005,AUTO,4,ARMED,100,129.15,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,12,100,0,1,100,6420.0,687266.021999999,43,387.367437556747,5,252.563799549553,39,-338.081282707525,5488.333333333333,48.05666666666667,NONE,14.321,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8633333333333333,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2796666666666667,2900.0,600.0,4.5,29.9,0.2,129.60000000000002,600.0,100.0,7.3,23.2,0.1,600.0,100.0,5.1,22.7,0.1,1200.0,400.0,3.4,25.3,0.1,5100.0,400.0,12.8,23.7,0.1,3700.0,800.0,4.9,27.4,0.2
lid_p2,01,Al6061_lid01_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,212,2025-07-10 15:25:33.063377,21,0.0001678978379824,216,1,8,30.001,AUTO,4,ARMED,100,12.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,13,100,0,1,100,6420.0,687266.021999999,5,398.406304609424,5,252.563799549553,25,-353.539454411537,972.0,8.573333333333332,NONE,14.321,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8566666666666668,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2796666666666667,2800.0,700.0,4.1,29.9,0.2,132.06666666666666,300.0,100.0,4.1,23.2,0.1,500.0,100.0,4.2,22.7,0.1,1300.0,400.0,3.5,25.3,0.1,5700.0,600.0,9.4,23.7,0.1,17100.0,2700.0,6.3,27.4,0.3
lid_p2,02,Al6061_lid02_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,155,2025-07-10 15:35:35.331015,21,0.0001678978379824,205,1,8,30.0005,AUTO,4,ARMED,100,0.0,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,17,100,0,1,100,0.0,687986.487,5,75.6053960988366,3,455.763797015502,35,-99.8669982674121,587.0,5.023333333333333,NONE,14.502,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8766666666666666,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2926666666666667,3200.0,400.0,8.7,31.2,0.1,132.5,1600.0,200.0,6.8,23.0,0.3,3000.0,400.0,8.2,22.7,0.1,27900.0,4200.0,6.7,25.4,0.1,2100.0,200.0,13.2,24.0,0.0,400.0,100.0,3.6,28.0,0.1
lid_p2,02,Al6061_lid02_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,156,2025-07-10 15:35:36.331228,21,0.0001678978379824,207,1,8,30.0005,AUTO,4,ARMED,100,187.4,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,18,100,0,36,100,2544.82566126671,687986.487,6,362.403763635362,1,252.564394638859,35,-99.8752175746799,1427.3333333333333,5.026666666666666,NONE,14.502333333333333,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2926666666666667,8600.0,2200.0,3.9,31.2,0.1,132.23333333333332,500.0,100.0,5.1,23.0,0.2,2200.0,300.0,7.4,22.7,0.1,5900.0,600.0,10.5,25.4,0.1,14100.0,1800.0,8.0,24.0,0.0,47300.0,5500.0,8.6,28.0,0.6
lid_p2,02,Al6061_lid02_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,157,2025-07-10 15:35:37.331383,21,0.0001678978379824,209,1,8,30.0005,AUTO,4,ARMED,100,20.06667,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,19,100,0,15,100,5569.78832919635,687986.487,5,362.404404499582,5,252.563788105528,4,-341.891405250372,6115.0,43.10999999999999,NONE,14.504,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2926666666666667,7300.0,2300.0,3.2,31.2,0.3,130.16666666666666,200.0,100.0,3.4,23.0,0.1,300.0,100.0,4.1,22.7,0.1,2000.0,500.0,4.4,25.4,0.2,3600.0,400.0,10.0,24.0,0.1,5100.0,600.0,8.5,28.0,0.2
lid_p2,02,Al6061_lid02_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,158,2025-07-10 15:35:38.331536,21,0.0001678978379824,210,1,8,30.0005,AUTO,4,ARMED,100,17.48333,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,20,100,0,1,100,6420.0,687986.487,5,362.404381611574,5,252.563799549553,25,-351.720483160113,4993.666666666667,45.38666666666666,NONE,14.505,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.7866666666666667,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2926666666666667,2400.0,700.0,3.6,31.2,0.3,130.0666666666667,700.0,100.0,5.8,23.0,0.1,800.0,100.0,6.0,22.7,0.1,1500.0,400.0,3.6,25.4,0.2,4200.0,600.0,7.3,24.0,0.1,18700.0,2800.0,6.7,28.0,0.2
lid_p2,02,Al6061_lid02_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,4,159,2025-07-10 15:35:39.331689,21,0.0001678978379824,215,1,8,30.0005,AUTO,4,ARMED,100,19.55,5,2582204.421,2,000473_A_A_PROGRAM_2.NC,21,100,0,2,100,6420.0,687986.487,5,398.406316054334,5,252.563799549553,25,-350.334296596256,915.6666666666666,8.020000000000001,NONE,14.505333333333333,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8066666666666666,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,0.2926666666666667,2300.0,600.0,3.6,31.3,0.2,132.33333333333334,300.0,100.0,3.7,23.0,0.1,400.0,100.0,3.5,22.7,0.1,1400.0,400.0,3.1,25.4,0.2,900.0,200.0,4.4,24.0,0.1,2900.0,500.0,5.7,28.0,0.2
