program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,534,2025-07-10 15:30:55.277112,21,0.0001678978379824,29,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2581844.421,1,O9735.FNC,35,100,0,0,100,0.0,687626.376999998,5,75.6071035659459,4,453.379417413439,35,-99.8669982674121,693.0,6.906666666666666,NONE,14.425333333333333,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,3800.0,400.0,10.3,30.2,0.1,132.33333333333334,1600.0,300.0,4.8,23.3,0.3,3700.0,600.0,6.2,22.7,0.1,25300.0,6000.0,4.2,25.3,0.3,1700.0,200.0,8.2,23.9,0.0,500.0,100.0,4.1,27.5,0.1
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,535,2025-07-10 15:30:56.277324,21,0.0001678978379824,440,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,36,100,0,39,100,2865.96033033059,687626.376999998,101,401.23088539749,45,248.103353432772,35,-103.695253642279,754.6666666666666,9.553333333333333,NONE,14.425333333333333,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,1.0,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,9500.0,2500.0,3.8,30.2,0.2,132.33333333333334,500.0,100.0,4.5,23.3,0.1,1700.0,300.0,5.6,22.7,0.0,2600.0,500.0,5.0,25.3,0.1,26200.0,3600.0,7.3,23.9,0.1,45200.0,8900.0,5.1,27.5,0.9
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,536,2025-07-10 15:30:57.277638,21,0.0001678978379824,443,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,38,100,0,13,100,5963.91815337012,687626.376999998,5,401.230793838214,5,248.103490761073,28,-373.787220291608,5897.666666666667,49.830000000000005,NONE,14.426333333333332,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9366666666666666,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,7400.0,2500.0,3.0,30.2,0.3,129.5,200.0,100.0,4.2,23.3,0.1,400.0,100.0,4.6,22.7,0.1,1800.0,500.0,3.7,25.3,0.2,3700.0,400.0,8.5,23.9,0.1,8600.0,1200.0,7.4,27.5,0.2
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,537,2025-07-10 15:30:58.277948,21,0.0001678978379824,443,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,39,100,0,11,100,7795.58947789251,687626.376999998,5,401.230793838214,5,248.103490761073,30,-373.787105849672,5813.666666666667,48.34333333333333,NONE,14.428333333333336,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9366666666666666,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,9800.0,3200.0,3.1,30.2,0.3,129.60000000000002,400.0,100.0,3.7,23.3,0.1,400.0,100.0,3.5,22.7,0.1,3600.0,1100.0,3.3,25.3,0.4,1100.0,300.0,3.8,23.9,0.1,600.0,200.0,3.7,27.5,0.1
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,538,2025-07-10 15:30:59.278243,21,0.0001678978379824,443,1,8,30.0005,AUTO,21,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,40,100,0,7,100,9029.49423545203,687626.376999998,5,401.230816728033,5,248.103490761073,30,-373.787071517091,5761.666666666667,47.91,NONE,14.429333333333334,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.91,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,7000.0,2100.0,3.4,30.2,0.3,129.60000000000002,600.0,100.0,4.7,23.3,0.4,400.0,100.0,3.3,22.7,0.1,2800.0,800.0,3.5,25.3,0.3,1200.0,300.0,4.0,23.9,0.1,2700.0,600.0,4.6,27.5,0.6
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,539,2025-07-10 15:31:00.278596,21,0.0001678978379824,448,1,8,30.001,AUTO,21,ARMED,100,25.36667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,40,100,0,5,100,10000.0,687626.376999998,10,401.382811111497,6,258.637140825437,31,-376.609015113049,4917.0,40.97666666666667,NONE,14.431333333333336,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9033333333333332,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,7500.0,2000.0,3.8,30.2,0.6,130.10000000000002,900.0,300.0,2.8,23.3,0.2,800.0,200.0,3.1,22.7,0.2,5100.0,2200.0,2.3,25.3,0.9,1900.0,500.0,4.0,23.9,0.2,3000.0,1700.0,1.8,27.5,1.6
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,540,2025-07-10 15:31:01.278897,21,0.0001678978379824,448,1,8,30.001,AUTO,21,ARMED,100,25.36667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,42,100,0,0,100,10000.0,687626.376999998,6,401.431079755406,8,246.513367739188,31,-376.609072334017,2693.6666666666665,25.98333333333333,NONE,14.432666666666668,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.5566666666666666,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,4100.0,1200.0,3.5,30.2,0.5,131.26666666666668,800.0,200.0,4.5,23.3,0.3,700.0,200.0,3.9,22.7,0.1,5500.0,1700.0,3.2,25.3,0.6,1200.0,300.0,3.7,23.9,0.2,4800.0,1700.0,2.8,27.5,1.6
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,541,2025-07-10 15:31:02.279189,21,0.0001678978379824,455,1,8,30.001,AUTO,21,ARMED,100,66.2,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,42,100,0,0,100,10000.0,687626.376999998,56,365.231390370936,5,248.103376320822,12,-373.770660543437,1017.3333333333334,8.753333333333332,NONE,14.432666666666668,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,3700.0,1100.0,3.4,30.2,0.5,132.13333333333335,800.0,200.0,5.1,23.3,0.5,800.0,100.0,5.6,22.7,0.1,6700.0,1400.0,4.8,25.3,0.6,6400.0,600.0,11.3,23.9,0.2,9400.0,2000.0,4.8,27.5,1.6
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,542,2025-07-10 15:31:03.279529,21,0.0001678978379824,461,1,8,30.0005,AUTO,21,ARMED,100,25.36667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,44,100,0,0,100,10000.0,687626.376999998,10,361.558114059617,4,259.278901441715,32,-376.609015113049,989.0,8.473333333333334,NONE,14.432666666666668,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8033333333333333,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,3700.0,1100.0,3.3,30.2,0.5,132.06666666666666,1000.0,300.0,3.1,23.3,0.1,700.0,200.0,3.7,22.7,0.1,3800.0,1500.0,2.5,25.3,0.6,1300.0,300.0,3.9,23.9,0.2,3100.0,1700.0,1.8,27.5,1.6
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,543,2025-07-10 15:31:04.279743,21,0.0001678978379824,461,1,8,30.001,AUTO,21,ARMED,100,25.36667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,45,100,0,0,100,10000.0,687626.376999998,5,367.492557422775,9,248.102181642053,31,-376.608946447887,1013.3333333333334,8.7,NONE,14.432999999999998,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,4200.0,1200.0,3.6,30.2,0.5,132.06666666666666,800.0,100.0,5.4,23.3,0.3,600.0,200.0,3.5,22.7,0.1,5400.0,1900.0,2.9,25.3,0.6,2600.0,300.0,7.9,23.9,0.2,6100.0,1800.0,3.3,27.5,1.7
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,544,2025-07-10 15:31:05.280048,21,0.0001678978379824,468,1,8,30.001,AUTO,21,ARMED,100,109.9667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,45,100,0,0,100,10000.0,687626.376999998,6,339.160987105506,6,266.117104059685,12,-373.371338295376,1016.0,8.716666666666667,NONE,14.433333333333332,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.88,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,4000.0,1100.0,3.7,30.2,0.5,132.16666666666666,600.0,100.0,4.4,23.3,0.3,500.0,100.0,4.0,22.7,0.1,4800.0,1400.0,3.5,25.3,0.5,2900.0,400.0,6.8,23.9,0.2,8000.0,1900.0,4.1,27.5,1.6
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,545,2025-07-10 15:31:06.280340,21,0.0001678978379824,474,1,8,30.0005,AUTO,21,ARMED,100,16.98333,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,47,100,0,0,100,10000.0,687626.376999998,8,337.027478282567,11,268.251062282142,32,-374.839866997981,1111.0,9.76,NONE,14.433666666666667,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.7666666666666667,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,3600.0,1100.0,3.3,30.2,0.5,132.13333333333335,400.0,100.0,4.1,23.3,0.6,600.0,100.0,4.5,22.7,0.1,3300.0,1400.0,2.5,25.3,0.5,1900.0,300.0,6.0,23.9,0.2,7700.0,1900.0,4.1,27.6,1.6
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,546,2025-07-10 15:31:07.280463,21,0.0001678978379824,480,1,8,30.0005,AUTO,21,ARMED,100,4.316667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,48,100,0,0,100,10000.0,687626.376999998,15,363.842389370494,15,280.367015151977,35,-376.336322867418,1012.3333333333334,8.68,NONE,14.433666666666667,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8933333333333332,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,3500.0,1100.0,3.2,30.2,0.5,132.13333333333335,1000.0,300.0,4.1,23.3,0.3,600.0,200.0,4.0,22.7,0.1,4100.0,1500.0,2.8,25.3,0.6,2600.0,300.0,7.5,23.9,0.2,5000.0,1700.0,2.9,27.6,1.6
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,547,2025-07-10 15:31:08.280677,21,0.0001678978379824,487,1,8,30.0005,AUTO,21,ARMED,100,18.26667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,48,100,0,0,100,10000.0,687626.376999998,4,361.708398707346,6,282.50011513441,69,-370.091516144697,1001.3333333333334,8.6,NONE,14.434333333333331,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8633333333333333,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,3900.0,1100.0,3.5,30.2,0.6,132.13333333333335,700.0,100.0,5.2,23.3,0.1,800.0,100.0,5.3,22.7,0.1,3700.0,1300.0,2.8,25.3,0.5,4000.0,500.0,8.2,23.9,0.2,12300.0,2400.0,5.2,27.6,1.6
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,548,2025-07-10 15:31:09.280878,21,0.0001678978379824,494,1,8,30.0005,AUTO,21,ARMED,100,18.81667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,49,100,0,0,100,10000.0,687626.376999998,14,398.569167190297,3,283.284078791127,30,-376.609060889823,1030.6666666666667,8.889999999999999,NONE,14.434666666666669,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.94,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,3800.0,1100.0,3.4,30.2,0.6,132.13333333333335,1100.0,300.0,3.6,23.3,0.2,800.0,200.0,3.4,22.7,0.2,4100.0,1500.0,2.7,25.3,0.6,2800.0,300.0,8.3,23.9,0.2,3600.0,1800.0,2.0,27.6,1.7
lid_p2,01,Al6061_lid01_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,14,549,2025-07-10 15:31:10.281201,21,0.0001678978379824,500,1,8,30.001,AUTO,21,ARMED,100,91.85,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,50,100,0,0,100,10000.0,687626.376999998,41,399.890732268375,24,281.167379362417,18,-365.947276342161,992.0,8.496666666666668,NONE,14.434666666666669,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8866666666666667,DE045126-2C5E-4E72-8491-E202079EAC7C,0.2863333333333333,3400.0,1100.0,3.1,30.3,0.5,132.13333333333335,500.0,100.0,4.2,23.3,0.5,1600.0,300.0,6.1,22.7,0.1,9200.0,1900.0,4.8,25.3,0.5,4400.0,500.0,9.5,23.9,0.2,12800.0,2500.0,5.1,27.6,1.6
