program,run,source_file,operation,segment_id,sample_index,Time,A_Axis_Load,A_Position,Block_Number,COR_Status,C_Axis_Load,C_Position,Controller_Mode,Current_Tool,EStop_State,Feed_Override,Feed_Rate,Machine_Mode,Machine_Time,Part_Count,Program_Name_Running,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,Spindle_Time,X_Axis_Load,X_Position,Y_Axis_Load,Y_Position,Z_Axis_Load,Z_Position,active power,current,featureId,forward kWh,frequency,partKindId,power factor,processKindId,reverse kWh,spindle motor a_peak,spindle motor a_rms,spindle motor crest,spindle motor temp,spindle motor v_rms,voltage,x-axis motor a_peak,x-axis motor a_rms,x-axis motor crest,x-axis motor temp,x-axis motor v_rms,y-axis bearing a_peak,y-axis bearing a_rms,y-axis bearing crest,y-axis bearing temp,y-axis bearing v_rms,y-axis motor a_peak,y-axis motor a_rms,y-axis motor crest,y-axis motor temp,y-axis motor v_rms,z-axis bearing a_peak,z-axis bearing a_rms,z-axis bearing crest,z-axis bearing temp,z-axis bearing v_rms,z-axis motor a_peak,z-axis motor a_rms,z-axis motor crest,z-axis motor temp,z-axis motor v_rms
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,244,2025-07-10 15:26:05.071974,21,0.0001678978379824,253,1,8,30.0005,AUTO,7,ARMED,100,526.6,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,45,100,0,12,100,1115.79675077776,687266.021999999,53,244.466044350627,32,336.124436567401,38,-99.8669982674121,691.3333333333334,6.636666666666667,NONE,14.326999999999998,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.6366666666666666,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,5700.0,1400.0,4.0,29.9,0.1,132.23333333333332,1600.0,300.0,5.1,23.2,0.3,4600.0,1100.0,4.1,22.7,0.1,28200.0,7400.0,3.8,25.3,0.3,3700.0,800.0,4.8,23.7,0.1,800.0,200.0,4.5,27.5,0.1
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,245,2025-07-10 15:26:06.072189,21,0.0001678978379824,254,1,8,30.0005,AUTO,7,ARMED,100,529.8833,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,46,100,0,19,100,4662.54400293089,687266.021999999,5,362.404393055578,5,252.563765217478,13,-310.266809710747,2758.6666666666665,24.976666666666663,NONE,14.326999999999998,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9233333333333332,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,11500.0,2500.0,4.7,29.9,0.2,131.23333333333332,400.0,100.0,5.8,23.2,0.1,2000.0,300.0,6.9,22.7,0.1,2700.0,600.0,4.8,25.3,0.2,26900.0,5300.0,5.1,23.7,0.1,59400.0,12100.0,4.9,27.5,1.1
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,246,2025-07-10 15:26:07.072378,21,0.0001678978379824,256,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,47,100,0,12,100,6772.89055967121,687266.021999999,5,362.404404499582,5,252.563788105528,29,-342.932089899196,5894.333333333333,49.09666666666667,NONE,14.328333333333331,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9066666666666668,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,9500.0,2500.0,3.8,29.9,0.2,129.4333333333333,200.0,100.0,3.9,23.2,0.1,300.0,100.0,3.8,22.7,0.1,1900.0,600.0,2.9,25.3,0.2,1200.0,300.0,3.9,23.7,0.1,600.0,200.0,3.6,27.5,0.1
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,247,2025-07-10 15:26:08.072730,21,0.0001678978379824,256,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,48,100,0,8,100,8378.82246552763,687266.021999999,5,362.404404499582,5,252.563799549553,29,-342.932124227474,5930.666666666667,49.34333333333333,NONE,14.330999999999998,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9366666666666666,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,9700.0,2600.0,3.7,29.9,0.3,129.39999999999998,300.0,100.0,3.6,23.2,0.1,400.0,100.0,3.5,22.7,0.1,2200.0,700.0,3.2,25.3,0.3,1000.0,300.0,3.8,23.7,0.1,1000.0,400.0,2.8,27.5,0.4
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,248,2025-07-10 15:26:09.073048,21,0.0001678978379824,256,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,49,100,0,6,100,9353.61516935406,687266.021999999,5,362.404381611574,5,252.563788105528,29,-342.932101341955,5677.666666666667,47.223333333333336,NONE,14.332,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333333,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,8000.0,2200.0,3.7,29.9,0.5,129.5666666666667,400.0,100.0,3.1,23.2,0.1,400.0,100.0,3.4,22.7,0.1,2900.0,1200.0,2.4,25.3,0.5,1300.0,400.0,3.4,23.7,0.2,2200.0,1200.0,1.9,27.5,1.1
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,249,2025-07-10 15:26:10.073262,21,0.0001678978379824,256,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,50,100,0,5,100,10290.6944479283,687266.021999999,5,362.404381611574,5,252.563799549553,30,-342.932032685398,4734.666666666667,39.41333333333333,NONE,14.333333333333334,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8866666666666667,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,7200.0,2200.0,3.3,29.9,0.5,130.1,300.0,100.0,3.7,23.2,0.1,300.0,100.0,3.4,22.7,0.1,5600.0,2300.0,2.5,25.3,0.9,1700.0,600.0,2.8,23.7,0.2,2900.0,1600.0,1.9,27.5,1.5
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,250,2025-07-10 15:26:11.073475,21,0.0001678978379824,256,1,8,30.0005,AUTO,7,ARMED,100,0.0,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,51,100,0,4,100,12000.0,687266.021999999,5,362.75907706965,5,252.635612417618,30,-342.932055570917,3926.0,32.800000000000004,NONE,14.334666666666667,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8866666666666667,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,7500.0,2100.0,3.5,29.9,0.5,130.53333333333333,400.0,100.0,4.4,23.1,0.2,400.0,100.0,4.0,22.7,0.1,5400.0,1100.0,4.9,25.3,0.4,1500.0,500.0,3.2,23.7,0.2,1400.0,600.0,2.3,27.5,0.5
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,251,2025-07-10 15:26:12.073690,21,0.0001678978379824,259,1,8,30.0005,AUTO,7,ARMED,100,20.61667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,52,100,0,3,100,12000.0,687266.021999999,1,360.264798622172,9,253.256906930629,26,-344.120798084994,3728.3333333333335,31.41,NONE,14.335666666666668,59.97,7606F116-3463-4EEF-96CC-1AC408FAA001,0.9466666666666668,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,7200.0,2000.0,3.5,29.9,0.4,130.56666666666666,400.0,100.0,4.5,23.1,0.1,500.0,100.0,3.7,22.7,0.1,4100.0,1000.0,3.9,25.2,0.3,1500.0,400.0,3.4,23.7,0.2,3000.0,900.0,3.3,27.5,0.8
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,252,2025-07-10 15:26:13.073882,21,0.0001678978379824,260,1,8,30.0005,AUTO,7,ARMED,100,20.61667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,53,100,0,2,100,12000.0,687266.021999999,9,364.545543304499,2,251.876098169628,26,-345.607063788994,3486.6666666666665,29.23333333333333,NONE,14.336666666666668,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8866666666666667,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,8600.0,2300.0,3.7,29.9,0.4,130.73333333333332,500.0,100.0,3.6,23.1,0.1,700.0,200.0,3.6,22.7,0.1,4500.0,1400.0,3.3,25.2,0.5,2300.0,600.0,3.9,23.7,0.3,2600.0,800.0,3.2,27.5,0.7
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,253,2025-07-10 15:26:14.074036,21,0.0001678978379824,262,1,8,30.0005,AUTO,7,ARMED,100,20.61667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,54,100,0,0,100,12000.0,687266.021999999,8,362.741233725437,3,254.787557605047,26,-346.870859362673,3147.0,26.52,NONE,14.336999999999998,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.8833333333333333,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,5100.0,1500.0,3.5,29.9,0.5,130.9333333333333,600.0,200.0,3.5,23.1,0.1,800.0,200.0,3.6,22.7,0.1,4600.0,1000.0,4.8,25.2,0.3,2800.0,700.0,4.0,23.7,0.3,3100.0,700.0,4.3,27.5,0.5
lid_p2,01,Al6061_lid01_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,8,254,2025-07-10 15:26:15.074338,21,0.0001678978379824,264,1,8,30.0005,AUTO,7,ARMED,100,20.61667,5,2581844.421,1,000473_A_A_PROGRAM_2.NC,55,100,0,0,100,12000.0,687266.021999999,1,362.091079115745,8,250.335052770402,31,-347.694612176775,1296.3333333333333,11.326666666666668,NONE,14.338,59.98,7606F116-3463-4EEF-96CC-1AC408FAA001,0.6433333333333332,E5EDCE94-46C8-449C-9FA0-71F22978959A,0.2796666666666667,5200.0,1400.0,3.6,29.9,0.5,131.9,600.0,200.0,3.7,23.1,0.4,700.0,200.0,3.0,22.7,0.2,4900.0,1000.0,4.7,25.2,0.4,2600.0,700.0,3.9,23.7,0.3,1500.0,700.0,2.2,27.5,0.5
