program,operation,operation_uuid,rows,runs,segments,source_files,output
body_p1,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,02682EDC-F0B9-4AD5-A930-C5E08AA9FC0E,304,28,8,28,body_p1\02682edc_f0b9_4ad5_a930_c5e08aa9fc0e.csv
body_p1,02F78302-5F12-474A-A693-A8328EE54864,02F78302-5F12-474A-A693-A8328EE54864,704,28,7,28,body_p1\02f78302_5f12_474a_a693_a8328ee54864.csv
body_p1,0B601775-6267-421A-9EA6-DD4531A80D99,0B601775-6267-421A-9EA6-DD4531A80D99,1892,28,8,28,body_p1\0b601775_6267_421a_9ea6_dd4531a80d99.csv
body_p1,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,1925A9DD-E557-4ED5-A106-DA5F7D08FBE5,366,23,9,23,body_p1\1925a9dd_e557_4ed5_a106_da5f7d08fbe5.csv
body_p1,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,3D1978A5-7663-4DAA-A0D2-3995EBB1B582,711,27,5,27,body_p1\3d1978a5_7663_4daa_a0d2_3995ebb1b582.csv
body_p1,527F92C5-9C39-48DD-A37F-86E1D81497FC,527F92C5-9C39-48DD-A37F-86E1D81497FC,846,27,4,27,body_p1\527f92c5_9c39_48dd_a37f_86e1d81497fc.csv
body_p1,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,5A4B2394-640B-4ADA-BBB7-717B839D0E6F,49,27,4,27,body_p1\5a4b2394_640b_4ada_bbb7_717b839d0e6f.csv
body_p1,70AA639A-4325-448F-BFFB-D5EE218DA38C,70AA639A-4325-448F-BFFB-D5EE218DA38C,1679,28,5,28,body_p1\70aa639a_4325_448f_bffb_d5ee218da38c.csv
body_p1,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,7203BEC1-4B64-4F7F-BD5B-092BF23AA2C2,680,28,6,28,body_p1\7203bec1_4b64_4f7f_bd5b_092bf23aa2c2.csv
body_p1,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,7A0C0A5C-9BBB-42CC-9C34-897E84D4F9BA,2968,28,3,28,body_p1\7a0c0a5c_9bbb_42cc_9c34_897e84d4f9ba.csv
body_p1,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,962A9D60-A315-4D3B-BF12-FDAA9EFBF2AF,175,27,3,27,body_p1\962a9d60_a315_4d3b_bf12_fdaa9efbf2af.csv
body_p1,9D44D6BA-0640-4530-8725-2069F885B77C,9D44D6BA-0640-4530-8725-2069F885B77C,134,27,6,27,body_p1\9d44d6ba_0640_4530_8725_2069f885b77c.csv
body_p1,B893297A-D47C-4029-BAF0-218F58387DFF,B893297A-D47C-4029-BAF0-218F58387DFF,289,27,3,27,body_p1\b893297a_d47c_4029_baf0_218f58387dff.csv
body_p1,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,BEC9A210-A8D4-41B7-A2DC-32E6FCAE8291,439,27,6,27,body_p1\bec9a210_a8d4_41b7_a2dc_32e6fcae8291.csv
body_p1,C874D6A3-7A89-44E1-B0D4-6783FF55F19D,C874D6A3-7A89-44E1-B0D4-6783FF55F19D,11006,29,3,30,body_p1\c874d6a3_7a89_44e1_b0d4_6783ff55f19d.csv
body_p1,CF5DB674-3928-4BAA-A4E6-695A35019B38,CF5DB674-3928-4BAA-A4E6-695A35019B38,520,28,6,28,body_p1\cf5db674_3928_4baa_a4e6_695a35019b38.csv
body_p1,D26C121D-4255-454F-9BFF-BC3FE92091D3,D26C121D-4255-454F-9BFF-BC3FE92091D3,546,28,7,28,body_p1\d26c121d_4255_454f_9bff_bc3fe92091d3.csv
body_p1,DB204000-40E6-4720-8721-98173D9A37FF,DB204000-40E6-4720-8721-98173D9A37FF,53,27,3,27,body_p1\db204000_40e6_4720_8721_98173d9a37ff.csv
body_p1,DE045126-2C5E-4E72-8491-E202079EAC7C,DE045126-2C5E-4E72-8491-E202079EAC7C,675,28,8,28,body_p1\de045126_2c5e_4e72_8491_e202079eac7c.csv
body_p1,F0FA6A59-3010-44CC-BFFF-4A4F04B7A39B,F0FA6A59-3010-44CC-BFFF-4A4F04B7A39B,95,27,5,27,body_p1\f0fa6a59_3010_44cc_bfff_4a4f04b7a39b.csv
body_p1,F3339F2A-EF90-4511-8ABF-3917196A2E76,F3339F2A-EF90-4511-8ABF-3917196A2E76,639,28,7,28,body_p1\f3339f2a_ef90_4511_8abf_3917196a2e76.csv
body_p1,UNAVAILABLE,UNAVAILABLE,113,4,1,4,body_p1\unavailable.csv
body_p2,6A897FFD-29C0-423B-A692-D9CCB0612FB0,6A897FFD-29C0-423B-A692-D9CCB0612FB0,291,20,3,20,body_p2\6a897ffd_29c0_423b_a692_d9ccb0612fb0.csv
body_p2,89918109-7350-48A4-A5F9-AE742269E029,89918109-7350-48A4-A5F9-AE742269E029,306,18,4,18,body_p2\89918109_7350_48a4_a5f9_ae742269e029.csv
body_p2,AF6B782E-23DD-4144-8665-11C813BE7660,AF6B782E-23DD-4144-8665-11C813BE7660,2731,20,3,20,body_p2\af6b782e_23dd_4144_8665_11c813be7660.csv
body_p2,C14415F1-CFEE-431E-92CB-E7F5CB809961,C14415F1-CFEE-431E-92CB-E7F5CB809961,168,13,5,13,body_p2\c14415f1_cfee_431e_92cb_e7f5cb809961.csv
body_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,DE045126-2C5E-4E72-8491-E202079EAC7C,294,20,3,20,body_p2\de045126_2c5e_4e72_8491_e202079eac7c.csv
body_p3,27D6DC59-16BC-4185-AA97-4E474C98E615,27D6DC59-16BC-4185-AA97-4E474C98E615,74,19,1,19,body_p3\27d6dc59_16bc_4185_aa97_4e474c98e615.csv
body_p3,3C44659E-1CC5-4F24-88FD-04F834435743,3C44659E-1CC5-4F24-88FD-04F834435743,76,12,1,12,body_p3\3c44659e_1cc5_4f24_88fd_04f834435743.csv
body_p3,465E99DA-B681-4FD4-894C-3B1EF84592C2,465E99DA-B681-4FD4-894C-3B1EF84592C2,6,1,1,1,body_p3\465e99da_b681_4fd4_894c_3b1ef84592c2.csv
body_p3,94AE40F8-AC19-405A-A87C-42158C42D530,94AE40F8-AC19-405A-A87C-42158C42D530,87,15,1,15,body_p3\94ae40f8_ac19_405a_a87c_42158c42d530.csv
body_p3,C382FC41-1DFF-4BFC-B0C3-D6E313A3F60D,C382FC41-1DFF-4BFC-B0C3-D6E313A3F60D,7,1,1,1,body_p3\c382fc41_1dff_4bfc_b0c3_d6e313a3f60d.csv
body_p3,CF0FEA34-836B-413B-B472-DF89D832DA95,CF0FEA34-836B-413B-B472-DF89D832DA95,3,1,1,1,body_p3\cf0fea34_836b_413b_b472_df89d832da95.csv
body_p4,27D6DC59-16BC-4185-AA97-4E474C98E615,27D6DC59-16BC-4185-AA97-4E474C98E615,9,3,3,3,body_p4\27d6dc59_16bc_4185_aa97_4e474c98e615.csv
body_p4,3C44659E-1CC5-4F24-88FD-04F834435743,3C44659E-1CC5-4F24-88FD-04F834435743,40,5,6,5,body_p4\3c44659e_1cc5_4f24_88fd_04f834435743.csv
body_p4,465E99DA-B681-4FD4-894C-3B1EF84592C2,465E99DA-B681-4FD4-894C-3B1EF84592C2,91,16,4,16,body_p4\465e99da_b681_4fd4_894c_3b1ef84592c2.csv
body_p4,94AE40F8-AC19-405A-A87C-42158C42D530,94AE40F8-AC19-405A-A87C-42158C42D530,30,4,5,4,body_p4\94ae40f8_ac19_405a_a87c_42158c42d530.csv
body_p4,C382FC41-1DFF-4BFC-B0C3-D6E313A3F60D,C382FC41-1DFF-4BFC-B0C3-D6E313A3F60D,66,11,4,11,body_p4\c382fc41_1dff_4bfc_b0c3_d6e313a3f60d.csv
body_p4,CF0FEA34-836B-413B-B472-DF89D832DA95,CF0FEA34-836B-413B-B472-DF89D832DA95,69,19,4,19,body_p4\cf0fea34_836b_413b_b472_df89d832da95.csv
lid_p1,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,34B5F4DD-FB2F-4F6A-83A1-0A5CD0F47697,280,24,2,24,lid_p1\34b5f4dd_fb2f_4f6a_83a1_0a5cd0f47697.csv
lid_p1,3C7357E5-BC37-4F42-861A-CF4E44BF79B6,3C7357E5-BC37-4F42-861A-CF4E44BF79B6,3908,23,1,23,lid_p1\3c7357e5_bc37_4f42_861a_cf4e44bf79b6.csv
lid_p1,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,5D1DD6BB-EB5D-41B4-98B2-77D314F4455E,366,23,3,23,lid_p1\5d1dd6bb_eb5d_41b4_98b2_77d314f4455e.csv
lid_p1,5D29409C-31B1-4B6B-A5DB-7F9F6AE3D06D,5D29409C-31B1-4B6B-A5DB-7F9F6AE3D06D,509,24,2,24,lid_p1\5d29409c_31b1_4b6b_a5db_7f9f6ae3d06d.csv
lid_p1,A06C758F-7E20-4B57-997A-E14283E11DC5,A06C758F-7E20-4B57-997A-E14283E11DC5,433,24,2,24,lid_p1\a06c758f_7e20_4b57_997a_e14283e11dc5.csv
lid_p1,B5414A60-078F-49C6-BA61-FED2768D3C8D,B5414A60-078F-49C6-BA61-FED2768D3C8D,477,24,3,24,lid_p1\b5414a60_078f_49c6_ba61_fed2768d3c8d.csv
lid_p1,C14415F1-CFEE-431E-92CB-E7F5CB809961,C14415F1-CFEE-431E-92CB-E7F5CB809961,279,19,4,19,lid_p1\c14415f1_cfee_431e_92cb_e7f5cb809961.csv
lid_p1,DE045126-2C5E-4E72-8491-E202079EAC7C,DE045126-2C5E-4E72-8491-E202079EAC7C,445,24,3,24,lid_p1\de045126_2c5e_4e72_8491_e202079eac7c.csv
lid_p1,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,E17C1DE6-D8A5-4D60-BFB2-DCB7EF2BAC8C,776,24,2,24,lid_p1\e17c1de6_d8a5_4d60_bfb2_dcb7ef2bac8c.csv
lid_p2,0279764B-BF92-4F75-8255-A1BD34484848,0279764B-BF92-4F75-8255-A1BD34484848,81,17,2,17,lid_p2\0279764b_bf92_4f75_8255_a1bd34484848.csv
lid_p2,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,1BFABEA4-68A9-484B-AE13-2E0BF9278D50,1698,17,3,17,lid_p2\1bfabea4_68a9_484b_ae13_2e0bf9278d50.csv
lid_p2,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,482AB6CD-5B14-41D0-846D-4AF4A2EB712A,222,13,3,13,lid_p2\482ab6cd_5b14_41d0_846d_4af4a2eb712a.csv
lid_p2,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,C5A68CD3-BCDF-4119-B596-9FAC41AAB033,84,17,2,17,lid_p2\c5a68cd3_bcdf_4119_b596_9fac41aab033.csv
lid_p2,D99BADF2-7704-48EB-B36B-2AF891BF9D78,D99BADF2-7704-48EB-B36B-2AF891BF9D78,406,16,2,16,lid_p2\d99badf2_7704_48eb_b36b_2af891bf9d78.csv
lid_p2,DE045126-2C5E-4E72-8491-E202079EAC7C,DE045126-2C5E-4E72-8491-E202079EAC7C,362,16,3,16,lid_p2\de045126_2c5e_4e72_8491_e202079eac7c.csv
lid_p2,E5EDCE94-46C8-449C-9FA0-71F22978959A,E5EDCE94-46C8-449C-9FA0-71F22978959A,402,17,2,17,lid_p2\e5edce94_46c8_449c_9fa0_71f22978959a.csv
lid_p2,F9707002-75F7-45CD-B115-64EB377603B0,F9707002-75F7-45CD-B115-64EB377603B0,3460,17,3,17,lid_p2\f9707002_75f7_45cd_b115_64eb377603b0.csv
